start_id,end_id,relation_type,source,triple_hash
5,2,权力类型,extraction,7cb94763e05b167eac06feefc2f3e56b0271d0191dd482415d01e6d6ec486be5
5,2,权力类型,extraction,7cb94763e05b167eac06feefc2f3e56b0271d0191dd482415d01e6d6ec486be5
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
6,7,是,extraction,02ba53c3c8f9aa3a94884c43bf0b1f75219cb2da2911aac8cb1a66068cbe4396
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
1,2,包括,extraction,8eed295a113f65a4a62a3fcc8ced1ab09cb3fa29433f0307efe4a0b555ab2fc8
5,2,权力类型,extraction,7cb94763e05b167eac06feefc2f3e56b0271d0191dd482415d01e6d6ec486be5
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
12,7,是,extraction,397631dc78581e110280b0d108aff380dd180c8f73acb0585e45aede15cc7d20
6,7,是,extraction,02ba53c3c8f9aa3a94884c43bf0b1f75219cb2da2911aac8cb1a66068cbe4396
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
12,29,是,extraction,87d041cb03aecea2b15e5097cefc9638ea9c275f8ef663bbacdec416f01365dd
2,35,包含,extraction,96590c5f5d63a62238e3f348d0afc4d14ead35131b10e1abbe675c867bef56cb
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
8,37,是,extraction,af9f5f7ac361e1e960dde76c1984af2f9a864456bbd7a0ce88f7d79c3d2bd667
4,11,是,extraction,f4caef68046093b5f0415db9bc5b5f2bc04f4bc018749b9ef2b0c40e847b5e3b
1,2,包括,extraction,8eed295a113f65a4a62a3fcc8ced1ab09cb3fa29433f0307efe4a0b555ab2fc8
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
34,2,承办机构,extraction,3b243296f58c171ab5659bd24361c838e79f1177901782e147ab698ed17da3d3
1,2,包括,extraction,8eed295a113f65a4a62a3fcc8ced1ab09cb3fa29433f0307efe4a0b555ab2fc8
2,38,涉及,extraction,3ff858c142988ba0778d5a9cbc240bf5c792b791c16fc40100ecd377f0abf6e5
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
6,30,是,extraction,9f5e5ea50779365c2f595391d495919f4bff81bc6f39eca9b317b23757667d98
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
12,7,是,extraction,397631dc78581e110280b0d108aff380dd180c8f73acb0585e45aede15cc7d20
6,7,是,extraction,02ba53c3c8f9aa3a94884c43bf0b1f75219cb2da2911aac8cb1a66068cbe4396
5,2,权力类型,extraction,7cb94763e05b167eac06feefc2f3e56b0271d0191dd482415d01e6d6ec486be5
1,2,包括,extraction,8eed295a113f65a4a62a3fcc8ced1ab09cb3fa29433f0307efe4a0b555ab2fc8
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
8,39,是,extraction,248fac734882e656613a921845e170a1d348ac8726ed29bc27e7f3a021cc4280
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
12,7,是,extraction,397631dc78581e110280b0d108aff380dd180c8f73acb0585e45aede15cc7d20
6,7,是,extraction,02ba53c3c8f9aa3a94884c43bf0b1f75219cb2da2911aac8cb1a66068cbe4396
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
12,32,是,extraction,9c4f6d970f0759ccf44ba88668fb20479c3f74345a7048810ee820b1947a78e1
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
12,40,是,extraction,bd9b685ba42df5457c4d069ece0445c408dfe61ec21629b83cb1168ad3a52abf
6,40,是,extraction,d6198e6029479e4b6b1f8dd49ffd3bdd3a0eb431d68f501d3668f25e479cc20f
8,49,是,extraction,b290f8038bf0fe2414a57dc9d9241eb34ea46e92a5bf8d5a5e160365c51da8f7
1,2,包括,extraction,8eed295a113f65a4a62a3fcc8ced1ab09cb3fa29433f0307efe4a0b555ab2fc8
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
4,5,是,extraction,fc3a0f6bde30c0ebfec3bc6941826ff40f192981da6540e511dd4fc050da43b5
12,64,是,extraction,80ae496ab37f3106bb7e34aa5a1f7886f6c6f5aa315ce3a47e6a8d80ad70a5bf
6,64,是,extraction,95b0b149db905551ca7524027ee943bda1b7e0479b339e6524a0bca9bf14e8c9
8,61,是,extraction,0083388f557015a8519f43a9b398b37579e05dab389ffc5a4540a0db5af24bde
5,2,权力类型,extraction,7cb94763e05b167eac06feefc2f3e56b0271d0191dd482415d01e6d6ec486be5
5,2,权力类型,extraction,7cb94763e05b167eac06feefc2f3e56b0271d0191dd482415d01e6d6ec486be5
5,2,权力类型,extraction,7cb94763e05b167eac06feefc2f3e56b0271d0191dd482415d01e6d6ec486be5
2,50,实施依据,extraction,52d8d6551bb57612ed3c41ccdb28fdc345592739f8550b81ebff38cdcb0db6f4
4,11,是,extraction,f4caef68046093b5f0415db9bc5b5f2bc04f4bc018749b9ef2b0c40e847b5e3b
1,2,包括,extraction,8eed295a113f65a4a62a3fcc8ced1ab09cb3fa29433f0307efe4a0b555ab2fc8
