id,name,node_type,issue_type,start_id,end_id,relation_type,source,triple_hash
,,,冗余三元组,3.0,4.0,类型,extraction,4a8d183849056dd2df3cb998024802f1af71f6686b9548e80436e7d7127139f8
,,,冗余三元组,1.0,2.0,涉及事项,extraction,45a6b5e9b7acaaf964d4ba55ee382735953a50be79b9c5a63cfd56f3bfaa98e9
,,,冗余三元组,4.0,1.0,权力类型,extraction,06f1cb2317f43bcd0489624a54a5cda47739e2ccc801a931aacc75c90aebf3f1
,,,冗余三元组,4.0,1.0,权力类型,extraction,06f1cb2317f43bcd0489624a54a5cda47739e2ccc801a931aacc75c90aebf3f1
,,,冗余三元组,5.0,1.0,行驶主体,extraction,57149ab40d40daf68ddae1ef3d64025366218c3d8d9786a7c7d9406523c436b5
,,,冗余三元组,5.0,1.0,承办机构,extraction,9054f2bd559f99e7217094914676411351172fc3f6311c47ff7fbb7de27ab132
,,,冗余三元组,4.0,1.0,权力类型,extraction,06f1cb2317f43bcd0489624a54a5cda47739e2ccc801a931aacc75c90aebf3f1
,,,冗余三元组,3.0,4.0,是,extraction,d08580506622eb3b009abbcab184c7d6527dc171bbca042f5d2132b53eb48841
,,,冗余三元组,10.0,19.0,是,extraction,27a0cebbbbbf719194bc882592ca52cb56fe00182beb07450e8e461717b2d932
,,,冗余三元组,4.0,1.0,权力类型,extraction,06f1cb2317f43bcd0489624a54a5cda47739e2ccc801a931aacc75c90aebf3f1
,,,冗余三元组,1.0,2.0,涉及事项,extraction,45a6b5e9b7acaaf964d4ba55ee382735953a50be79b9c5a63cfd56f3bfaa98e9
,,,冗余三元组,3.0,4.0,是,extraction,d08580506622eb3b009abbcab184c7d6527dc171bbca042f5d2132b53eb48841
,,,冗余三元组,4.0,1.0,权力类型,extraction,06f1cb2317f43bcd0489624a54a5cda47739e2ccc801a931aacc75c90aebf3f1
,,,冗余三元组,1.0,6.0,依据,extraction,cf80a41cfbe8cca5a52d6fcd7e48ad0a16c62e701ea3daffe7b904843934819d
,,,冗余三元组,3.0,4.0,是,extraction,d08580506622eb3b009abbcab184c7d6527dc171bbca042f5d2132b53eb48841
,,,冗余三元组,3.0,4.0,是,extraction,d08580506622eb3b009abbcab184c7d6527dc171bbca042f5d2132b53eb48841
,,,冗余三元组,8.0,9.0,是,extraction,34744a2cc14d3a7a3f5317cdb530e92b9bd201c7bd7571d5db06d6b1e91b6e7f
,,,冗余三元组,10.0,9.0,是,extraction,af1a9ecff071ed8f3be3a892c768d8887025fa5bd902d7808d64806d738d9e49
,,,冗余三元组,37.0,1.0,是,extraction,0425effba4b0b55802fd30d79c262c74bcbadda70455f082f2f7cfa9ed73078a
,,,冗余三元组,3.0,4.0,是,extraction,d08580506622eb3b009abbcab184c7d6527dc171bbca042f5d2132b53eb48841
,,,冗余三元组,37.0,1.0,是,extraction,0425effba4b0b55802fd30d79c262c74bcbadda70455f082f2f7cfa9ed73078a
,,,冗余三元组,3.0,4.0,是,extraction,d08580506622eb3b009abbcab184c7d6527dc171bbca042f5d2132b53eb48841
,,,冗余三元组,11.0,20.0,是,extraction,4f6bd6ee852dc39505db943bb8728969a06f8c23c54a14cbb4d6866ffb8c4f4a
,,,冗余三元组,4.0,1.0,权力类型,extraction,06f1cb2317f43bcd0489624a54a5cda47739e2ccc801a931aacc75c90aebf3f1
,,,冗余三元组,5.0,1.0,行驶主体,extraction,57149ab40d40daf68ddae1ef3d64025366218c3d8d9786a7c7d9406523c436b5
,,,冗余三元组,5.0,1.0,承办机构,extraction,9054f2bd559f99e7217094914676411351172fc3f6311c47ff7fbb7de27ab132
,,,冗余三元组,4.0,1.0,权力类型,extraction,06f1cb2317f43bcd0489624a54a5cda47739e2ccc801a931aacc75c90aebf3f1
,,,冗余三元组,3.0,4.0,是,extraction,d08580506622eb3b009abbcab184c7d6527dc171bbca042f5d2132b53eb48841
,,,冗余三元组,11.0,20.0,是,extraction,4f6bd6ee852dc39505db943bb8728969a06f8c23c54a14cbb4d6866ffb8c4f4a
,,,冗余三元组,4.0,1.0,权力类型,extraction,06f1cb2317f43bcd0489624a54a5cda47739e2ccc801a931aacc75c90aebf3f1
,,,冗余三元组,24.0,4.0,行驶主体,extraction,b28f4abcc9fd2027f9867fe9c65c46b96e46e9a7842fd232abf55e768be19b15
,,,冗余三元组,4.0,1.0,权力类型,extraction,06f1cb2317f43bcd0489624a54a5cda47739e2ccc801a931aacc75c90aebf3f1
,,,冗余三元组,4.0,1.0,权力类型,extraction,06f1cb2317f43bcd0489624a54a5cda47739e2ccc801a931aacc75c90aebf3f1
,,,冗余三元组,14.0,1.0,行驶主体,extraction,42f7273a74403e1ff40ec20c28c5684bdebdde720b9bb324665a197a1fd17536
,,,冗余三元组,14.0,1.0,承办机构,extraction,b425f25c4103731723fffdea3b08ba92f7768243f470d556220be325d20abc5c
,,,冗余三元组,3.0,4.0,是,extraction,d08580506622eb3b009abbcab184c7d6527dc171bbca042f5d2132b53eb48841
,,,冗余三元组,3.0,4.0,是,extraction,d08580506622eb3b009abbcab184c7d6527dc171bbca042f5d2132b53eb48841
,,,冗余三元组,37.0,1.0,是,extraction,0425effba4b0b55802fd30d79c262c74bcbadda70455f082f2f7cfa9ed73078a
,,,冗余三元组,3.0,4.0,类型,extraction,4a8d183849056dd2df3cb998024802f1af71f6686b9548e80436e7d7127139f8
,,,冗余三元组,11.0,12.0,依据,extraction,d458aed4c7a0c599ff29789bc6e0040f713c582018b091bab6927ddae4ef7817
,,,冗余三元组,4.0,1.0,权力类型,extraction,06f1cb2317f43bcd0489624a54a5cda47739e2ccc801a931aacc75c90aebf3f1
,,,冗余三元组,29.0,1.0,行驶主体,extraction,3894e2807bd5d700cd8e59ee73eb9d47cb997d8bf04d89c2b3816a91f3f94483
,,,冗余三元组,29.0,1.0,承办机构,extraction,bd5db513e02b588bffbd25ee058495f5dafac2b9a07a6392fb0bac6645b72a35
,,,冗余三元组,37.0,1.0,是,extraction,0425effba4b0b55802fd30d79c262c74bcbadda70455f082f2f7cfa9ed73078a
,,,冗余三元组,3.0,4.0,是,extraction,d08580506622eb3b009abbcab184c7d6527dc171bbca042f5d2132b53eb48841
,,,冗余三元组,11.0,26.0,是,extraction,594ee48e2ef28d4283493b7dd95b58c8a78fd026434bf2ef09599eb13b81049f
