id,name,node_type
1,农产品生产经营者,Unknown
2,农产品质量标志,Unknown
3,销售冒用农产品质量标志的农产品,Unknown
4,县级以上地方人民政府农业农村主管部门,Unknown
5,违法所得,Unknown
6,"并处,五千元以上五万元以下罚款",Unknown
7,"并处,货值金额十倍以上二十倍以下罚款",Unknown
8,西安市农业农村局（市乡村振兴局）,Unknown
9,行政处罚,Unknown
10,市农业综合执法支队,Unknown
11,《中华人民共和国农产品质量安全法》（2006年4月公布，2022年9月修订）,Unknown
12,农产品生产经营者冒用农产品质量标志,Unknown
13,燃气用具,Unknown
14,处罚,Unknown
15,市公安局,Unknown
16,消防支队,Unknown
17,大队,Unknown
18,中华人民共和国消防法,Unknown
19,电器产品,Unknown
20,责令限期改正,Unknown
21,责令停止使用,Unknown
22,并处罚款,Unknown
23,营业性演出广告的内容,Unknown
24,西安市市场监督管理局,Unknown
25,服务事项,Unknown
26,综合执法支队,Unknown
27,营业性演出管理条例,Unknown
28,文物保护单位,Unknown
29,原址保护措施,Unknown
30,建设单位,Unknown
31,保护措施,Unknown
32,文物保护单位的级别,Unknown
33,相应的文物行政部门,Unknown
34,未经批准的,Unknown
35,开工建设,Unknown
36,建设工程预算,Unknown
37,不可移动文物,Unknown
38,需要避开,Unknown
39,建设工程选址,Unknown
40,避开不可移动文物,Unknown
41,无法实施原址保护,Unknown
42,迁移异地保护或者拆除,Unknown
43,报省、自治区、直辖市人民政府批准,Unknown
44,省级文物保护单位,Unknown
45,须征得国务院文物行政部门同意,Unknown
46,全国重点文物保护单位,Unknown
47,拆除,Unknown
48,需要迁移的,Unknown
49,省、自治区、直辖市人民政府报国务院批准,Unknown
50,依照前款规定拆除的国有不可移动文物,Unknown
51,收藏价值的壁画、雕塑、建筑构件等,Unknown
52,具有收藏价值的壁画、雕塑、建筑构件等,Unknown
53,文物行政部门指定的文物收藏单位收藏,Unknown
54,特种设备安全管理人员,Unknown
55,岗位职责,Unknown
56,操作规程,Unknown
57,有关安全规章制度,Unknown
58,事故,Unknown
59,检测人员,Unknown
60,作业人员,Unknown
61,行政处罚权,Unknown
62,《中华人民共和国特种设备安全法》第九十二条,Unknown
63,相关人员资格,Unknown
64,药品零售企业经营许可,Unknown
65,行政许可,Unknown
66,行政审批处,Unknown
67,中华人民共和国药品管理法,Unknown
68,中华人民共和国药品管理法实施条例,Unknown
69,拟办企业所在地设区的市级药品监督管理机构或者省、自治区、直辖市人民政府药品监督管理部门直接设置的县级药品监督管理机构,Unknown
70,药品监督管理机构,Unknown
71,原审批机构,Unknown
72,《药品管理法》第十五条规定的开办条件,Unknown
73,西安市自然资源和规划局,Unknown
74,西安市自然资源和规划执法监察队,Unknown
75,中华人民共和国土地管理法,Unknown
76,中华人民共和国土地管理法实施条例,Unknown
77,县级以上人民政府自然资源主管部门,Unknown
78,非法占用土地的行为,Unknown
79,在国土空间规划确定的禁止开垦的范围内从事土地开发活动的行为,Unknown
80,违反土地利用总体规划擅自将农用地改为建设用地的行为,Unknown
81,非法占用土地单位的直接负责的主管人员和其他直接责任人员,Unknown
82,构成犯罪的行为,Unknown
83,对违规举办大型活动的处罚,Unknown
84,权力类型,Unknown
85,行驶主体,Unknown
86,承办机构,Unknown
87,治安局,Unknown
88,实施依据,Unknown
89,《中华人民共和国治安管理处罚法》,Unknown
90,西安市生态环境局,Unknown
91,市生态环境保护综合执法支队,Unknown
92,县（区）生态环境保护综合执法大队,Unknown
93,生态环境主管部门,Unknown
94,责令停止违法行为,Unknown
95,处,Unknown
96,责令关闭,Unknown
97,噪声敏感建筑物集中区域,Unknown
98,违反,Unknown
99,中华人民共和国噪声污染防治法,Unknown
100,违反本法规定,Unknown
101,因建设需要必须拆迁、改建、封闭环境卫生设施的审批,Unknown
102,西安市城市管理和综合执法局,Unknown
103,眼镜制配者,Unknown
104,规定,Unknown
105,眼镜制配账目,Unknown
106,违法所得难以计算,Unknown
107,《眼镜制配计量监督管理办法》,Unknown
108,国家质量监督检验检疫总局令第54号,Unknown
109,2022年9月29日国家市场监督管理总局令第61号,Unknown
110,违法行为,Unknown
111,轻重,Unknown
112,最高不超过30000元,Unknown
113,经营者,Unknown
114,擅自使用与他人有一定影响的商品名称、包装、装潢等相同或者近似的标识,Unknown
115,擅自使用他人有一定影响的企业名称,Unknown
116,擅自使用他人有一定影响的社会组织名称,Unknown
117,擅自使用他人有一定影响的姓名,Unknown
118,擅自使用他人有一定影响的域名主体部分,Unknown
119,擅自使用他人有一定影响的网站名称,Unknown
120,擅自使用他人有一定影响的网页,Unknown
121,其他足以引人误认为是他人商品或者与他人存在特定联系的混淆行为,Unknown
122,监督检查部门,Unknown
123,违法商品,Unknown
124,违法经营额,Unknown
125,五万元,Unknown
126,违法经营额五万元以上的罚款,Unknown
127,违法经营额不足五万元的罚款,Unknown
128,二十五万元,Unknown
129,情节严重,Unknown
130,吊销营业执照,Unknown
131,"违反,本法第六条",Unknown
132,名称变更登记,Unknown
133,名称变更前,Unknown
134,以统一社会信用代码代替其名称,Unknown
135,国有建设用地使用权首次登记,Unknown
136,西安市不动产登记服务中心,Unknown
137,中华人民共和国民法典,Unknown
138,不动产登记暂行条例实施细则,Unknown
139,不动产权属证书或者土地权属来源材料,Unknown
140,国有建设用地使用权及房屋所有权首次登记,Unknown
141,建设工程符合规划的材料,Unknown
142,房屋已经竣工的材料,Unknown
143,房地产调查或者测绘报告,Unknown
144,相关税费缴纳凭证,Unknown
145,其他必要材料,Unknown
146,西安市水务局,Unknown
147,西安市水利水土保持工作总站,Unknown
148,中华人民共和国水土保持法,Unknown
149,2010,Unknown
150,违反本法,Unknown
151,拒不缴纳水土保持补偿费,Unknown
152,县级以上人民政府水行政主管部门,Unknown
153,限期缴纳,Unknown
154,逾期不缴纳,Unknown
155,加收滞纳金,Unknown
156,罚款,Unknown
157,未经批准擅自变更台名,Unknown
158,未经批准擅自变更台标,Unknown
159,未经批准变更节目设置范围或者节目套数,Unknown
160,未经批准出租、转让播出时段,Unknown
161,转播、播放广播电视节目违反规定,Unknown
162,播放境外广播电视节目或者广告的时间超出规定,Unknown
163,播放未取得广播电视节目制作经营许可的单位制作的广播电视节目或者未取得电视剧制作许可的单位制作的电视剧,Unknown
164,播放未经批准的境外电影、电视剧和其他广播电视节目,Unknown
165,教育电视台播放本条例第四十四条规定禁止播放的节目,Unknown
166,未经批准擅自举办广播电视节目交流、交易活动行为,Unknown
167,市级,Unknown
168,西安市文化市场综合执法支队,Unknown
169,有机产品认证活动的监督检查,Unknown
170,行政检查,Unknown
171,认证认可与检验检测监管处,Unknown
172,烟花爆竹生产经企业,Unknown
173,中转库,Unknown
174,药物总库,Unknown
175,成品总库,Unknown
176,市应急管理局,Unknown
177,市应急管理综合执法支队,Unknown
178,国家安全监管总局,Unknown
179,通知,Unknown
180,中华人民共和国安全生产法,Unknown
181,生产经营单位,Unknown
182,消除事故隐患,Unknown
183,国家安全监管总局的通知,Unknown
184,西安市住房和城乡建设局,Unknown
185,施工单位,Unknown
186,因建设工程施工可能造成损害的综合管廊采取专项防护措施,Unknown
187,住房建设行政主管部门,Unknown
188,五万元以上十万元以下,Unknown
189,造成损失的单位,Unknown
190,西安市城市地下综合管廊条例,Unknown
191,综合管廊安全保护范围,Unknown
192,国家标准,Unknown
193,安全警示标志,Unknown
194,显著位置,Unknown
195,建筑垃圾运输车辆的驾驶人,Unknown
196,规定条件,Unknown
197,交警大队,Unknown
198,西安建筑垃圾管理条例,Unknown
199,公安机关交通管理部门,Unknown
200,建筑垃圾运输人,Unknown
201,建筑垃圾运输企业,Unknown
202,安全生产监督管理部门,Unknown
203,管道单位,Unknown
204,转产,Unknown
205,停产,Unknown
206,停止使用,Unknown
207,《危险化学品输送管道安全管理规定》,Unknown
208,国家安全生产监督管理总局公布,Unknown
209,2015年5月27日修正,Unknown
210,5万元以上 10万元以下,Unknown
211,1万元以下,Unknown
212,1万元以上 5万元以下,Unknown
213,对公共场所的阅报栏、信息栏、条幅、布幔、旗帜、充气装置、实物造型违反规定的行政处罚,Unknown
214,市容秩序管理处,Unknown
215,《陕西省城市市容环境卫生条例》（2010修正）,Unknown
216,公共场所的阅报栏、信息栏、条幅、布幔、旗帜、充气装置、实物造型,Unknown
217,"出现破旧、污损的,应当及时更换,违反规定的,责令限期改正；逾期未改正的,可以并处二百元以上五百元以下罚款",Unknown
218,化妆品标识,Unknown
219,生产日期和保质期,Unknown
220,生产批号和限期使用日期,Unknown
221,化妆品,Unknown
222,当根据产品使用需要或者在标识中难以反映产品全部信息时,Unknown
223,使用说明,Unknown
224,通俗易懂,Unknown
225,当需要附图时,Unknown
226,注意事项,Unknown
227,中文警示说明,Unknown
228,保质期和安全性要求的储存条件,Unknown
229,凡使用或者保存不当容易造成化妆品本身损坏或者可能危及人体健康和人身安全的化妆品,Unknown
230,《中华人民共和国产品质量法》,Unknown
231,责令改正,Unknown
232,"情节严重的,责令停止生产、销售",Unknown
233,并处违法生产、销售产品货值金额百分之三十以下的罚款,Unknown
234,"有违法所得的,并处没收违法所得",Unknown
235,《化妆品标识管理规定》,Unknown
236,化妆品标识应当清晰地标注化妆品的生产日期和保质期,Unknown
237,化妆品标识应当清晰地标注化妆品的生产批号和限期使用日期,Unknown
238,"化妆品根据产品使用需要或者在标识中难以反映产品全部信息时,应当增加使用说明",Unknown
239,使用说明应通俗易懂,Unknown
240,需要附图时须有图例示,Unknown
241,"凡使用或者保存不当容易造成化妆品本身损坏或者可能危及人体健康和人身安全的化妆品、适用于儿童等特殊人群的化妆品,必须标注注意事项、中文警示说明,以及满足保质期和安全性要求的储存条件",Unknown
242,生活垃圾管理处,Unknown
243,水利工程项目法人,Unknown
244,水利水电施工企业,Unknown
245,水利工程管理单位,Unknown
246,农村水电站,Unknown
247,建设与运行管理处,Unknown
248,对开展募捐活动有通过虚构事实等方式欺骗、诱导募捐对象实施捐赠的,Unknown
249,向单位或者个人摊派或者变相摊派的,Unknown
250,妨碍公共秩序、企业生产经营或者居民生活的,Unknown
251,与不具有公开募捐资格的组织或者个人合作，违反《中华人民共和国慈善法》第二十六条规定的,Unknown
252,通过互联网开展公开募捐，违反《中华人民共和国慈善法》第二十七条规定的,Unknown
253,为应对重大突发事件开展公开募捐，不及时分配、使用募得款物,Unknown
254,不具有公开募捐资格的组织或者个人擅自开展公开募捐的处罚,Unknown
255,西安市民政局,Unknown
256,社会组织管理局,Unknown
257,冒领、隐匿、毁弃、私自开拆、非法检查他人邮件,Unknown
258,《中华人民共和国治安管理处罚法》主席令第72号,Unknown
259,签发ATA单证册,Unknown
260,市贸促会,Unknown
261,市贸促会法律事务部,Unknown
262,《中华人民共和国海关暂时进出境货物管理办法》,Unknown
263,中国国际贸易促进委员会(中国国际商会),Unknown
264,ATA单证册,Unknown
265,中国国际贸易促进委员会西安市分会,Unknown
266,法律事务部,Unknown
267,西安市分会,Unknown
268,旅行社委派的导游人员和领队人员,Unknown
269,国家规定的导游证或者不具备领队条件,Unknown
270,旅游行政管理部门,Unknown
271,旅行社,Unknown
272,2万元以上10万元以下,Unknown
273,一般污染水源行为代履行,Unknown
274,行政强制,Unknown
275,《西安市城市饮用水源污染防治管理条例》,Unknown
276,禁止行为,Unknown
277,城市饮用水地下水源二级保护区内,Unknown
278,城市饮用水地表水源准保护区内,Unknown
279,环境保护行政管理部门,Unknown
280,限期采取治理措施,Unknown
281,消除污染,Unknown
282,处二万元以上二十万元以下罚款,Unknown
283,指定有治理能力的单位代为治理,Unknown
284,所需费用,Unknown
285,违法者承担,Unknown
286,二级以上焰火燃放许可,Unknown
287,西安市公安局治安管理局,Unknown
288,《烟花爆竹安全管理条例》,Unknown
289,国务院令第455号发布,Unknown
290,主办单位,Unknown
291,"有关人民政府公安部门提出,申请举办焰火晚会以及其他大型焰火燃放活动",Unknown
292,受理申请的公安部门,Unknown
293,"20日内审查,提交的有关材料",Unknown
294,符合条件的,Unknown
295,《焰火燃放许可证》,Unknown
296,不符合条件的,Unknown
297,理由,Unknown
298,排水户,Unknown
299,污水排入排水管网许可证,Unknown
300,水政水资源管理处,Unknown
301,执法监督处,Unknown
302,建设单位或者施工单位,Unknown
303,袋装水泥,Unknown
304,一万元以上五万元以下,Unknown
305,《西安市散装水泥管理条例》,Unknown
306,食品生产者,Unknown
307,恶劣,Unknown
308,严重后果,Unknown
309,单位法定代表人,Unknown
310,主要负责人,Unknown
311,直接负责的主管人员,Unknown
312,其他直接责任人员,Unknown
313,中华人民共和国食品安全法实施条例,Unknown
314,食品生产经营企业,Unknown
315,违法情形,Unknown
316,法定代表人,Unknown
317,生产许可证,Unknown
318,对故意干扰无线电业务正常进行、拒不消除对无线电台(站,Unknown
319,取得法律职业资格人员档案管理,Unknown
320,其他权力类型,Unknown
321,西安市司法局,Unknown
322,律师工作处,Unknown
323,司法行政机关,Unknown
324,取得法律职业资格人员档案,Unknown
325,设区的市级及以上司法行政机关管理,Unknown
326,《法律职业资格管理办法》,Unknown
327,对定点医药机构使用医疗保障基金（医疗救助基金）行为的监督检查,Unknown
328,西安市医疗保障局,Unknown
329,西安市医疗保障局法规与监督处,Unknown
330,《医疗保障基金使用监督管理条例》,Unknown
331,国务院医疗保障行政部门,Unknown
332,全国的医疗保障基金使用监督管理工作,Unknown
333,国务院其他有关部门,Unknown
334,有关的医疗保障基金使用监督管理工作,Unknown
335,县级以上地方人民政府医疗保障行政部门,Unknown
336,本行政区域的医疗保障基金使用监督管理工作,Unknown
337,县级以上地方人民政府其他有关部门,Unknown
338,中华人民共和国法律援助法,Unknown
339,律师协会,Unknown
340,律师事务所、律师参与法律援助工作,Unknown
341,律师事务所、律师履行法律援助义务的情况,Unknown
342,律师事务所、律师,Unknown
343,法律援助义务,Unknown
344,《中华人民共和国大气污染防治法》,Unknown
345,2018年,Unknown
346,使用排放不合格的非道路移动机械,Unknown
347,在用重型柴油车、非道路移动机械未按照规定加装、更换污染控制装置,Unknown
348,主管部门,Unknown
349,处五千元的罚款,Unknown
350,未经批准擅自取水,Unknown
351,未依照批准的取水许可规定条件取水行为,Unknown
352,疾病预防控制机构,Unknown
353,国家规定的条件和技术标准,Unknown
354,医疗机构,Unknown
355,从事病原微生物实验的单位,Unknown
356,传染病病原体样本,Unknown
357,严格管理,Unknown
358,国家有关规定,Unknown
359,传染病菌种,Unknown
360,毒种,Unknown
361,传染病检测样本,Unknown
362,主管人员,Unknown
363,降级处分,Unknown
364,撤职处分,Unknown
365,开除处分,Unknown
366,责任人员,Unknown
367,执业证书,Unknown
368,西安市卫生健康委员会,Unknown
369,行政处罚权力,Unknown
370,科技教育处,Unknown
371,中华人民共和国传染病防治法,Unknown
372,2013年6月,Unknown
373,矿山,Unknown
374,不按照开采设计,Unknown
375,矿产资源保护监督管理处,Unknown
376,《矿产资源监督管理暂行办法》,Unknown
377,矿山企业,Unknown
378,追究有关人员的责任,Unknown
379,地质矿产主管部门,Unknown
380,限期改正,Unknown
381,处以相当于矿石损失50％以下的罚款,Unknown
382,责令停产整顿,Unknown
383,吊销采矿许可证,Unknown
384,网络交易监督管理办法,Unknown
385,国家市场监督管理总局令第37号,Unknown
386,2021.05.01,Unknown
387,市场监督管理部门,Unknown
388,电子商务经营者,Unknown
389,提供搜索结果,Unknown
390,搭售商品、服务,Unknown
391,五万元以上二十万元以下,Unknown
392,二十万元以上五十万元以下,Unknown
393,人民防空工程,Unknown
394,兼顾人民防空需要的地下工程,Unknown
395,西安市国防动员办公室,Unknown
396,工程处,Unknown
397,陕西省实施〈中华人民共和国人民防空法办法〉,Unknown
398,人民防空主管部门,Unknown
399,防空地下室的质量监督,Unknown
400,人民防空工程的档案备案,Unknown
401,工程竣工验收报告,Unknown
402,接受委托的工程质量监督机构及有关部门出具的认可文件,Unknown
403,国家国防动员委员会 国家发展计划委员会 建设部 财政部关于颁发《人民防空工程建设管理规定》的通知,Unknown
404,人民防空工程竣工验收,Unknown
405,备案制度,Unknown
406,境外认证机构,Unknown
407,予以取缔,Unknown
408,处5万元以上20万元以下的罚款,Unknown
409,经登记设立的境外认证机构代表机构,Unknown
410,处10万元以上50万元以下的罚款,Unknown
411,没收违法所得,Unknown
412,"情节严重的,撤销批准文件",Unknown
413,予以公布,Unknown
414,中华人民共和国认证认可条例,Unknown
415,客运经营者,Unknown
416,不具备安全生产条件,Unknown
417,客运站经营者,Unknown
418,交通运输主管部门,Unknown
419,相应许可,Unknown
420,放射性物品道路运输企业或者单位,Unknown
421,许可要求的有关安全条件,Unknown
422,停产停业整顿,Unknown
423,相关许可证件,Unknown
424,西安市交通运输局,Unknown
425,西安市交通运输综合执法支队,Unknown
426,道路旅客运输及客运站管理规定,Unknown
427,第一百条,Unknown
428,第四十三条,Unknown
429,公开募捐方案备案,Unknown
430,慈善事业促进处,Unknown
431,《中华人民共和国慈善法》,Unknown
432,募捐方案,Unknown
433,募捐目的,Unknown
434,起止时间和地域,Unknown
435,活动负责人姓名和办公地址,Unknown
436,接受捐赠方式,Unknown
437,银行账户,Unknown
438,受益人,Unknown
439,募得款物用途,Unknown
440,募捐成本,Unknown
441,剩余财产的处理,Unknown
442,慈善组织登记的民政部门备案,Unknown
443,对农业机械安全的监督检查,Unknown
444,《农业机械安全监督管理条例》,Unknown
445,农业机械安全监督管理执法人员,Unknown
446,农业机械安全监督检查,Unknown
447,向有关单位和个人了解情况,Unknown
448,查阅、复制有关资料,Unknown
449,查验拖拉机、联合收割机证书、牌照及有关操作证件,Unknown
450,检查危及人身财产安全的农业机械的安全状况,Unknown
451,"对存在重大事故隐患的农业机械,责令当事人立即停止作业或者停止农业机械的转移",Unknown
452,进行维修,Unknown
453,责令农业机械操作人员改正违规操作行为,Unknown
454,陕西省价格条例,Unknown
455,行业组织,Unknown
456,第五十七条,Unknown
457,经营者相互串通,Unknown
458,操纵市场价格,Unknown
459,推动商品价格过快、过高上涨,Unknown
460,制定排除或者限制价格竞争的规则、决定等,Unknown
461,"通过会议、通知等形式,组织经营者形成价格垄断或者价格联盟",Unknown
462,组织本行业的经营者相互串通、操纵市场价格或者推动商品价格过快、过高上涨,Unknown
463,消防技术服务机构,Unknown
464,消防设施维护保养检测机构,Unknown
465,《社会消防技术服务机构管理规定》,Unknown
466,依法取得麻醉药品药用原植物种植或者麻醉药品和精神药品经营、使用、运输等资格的单位,Unknown
467,原审批部门,Unknown
468,相应许可证明文件,Unknown
469,没有违法所得,Unknown
470,构成犯罪,Unknown
471,刑事责任,Unknown
472,《麻醉药品和精神药品管理条例》,Unknown
473,执业兽医,Unknown
474,有关动物诊疗的操作技术规范,Unknown
475,不符合规定的兽药和兽医器械,Unknown
476,当地人民政府或者农业农村主管部门要求参加动物疫病预防、控制和动物疫情扑灭活动,Unknown
477,国家规定应当扑杀的疫病的动物进行治疗,Unknown
478,警告,Unknown
479,动物诊疗活动,Unknown
480,"吊销,执业兽医资格证书",Unknown
481,《工贸企业重大事故隐患判定标准》,Unknown
482,《中华人民共和国安全生产法》,Unknown
483,会议室,Unknown
484,重大事故隐患,Unknown
485,活动室,Unknown
486,休息室,Unknown
487,操作室,Unknown
488,交接班室,Unknown
489,更衣室,Unknown
490,澡堂,Unknown
491,熔融金属吊运跨的地坪区域,Unknown
492,人员聚集场所,Unknown
493,《排污许可管理条例》,Unknown
494,污染物排放方式或者排放去向不符合排污许可证规定,Unknown
495,水利工程质量检测人员,Unknown
496,质量检测活动,Unknown
497,1千元以下罚款,Unknown
498,检测数据,Unknown
499,伪造数据,Unknown
500,法律,Unknown
501,法规,Unknown
502,强制性标准,Unknown
503,水政水资源管理处（执法监督处）,Unknown
504,西安市农业农村局(市乡村振兴局),Unknown
505,发生病原微生物被盗、被抢、丢失、泄漏,Unknown
506,《病原微生物实验室生物安全管理条例》,Unknown
507,所在地的县级人民政府卫生主管部门或者兽医主管部门,Unknown
508,实验室的设立单位或者承运单位、保藏机构的上级主管部门,Unknown
509,处分,Unknown
510,主要负责人、直接负责的主管人员和其他直接责任人员,Unknown
511,构成犯罪的,Unknown
512,渔业船舶船员证书核发,Unknown
513,渔业渔政处,Unknown
514,伪造,Unknown
515,变造,Unknown
516,编制虚假财务会计报告,Unknown
517,隐匿,Unknown
518,故意销毁依法应当保存的会计凭证,Unknown
519,西安市财政局,Unknown
520,会计处,Unknown
521,财政政策与风险管理处,Unknown
522,县级以上人民政府财政部门,Unknown
523,伪造、变造会计凭证、会计账簿，编制虚假财务会计报告，隐匿或者故意销毁依法应当保存的会计凭证、会计账簿、财务会计报告,Unknown
524,通报批评,Unknown
525,公职人员,Unknown
526,会计人员,Unknown
527,中华人民共和国会计法,Unknown
528,证据材料,Unknown
529,违法物品,Unknown
530,《易制毒化学品管理条例》,Unknown
531,县级以上人民政府公安机关,Unknown
532,易制毒化学品生产,Unknown
