start_id,end_id,relation_type,source
1,2,冒用,extraction
3,4,由,extraction
4,1,责令改正,extraction
4,5,没收,extraction
1,6,违法生产经营的农产品货值金额不足五千元的,extraction
1,7,违法生产经营的农产品货值金额五千元以上的,extraction
8,9,行驶主体,extraction
10,9,承办机构,extraction
11,12,实施依据,extraction
13,14,安装使用不符合规定,extraction
15,16,行驶主体,extraction
15,17,行驶主体,extraction
18,14,实施依据,extraction
19,20,安装使用及其线路管路的设计敷设维护保养检测不符合规定,extraction
19,21,安装使用及其线路管路的设计敷设维护保养检测不符合规定,extraction
19,22,安装使用及其线路管路的设计敷设维护保养检测不符合规定,extraction
23,9,误导、欺骗公众或者含有其他违法内容行为,extraction
24,25,行驶主体,extraction
26,25,承办机构,extraction
27,9,实施依据,extraction
28,29,需要,extraction
30,31,事先确定,extraction
31,32,根据,extraction
32,33,报,extraction
33,31,批准,extraction
34,35,不得,extraction
30,36,列入,extraction
37,38,可能,extraction
39,40,应当,extraction
41,42,必须,extraction
42,43,应当,extraction
44,45,批准前,extraction
46,47,不得,extraction
48,49,须由,extraction
50,51,具有,extraction
52,53,由,extraction
54,55,不履行,extraction
54,56,违反,extraction
54,57,违反,extraction
54,58,造成,extraction
59,55,不履行,extraction
59,56,违反,extraction
59,57,违反,extraction
59,58,造成,extraction
60,55,不履行,extraction
60,56,违反,extraction
60,57,违反,extraction
60,58,造成,extraction
24,61,行驶,extraction
26,9,承办,extraction
62,63,吊销,extraction
64,65,权力类型,extraction
24,64,行驶主体,extraction
66,64,承办机构,extraction
67,64,实施依据,extraction
68,64,实施依据,extraction
69,64,受理申请,extraction
70,64,审查,extraction
71,64,验收,extraction
72,64,验收依据,extraction
73,25,行使主体,extraction
74,25,承办机构,extraction
75,25,实施依据,extraction
76,25,实施依据,extraction
77,78,责令退还非法占用的土地,extraction
77,79,责令限期改正,extraction
77,80,依照处罚,extraction
77,78,可以并处罚款,extraction
77,81,依法给予处分,extraction
77,82,追究刑事责任,extraction
25,83,包括,extraction
84,9,是,extraction
85,15,是,extraction
86,87,是,extraction
88,89,是,extraction
90,9,行使主体,extraction
91,9,承办机构,extraction
92,9,承办机构,extraction
93,94,执行,extraction
93,95,执行,extraction
93,96,执行,extraction
97,98,新建排放噪声的工业企业,extraction
97,98,改建、扩建工业企业,extraction
99,100,实施依据,extraction
25,101,涉及,extraction
84,65,是,extraction
85,102,是,extraction
86,66,是,extraction
24,9,行使主体,extraction
103,104,违反,extraction
103,105,拒不提供,extraction
103,106,使,extraction
24,107,依据,extraction
107,108,公布,extraction
107,109,修订,extraction
110,111,情节,extraction
110,112,处以罚款,extraction
113,114,实施,extraction
113,115,实施,extraction
113,116,实施,extraction
113,117,实施,extraction
113,118,实施,extraction
113,119,实施,extraction
113,120,实施,extraction
113,121,实施,extraction
122,110,责令停止,extraction
122,123,没收,extraction
124,125,超过,extraction
126,124,基于,extraction
127,128,基于,extraction
129,130,可能导致,extraction
113,131,登记的企业名称,extraction
113,132,应当及时办理,extraction
133,134,由原企业登记机关,extraction
135,25,服务事项,extraction
73,84,行驶主体,extraction
136,84,承办机构,extraction
137,135,实施依据,extraction
138,135,实施依据,extraction
139,140,提交材料,extraction
141,140,提交材料,extraction
142,140,提交材料,extraction
143,140,提交材料,extraction
144,140,提交材料,extraction
145,140,提交材料,extraction
146,25,行使主体,extraction
25,14,包含,extraction
84,9,包含,extraction
147,25,承办,extraction
25,148,依据,extraction
148,149,修订年份,extraction
150,151,导致,extraction
152,153,责令,extraction
154,155,导致,extraction
154,156,导致,extraction
25,157,包括,extraction
25,158,包括,extraction
25,159,包括,extraction
25,160,包括,extraction
25,161,包括,extraction
25,162,包括,extraction
25,163,包括,extraction
25,164,包括,extraction
25,165,包括,extraction
25,166,包括,extraction
84,9,是,extraction
85,167,是,extraction
86,168,是,extraction
25,169,涉及,extraction
84,170,是,extraction
85,24,是,extraction
86,171,是,extraction
172,173,包含,extraction
172,174,包含,extraction
172,175,包含,extraction
176,61,行使,extraction
177,9,承办,extraction
178,179,发布,extraction
179,173,涉及,extraction
179,174,涉及,extraction
179,175,涉及,extraction
180,181,涉及,extraction
181,182,未采取措施,extraction
176,183,依据,extraction
176,180,依据,extraction
184,25,行使主体,extraction
25,185,涉及,extraction
185,186,未对,extraction
187,185,责令改正,extraction
187,185,责令停业整顿,extraction
187,185,处以罚款,extraction
156,188,范围,extraction
187,189,依法承担赔偿责任,extraction
190,25,实施依据,extraction
191,192,划定依据,extraction
193,194,设置位置,extraction
195,196,不符合,extraction
15,9,行驶主体,extraction
197,9,承办机构,extraction
198,9,实施依据,extraction
199,195,处罚对象,extraction
199,200,处罚对象,extraction
199,201,处罚对象,extraction
176,9,行使主体,extraction
