id,name,node_type
1,市公安局,Unknown
2,消防支队,Unknown
3,大队,Unknown
4,《中华人民共和国消防法》,Unknown
5,处罚,Unknown
6,电器产品,Unknown
7,消防技术标准和管理规定,Unknown
8,燃气用具,Unknown
9,责令限期改正,Unknown
10,电器产品、燃气用具的安装、使用及其线路、管路的设计、敷设、维护保养、检测不符合消防技术标准和管理规定,Unknown
11,责令停止使用,Unknown
12,可以并处一千元以上五千元以下罚款,Unknown
13,营业性演出广告的内容,Unknown
14,行政处罚,Unknown
15,工商行政管理部门,Unknown
16,西安市市场监督管理局,Unknown
17,对营业性演出广告的内容误导、欺骗公众或者含有其他违法内容行为的行政处罚,Unknown
18,《营业性演出管理条例》,Unknown
19,擅自停用、拆除消防设施、器材,Unknown
20,《中华人民共和国消防法》第六十条,Unknown
21,对擅自停用、拆除消防设施、器材的处罚,Unknown
22,消防设施、器材或者消防安全标志的配置、设置不符合国家标准、行业标准，或者未保持完好有效,Unknown
23,损坏、挪用或者擅自拆除、停用消防设施、器材,Unknown
24,占用、堵塞、封闭疏散通道、安全出口或者有其他妨碍安全疏散行为,Unknown
25,埋压、圈占、遮挡消火栓或者占用防火间距,Unknown
26,占用、堵塞、封闭消防车通道，妨碍消防车通行,Unknown
27,人员密集场所在门窗上设置影响逃生和灭火救援的障碍物,Unknown
28,火灾隐患经公安机关消防机构通知后不及时采取措施消除,Unknown
29,文物保护单位,Unknown
30,原址保护措施,Unknown
31,建设单位,Unknown
32,保护措施,Unknown
33,文物保护单位的级别,Unknown
34,相应的文物行政部门,Unknown
35,未经批准,Unknown
36,开工建设,Unknown
37,省、自治区、直辖市人民政府,Unknown
38,无法实施原址保护,Unknown
39,国务院文物行政部门,Unknown
40,全国重点文物保护单位,Unknown
41,拆除,Unknown
42,国务院,Unknown
43,具有收藏价值的壁画、雕塑、建筑构件等,Unknown
44,文物行政部门指定的文物收藏单位收藏,Unknown
45,原址保护、迁移、拆除所需费用,Unknown
46,建设工程预算,Unknown
47,西安市自然资源和规划局,Unknown
48,服务事项,Unknown
49,西安市自然资源和规划执法监察队,Unknown
50,未经批准或者采取欺骗手段骗取批准,Unknown
51,非法占用土地,Unknown
52,县级以上人民政府自然资源主管部门,Unknown
53,责令退还非法占用的土地,Unknown
54,没收在非法占用的土地上新建的建筑物和其他设施,Unknown
55,可以并处罚款,Unknown
56,依法给予处分,Unknown
57,追究刑事责任,Unknown
58,违反土地利用总体规划擅自将农用地改为建设用地,Unknown
59,违反本条例规定,Unknown
60,在国土空间规划确定的禁止开垦的范围内从事土地开发活动,Unknown
61,特种设备安全管理人员,Unknown
62,岗位职责,Unknown
63,操作规程,Unknown
64,有关安全规章制度,Unknown
65,事故,Unknown
66,检测人员,Unknown
67,作业人员,Unknown
68,行政处罚权力,Unknown
69,《中华人民共和国特种设备安全法》第九十二条,Unknown
70,相关人员资格,Unknown
71,药品零售企业经营许可,Unknown
72,行政许可,Unknown
73,行政审批处,Unknown
74,中华人民共和国药品管理法,Unknown
75,中华人民共和国药品管理法实施条例,Unknown
76,设区的市级药品监督管理机构或者省、自治区直辖市人民政府药品监督管理部门直接设置的县级药品监督管理机构,Unknown
77,原审批机构,Unknown
78,国务院药品监督管理部门的规定,Unknown
79,审查药品零售企业经营许可,Unknown
80,《药品管理法》第十五条规定的开办条件,Unknown
81,验收药品零售企业经营许可,Unknown
82,当地常住人口数量、地域、交通状况和实际需要,Unknown
83,对违规举办大型活动的处罚,Unknown
84,权力类型,Unknown
85,行驶主体,Unknown
86,承办机构,Unknown
87,治安局,Unknown
88,实施依据,Unknown
89,《中华人民共和国治安管理处罚法》,Unknown
90,西安市生态环境局,Unknown
91,市生态环境保护综合执法支队,Unknown
92,县（区）生态环境保护综合执法大队,Unknown
93,生态环境主管部门,Unknown
94,噪声敏感建筑物集中区域,Unknown
95,工业企业的,Unknown
96,在噪声敏感建筑物集中区域新建排放噪声,Unknown
97,工业企业,Unknown
98,在噪声敏感建筑物集中区域改建、扩建,Unknown
99,中华人民共和国噪声污染防治法,Unknown
100,停止违法行为,Unknown
101,违反本法规定，在噪声敏感建筑物集中区域新建排放噪声的工业企业的,Unknown
102,处十万元以上五十万元以下的罚款,Unknown
103,责令关闭,Unknown
104,改正,Unknown
105,违反本法规定，在噪声敏感建筑物集中区域改建、扩建工业企业，未采取有效措施防止工业噪声污染的,Unknown
106,国有建设用地使用权首次登记,Unknown
107,行政确认,Unknown
108,西安市不动产登记服务中心,Unknown
109,中华人民共和国民法典,Unknown
110,不动产登记暂行条例实施细则,Unknown
111,国有建设用地使用权登记,Unknown
112,不动产权属证书或者土地权属来源材料,Unknown
113,建设工程符合规划的材料,Unknown
114,房屋已经竣工的材料,Unknown
115,房地产调查或者测绘报告,Unknown
116,相关税费缴纳凭证,Unknown
117,其他必要材料,Unknown
118,西安市卫生健康委员会,Unknown
119,对非医师行医的处罚,Unknown
120,综合监督处,Unknown
121,中华人民共和国医师法,Unknown
122,院前医疗急救管理办法,Unknown
123,执业医师法,Unknown
124,医疗机构管理条例,Unknown
125,护士条例,Unknown
126,台湾地区医师在大陆短期行医管理规定,Unknown
127,卫生部令第63号,Unknown
128,港澳医师在内地短期行医管理规定,Unknown
129,卫生部令第62号,Unknown
130,因建设需要必须拆迁、改建、封闭环境卫生设施的审批,Unknown
131,西安市城市管理和综合执法局,Unknown
132,西安市水务局,Unknown
133,西安市水利水土保持工作总站,Unknown
134,中华人民共和国水土保持法,Unknown
135,2010,Unknown
136,违反,Unknown
137,拒不缴纳水土保持补偿费,Unknown
138,县级以上人民政府水行政主管部门,Unknown
139,限期缴纳,Unknown
140,逾期不缴纳,Unknown
141,加收滞纳金,Unknown
142,滞纳之日起,Unknown
143,万分之五,Unknown
144,可以处,Unknown
145,应缴水土保持补偿费三倍以下,Unknown
146,施工单位,Unknown
147,因建设工程施工可能造成损害的综合管廊采取专项防护措施的地点,Unknown
148,西安市住房和城乡建设局,Unknown
149,执法监察队,Unknown
150,审批市环境局决定,Unknown
151,某镇环保站,Unknown
152,市容秩序管理处,Unknown
153,《陕西省城市市容环境卫生条例》（2010修正）,Unknown
154,违反规定的处罚,Unknown
155,市应急管理局,Unknown
156,市应急管理综合执法支队,Unknown
157,危险化学品输送管道安全管理规定,Unknown
158,安全生产监督管理部门,Unknown
159,责令改正,Unknown
160,处以罚款,Unknown
161,管道单位,Unknown
162,及时、妥善处置,Unknown
163,处置方案,Unknown
164,金属非金属露天矿山未按有关国家标准或者行业标准对采场边坡、排土场边坡进行稳定性分析的行政处罚,Unknown
165,信息公开,Unknown
166,《国家矿山安全监察局关于印发〈金属非金属矿山重大事故隐患判定标准〉的通知》（矿安〔2022〕88 号）,Unknown
167,《中华人民共和国安全生产法》,Unknown
168,生产经营单位未采取措施消除事故隐患的,Unknown
169,对开展募捐活动有通过虚构事实等方式欺骗、诱导募捐对象实施捐赠的,Unknown
