id,name,node_type
1,服务事项,Unknown
2,环境执法处罚,Unknown
3,未取得排污许可证排污,Unknown
4,权力类型,Unknown
5,行政处罚,Unknown
6,承办机构,Unknown
7,生态环境部,Unknown
8,实施依据,Unknown
9,《中华人民共和国固体废物污染环境防治法》,Unknown
10,"""未验先投违法生产""",Unknown
11,"""行政处罚""",Unknown
12,行驶主体,Unknown
13,"""生态环境综合执法支队""",Unknown
14,"""未成立的办公室""",Unknown
15,"""《环境监测管理办法》""",Unknown
16,未验先投违法生产,Unknown
17,应急管理局,Unknown
18,中华人民共和国大气污染防治法,Unknown
19,破坏自然保护区,Unknown
20,林业局,Unknown
21,《中华人民共和国环境噪声污染防治法》,Unknown
22,超标排放废水,Unknown
23,《中华人民共和国环境影响评价法》,Unknown
24,超标排放废气,Unknown
25,环境监察支队,Unknown
26,拒绝环境执法检查,Unknown
27,《危险废物经营许可证管理办法》,Unknown
28,未按规定安装污染物排放自动看看设备,Unknown
29,水利局,Unknown
30,某不存在的机构,Unknown
31,《中华人民共和国环境保护法》,Unknown
32,环境监测站,Unknown
33,辐射安全管理不规范,Unknown
34,县生态环境局,Unknown
35,篡改伪造监测数据,Unknown
36,环境应急中心,Unknown
37,《建设项目环境保护管理条例》,Unknown
38,恶臭污染扰民,Unknown
39,《中华人民共和国土壤污染防治法》,Unknown
40,自然资源局,Unknown
41,"""环境执法""",Unknown
42,环境执法地点,Unknown
43,"""危险废物未按规定贮存""",Unknown
44,"""商务部""",Unknown
45,"""农业农村局""",Unknown
46,"""《排污许可管理条例》""",Unknown
47,非法采砂采石,Unknown
48,农业农村局,Unknown
49,《环境监测管理办法》,Unknown
50,《畜禽规模养殖污染防治条例》,Unknown
51,环境信息未公开,Unknown
52,发改委,Unknown
53,中华人民共和国环境保护法,Unknown
54,篡改伪造瞧瞧数据,Unknown
55,畜禽粪污直排入河,Unknown
56,市生态环境局,Unknown
57,《中华人民共和国水污染防治法》,Unknown
58,水土流失治理不力,Unknown
59,省生态环境厅,Unknown
60,环境应急预案未备案,Unknown
61,《中华人民共和国大气污染防治法》,Unknown
62,危险化学品泄漏,Unknown
