start_id,end_id,relation_type,source
1,2,包括,extraction
2,3,涉及,extraction
4,5,是,extraction
6,7,是,extraction
8,9,来自,extraction
1,10,包括,extraction
4,11,是,extraction
12,13,是,extraction
6,14,是,extraction
8,15,是,extraction
2,16,服务事项,extraction
5,2,权力类型,extraction
17,2,行驶主体,extraction
17,2,承办机构,extraction
18,2,实施依据,extraction
1,2,包含,extraction
2,19,涉及,extraction
4,5,描述,extraction
12,20,是,extraction
6,20,是,extraction
8,21,来自,extraction
2,22,服务事项,extraction
5,2,权力类型,extraction
20,2,行驶主体,extraction
20,2,承办机构,extraction
2,23,实施依据,extraction
2,24,服务事项,extraction
5,2,权力类型,extraction
25,2,行驶主体,extraction
25,2,承办机构,extraction
21,2,实施依据,extraction
2,26,包含事项,extraction
4,5,是,extraction
12,7,是,extraction
6,7,是,extraction
8,27,是,extraction
2,28,涉及事项,extraction
4,5,是,extraction
12,29,是,extraction
6,30,是,extraction
8,31,是,extraction
1,2,包括,extraction
2,16,涉及,extraction
12,32,为,extraction
6,32,为,extraction
2,33,服务事项,extraction
5,2,权力类型,extraction
34,2,行驶主体,extraction
34,2,承办机构,extraction
1,35,包含,extraction
4,5,是,extraction
12,7,是,extraction
6,7,是,extraction
2,35,包含,extraction
4,5,是,extraction
12,36,是,extraction
6,36,是,extraction
8,37,是,extraction
2,38,涉及,extraction
4,5,是,extraction
12,29,是,extraction
6,29,是,extraction
8,39,是,extraction
2,35,包含,extraction
4,5,是,extraction
12,40,是,extraction
6,40,是,extraction
8,37,是,extraction
1,41,包括,extraction
42,43,涉及,extraction
4,11,是,extraction
12,44,是,extraction
6,45,是,extraction
8,46,是,extraction
1,2,包括,extraction
2,47,包含,extraction
4,5,是,extraction
12,48,是,extraction
8,49,是,extraction
1,16,包含,extraction
4,5,包含,extraction
6,25,为,extraction
8,50,来自,extraction
2,51,包含内容,extraction
5,2,类型,extraction
52,2,行驶主体,extraction
34,2,承办机构,extraction
53,2,实施依据,extraction
1,2,包括,extraction
2,38,涉及,extraction
4,5,是,extraction
12,32,是,extraction
6,30,是,extraction
8,21,是,extraction
2,54,包含,extraction
4,5,是,extraction
12,7,是,extraction
6,7,是,extraction
8,23,是,extraction
2,55,服务事项,extraction
5,2,权力类型,extraction
56,2,行驶主体,extraction
56,2,承办机构,extraction
2,57,实施依据,extraction
1,2,包括,extraction
