id,name,node_type
1,环境执法处罚,Unknown
2,未验先投违法生产,Unknown
3,行政处罚,Unknown
4,镇环保所,Unknown
5,《危险废物经营许可证管理办法》,Unknown
6,环境应急预案未备案,Unknown
7,县生态环境局,Unknown
8,《中华人民共和国土壤污染防治法》,Unknown
9,土壤污染未修复,Unknown
10,权力类型,Unknown
11,行驶主体,Unknown
12,自然资源局,Unknown
13,承办机构,Unknown
14,实施依据,Unknown
15,《中华人民共和国环境噪声污染防治法》,Unknown
16,服务事项,Unknown
17,"""畜禽粪污直排入河""",Unknown
18,"""行政处罚""",Unknown
19,"""生态环境综合执法支队""",Unknown
20,"""《中华人民共和国环境噪声污染防治法》""",Unknown
21,拒绝环境执法检查,Unknown
22,应急管理局,Unknown
23,《中华人民共和国固体废物污染环境防治法》,Unknown
24,"""固体废物乱堆乱放""",Unknown
25,"""区生态环境分局""",Unknown
26,"""《中华人民共和国土壤污染防治法》""",Unknown
27,违法占用湿地,Unknown
28,水利局,Unknown
29,危险化学品泄漏,Unknown
30,农业农村局,Unknown
31,《中华人民共和国环境保护法》,Unknown
32,超标排放废气,Unknown
33,市生态环境局,Unknown
34,"""未验先投违法生产""",Unknown
35,"""农业农村局""",Unknown
36,"""《中华人民共和国水污染防治法》""",Unknown
37,未取得排污许可证排污,Unknown
38,环境监察支队,Unknown
39,《环境监测管理办法》,Unknown
40,扬尘污染防治不到位,Unknown
41,中华人民共和国土壤污染防治法,Unknown
42,"""建设项目未批先建""",Unknown
43,"""环境监察支队""",Unknown
44,"""《中华人民共和国环境影响评价法》""",Unknown
45,超标排放废水,Unknown
46,环境应急中心,Unknown
47,《建设项目环境保护管理条例》,Unknown
48,省生态环境厅,Unknown
49,环境信息未公开,Unknown
50,破坏自然保护区,Unknown
51,区生态环境分局,Unknown
52,"""恶臭污染扰民""",Unknown
53,"""省生态环境厅""",Unknown
54,"""《中华人民共和国固体废物污染环境防治法》""",Unknown
55,篡改伪造监测数据,Unknown
56,环境监测站,Unknown
57,"""镇环保所""",Unknown
58,畜禽粪污直排入河,Unknown
59,《中华人民共和国水污染防治法》,Unknown
60,《畜禽规模养殖污染防治条例》,Unknown
