id,name,node_type
1,环境执法处罚,Unknown
2,未验先投违法生产,Unknown
3,行政处罚,Unknown
4,镇环保所,Unknown
5,《危险废物经营许可证管理办法》,Unknown
6,环境应急预案未备案,Unknown
7,县生态环境局,Unknown
8,《中华人民共和国土壤污染防治法》,Unknown
9,土壤污染未修复,Unknown
10,权力类型,Unknown
11,行驶主体,Unknown
12,自然资源局,Unknown
13,承办机构,Unknown
14,实施依据,Unknown
15,《中华人民共和国环境噪声污染防治法》,Unknown
16,服务事项,Unknown
17,"""畜禽粪污直排入河""",Unknown
18,"""行政处罚""",Unknown
19,"""生态环境综合执法支队""",Unknown
20,"""《中华人民共和国环境噪声污染防治法》""",Unknown
21,拒绝环境执法检查,Unknown
22,应急管理局,Unknown
23,《中华人民共和国固体废物污染环境防治法》,Unknown
24,"""环境执法处罚：固体废物乱堆乱放""",Unknown
25,"""区生态环境分局""",Unknown
26,"""《中华人民共和国土壤污染防治法》""",Unknown
27,违法占用湿地,Unknown
28,水利局,Unknown
29,危险化学品泄漏,Unknown
30,农业农村局,Unknown
31,《中华人民共和国环境保护法》,Unknown
32,环境应急中心,Unknown
33,《畜禽规模养殖污染防治条例》,Unknown
34,"""未验先投违法生产""",Unknown
35,"""农业农村局""",Unknown
36,"""《中华人民共和国水污染防治法》""",Unknown
37,未取得排污许可证排污,Unknown
38,环境监察支队,Unknown
39,《环境监测管理办法》,Unknown
40,"""扬尘污染防治不到位""",Unknown
41,"""建设项目未批先建""",Unknown
42,"""环境监察支队""",Unknown
43,"""《中华人民共和国环境影响评价法》""",Unknown
44,超标排放废水,Unknown
45,《建设项目环境保护管理条例》,Unknown
46,省生态环境厅,Unknown
47,破坏自然保护区,Unknown
48,区生态环境分局,Unknown
49,市生态环境局,Unknown
50,"""恶臭污染扰民""",Unknown
51,"""省生态环境厅""",Unknown
52,"""《中华人民共和国固体废物污染环境防治法》""",Unknown
53,篡改伪造监测数据,Unknown
54,环境监测站,Unknown
55,"""固体废物乱堆乱放""",Unknown
56,"""镇环保所""",Unknown
57,畜禽粪污直排入河,Unknown
58,中华人民共和国水污染防治法,Unknown
59,环境监测管理办法,Unknown
60,偷排偷放污染物,Unknown
61,生态环境综合执法支队,Unknown
62,超标排放废气,Unknown
63,恶臭污染扰民,Unknown
64,《中华人民共和国水污染防治法》,Unknown
65,"""偷排偷放污染物""",Unknown
66,固体废物乱堆乱放,Unknown
67,林业局,Unknown
68,生态环境部,Unknown
69,中华人民共和国环境噪声污染防治法,Unknown
70,污染防治设施未正常运行,Unknown
71,VOCs治理设施未正常运行,Unknown
72,环境信息未公开,Unknown
73,《中华人民共和国大气污染防治法》,Unknown
74,《排污许可管理条例》,Unknown
75,"""《环境监测管理办法》""",Unknown
76,非法采砂采石,Unknown
77,辐射安全管理不规范,Unknown
78,《中华人民共和国环境影响评价法》,Unknown
