start_id,end_id,relation_type,source
1,2,服务事项,extraction
3,1,权力类型,extraction
4,1,行驶主体,extraction
4,1,承办机构,extraction
5,1,实施依据,extraction
1,6,服务事项,extraction
3,1,权力类型,extraction
7,1,行驶主体,extraction
7,1,承办机构,extraction
8,1,实施依据,extraction
1,9,包含,extraction
10,3,是,extraction
11,12,是,extraction
13,12,是,extraction
14,15,是,extraction
16,17,包括,extraction
10,18,是,extraction
11,19,是,extraction
13,19,是,extraction
14,20,是,extraction
1,21,包含事项,extraction
10,3,是,extraction
11,22,是,extraction
13,22,是,extraction
14,23,是,extraction
16,24,包括,extraction
10,18,是,extraction
11,25,是,extraction
13,25,是,extraction
14,26,是,extraction
1,27,服务事项,extraction
3,1,权力类型,extraction
28,1,行驶主体,extraction
28,1,承办机构,extraction
23,1,实施依据,extraction
16,1,包括,extraction
1,29,涉及,extraction
10,3,是,extraction
11,30,是,extraction
13,30,是,extraction
14,31,是,extraction
16,1,包括,extraction
1,32,包含,extraction
10,3,是,extraction
11,33,是,extraction
13,33,是,extraction
14,5,是,extraction
16,34,包括,extraction
10,18,是,extraction
11,35,是,extraction
13,35,是,extraction
14,36,是,extraction
16,1,包括,extraction
1,37,涉及问题,extraction
10,3,是,extraction
11,38,是,extraction
13,38,是,extraction
14,39,来自,extraction
1,40,服务事项,extraction
1,3,权力类型,extraction
1,30,行驶主体,extraction
1,30,承办机构,extraction
1,41,实施依据,extraction
1,37,服务事项,extraction
10,3,是,extraction
11,12,是,extraction
13,12,是,extraction
14,23,是,extraction
16,42,包括,extraction
10,18,包括,extraction
11,43,是,extraction
13,43,是,extraction
14,44,是,extraction
1,45,服务事项,extraction
3,1,权力类型,extraction
46,1,行驶主体,extraction
46,1,承办机构,extraction
46,47,实施依据,extraction
1,45,服务事项,extraction
3,1,权力类型,extraction
48,1,行驶主体,extraction
48,1,承办机构,extraction
1,47,实施依据,extraction
16,42,包括,extraction
10,18,是,extraction
11,19,是,extraction
13,19,是,extraction
14,36,是,extraction
1,49,包含内容,extraction
10,3,是,extraction
11,38,是,extraction
13,38,是,extraction
14,8,是,extraction
16,1,包括,extraction
1,50,涉及,extraction
10,3,是,extraction
11,51,是,extraction
13,51,是,extraction
14,23,是,extraction
16,1,是,extraction
1,29,涉及,extraction
10,3,是,extraction
11,33,是,extraction
13,33,是,extraction
14,39,是,extraction
16,52,包括,extraction
10,18,是,extraction
11,53,是,extraction
13,53,是,extraction
14,54,是,extraction
1,55,包含,extraction
10,3,是,extraction
11,56,是,extraction
13,56,是,extraction
14,15,是,extraction
1,9,包含,extraction
10,3,是,extraction
11,46,是,extraction
13,46,是,extraction
14,47,是,extraction
16,24,包括,extraction
10,18,是,extraction
11,57,是,extraction
13,57,是,extraction
14,36,是,extraction
1,55,包含,extraction
10,3,是,extraction
11,48,是,extraction
13,48,是,extraction
14,8,是,extraction
1,58,涉及事项,extraction
3,1,权力类型,extraction
12,1,行驶主体,extraction
12,1,承办机构,extraction
1,47,依据,extraction
1,27,服务事项,extraction
3,1,权力类型,extraction
28,1,行驶主体,extraction
28,1,承办机构,extraction
59,1,实施依据,extraction
16,1,包括,extraction
1,50,涉及,extraction
10,3,是,extraction
11,22,是,extraction
13,22,是,extraction
14,39,是,extraction
1,55,包含,extraction
10,3,是,extraction
11,33,是,extraction
13,33,是,extraction
14,60,是,extraction
