id,name,node_type
1,环境执法处罚,Enhanced
2,未验先投违法生产,Enhanced
3,行政处罚,Enhanced
4,镇环保所,Enhanced
5,《危险废物经营许可证管理办法》,Enhanced
6,环境应急预案未备案,Enhanced
7,县生态环境局,Enhanced
8,《中华人民共和国土壤污染防治法》,Enhanced
9,权力类型,Enhanced
10,行驶主体,Enhanced
11,自然资源局,Enhanced
12,承办机构,Enhanced
13,土壤污染未修复,Enhanced
14,实施依据,Enhanced
15,《中华人民共和国环境噪声污染防治法》,Enhanced
16,畜禽粪污直排入河,Enhanced
17,违法行为,Enhanced
18,生态环境综合执法支队,Enhanced
19,执行主体,Enhanced
20,拒绝环境执法检查,Enhanced
21,应急管理局,Enhanced
22,无,Enhanced
23,《中华人民共和国固体废物污染环境防治法》,Enhanced
24,服务事项,Enhanced
25,固体废物乱堆乱放,Enhanced
26,信息公开,Enhanced
27,区生态环境分局,Enhanced
28,具体条款,Enhanced
29,违法占用湿地,Enhanced
30,水利局,Enhanced
31,危险化学品泄漏,Enhanced
32,农业农村局,Enhanced
33,《中华人民共和国环境保护法》,Enhanced
34,事件,Enhanced
35,机构,Enhanced
36,法律,Enhanced
37,市生态环境局,Enhanced
38,政府部门,Enhanced
39,环境应急中心,Enhanced
40,《畜禽规模养殖污染防治条例》,Enhanced
41,《中华人民共和国水污染防治法》,Enhanced
42,未取得排污许可证排污,Enhanced
43,环境监察支队,Enhanced
44,《环境保护法》,Enhanced
45,《中华人民共和国固体废物污染环境防治法》第X条,Enhanced
46,"""建设项目未批先建""",Enhanced
47,"""信息公开""",Enhanced
48,"""环境监察支队""",Enhanced
49,"""《中华人民共和国环境影响评价法》""",Enhanced
50,《中华人民共和国环境影响评价法》第XX条,Enhanced
51,超标排放废水,Enhanced
52,省生态环境厅,Enhanced
53,《建设项目环境保护管理条例》,Enhanced
54,组织,Enhanced
55,中华人民共和国土壤污染防治法,Enhanced
56,破坏自然保护区,Enhanced
57,《环境监测管理办法》,Enhanced
58,恶臭污染扰民,Enhanced
59,环境监测站,Enhanced
60,执法机构,Enhanced
61,篡改伪造监测数据,Enhanced
62,中华人民共和国环境噪声污染防治法,Enhanced
63,法律法规,Enhanced
64,"""环境执法处罚：土壤污染未修复""",Enhanced
65,"""行政处罚""",Enhanced
66,"""环境应急中心""",Enhanced
67,"""《建设项目环境保护管理条例》""",Enhanced
68,环境执法处罚：土壤污染未修复,Enhanced
69,权力类型：行政处罚,Enhanced
70,环境执法处罚的对象,Enhanced
71,中华人民共和国水污染防治法,Enhanced
72,工信部,Enhanced
73,环保部门,Enhanced
74,行政许可,Enhanced
75,《环境保护法》或其他相关法律法规,Enhanced
76,政府机构,Enhanced
77,畜禽规模养殖污染防治条例,Enhanced
78,行政服务,Enhanced
79,法律术语,Enhanced
80,法律法规引用,Enhanced
81,行为,Enhanced
82,法规,Enhanced
83,《环境执法处罚办法》,Enhanced
84,偷排偷放污染物,Enhanced
85,行政处罚的权力,Enhanced
86,超标排放废气,Enhanced
87,机构或组织,Enhanced
88,法律或法规,Enhanced
89,《排污许可管理条例》,Enhanced
90,unknown,Enhanced
91,"""偷排偷放污染物""",Enhanced
92,"""镇环保所""",Enhanced
93,《中华人民共和国环境影响评价法》,Enhanced
94,林业局,Enhanced
95,生态环境部,Enhanced
96,法律措施,Enhanced
97,"""扬尘污染防治不到位""",Enhanced
98,"""县生态环境局""",Enhanced
99,"""《环境监测管理办法》""",Enhanced
100,环境执法,Enhanced
101,扬尘污染防治不到位,Enhanced
102,问题,Enhanced
103,政府职能,Enhanced
104,污染防治设施未正常运行,Enhanced
105,VOCs打扫设施未正常运行,Enhanced
106,环境信息未公开,Enhanced
107,《中华人民共和国大气污染防治法》,Enhanced
108,"""环境执法处罚""",Enhanced
109,"""环境应急预案未备案""",Enhanced
110,"""行政许可""",Enhanced
111,"""工信部""",Enhanced
112,"""《排污许可管理条例》""",Enhanced
113,"""区生态环境分局""",Enhanced
114,环境监测管理办法,Enhanced
115,非法采砂采石,Enhanced
116,恶臭有毒扰民,Enhanced
117,"VOCs治理设施未正常运行的,执行方",Enhanced
118,"VOCs治理设施未正常运行的,行驶主体",Enhanced
119,"VOCs治理设施未正常运行的,承办机构",Enhanced
120,"VOCs治理设施未正常运行的,法律依据",Enhanced
121,"""环境执法处罚：辐射安全管理不规范""",Enhanced
122,"""已撤销的部门""",Enhanced
123,"""《中华人民共和国土壤污染防治法》""",Enhanced
124,环境执法处罚：辐射安全管理不规范,Enhanced
125,《中华人民共和国湿地保护法》,Enhanced
126,《危险化学品安全管理条例》,Enhanced
127,环境执法处罚：恶臭污染扰民,Enhanced
128,行政处罚权力,Enhanced
129,分类,Enhanced
130,角色,Enhanced
131,依据,Enhanced
132,《环境监测管理办法》第X条,Enhanced
133,VOCs治理设施未正常运行,Enhanced
134,行政机关,Enhanced
135,行政权力,Enhanced
136,中华人民共和国环境保护法,Enhanced
137,未成立的办公室,Enhanced
138,辐射安全管理不规范,Enhanced
139,环境应急事件,Enhanced
140,工业和信息化领域,Enhanced
141,环境执法处罚：偷排偷放污染物,Enhanced
142,"""市生态环境局""",Enhanced
143,"""环境信息未公开""",Enhanced
144,"""《畜禽规模养殖污染防治条例》""",Enhanced
145,"""生态环境部""",Enhanced
146,"""《危险废物经营许可证管理办法》""",Enhanced
147,"""拒绝环境执法检查""",Enhanced
148,"""环境执法处罚：生态破坏未恢复""",Enhanced
149,生态破坏未恢复,Enhanced
150,"""畜禽粪污直排入河""",Enhanced
151,"""省生态环境厅""",Enhanced
152,噪声污染超标,Enhanced
153,环境问题,Enhanced
154,《中华人民共和国环境保护法》第XX条,Enhanced
155,"""县生态环境个体户""",Enhanced
156,县生态环境个体户,Enhanced
157,个体户,Enhanced
158,中华人民共和国环境影响评价法,Enhanced
159,执法对象,Enhanced
160,法律依据,Enhanced
161,环境执法处罚对象,Enhanced
162,事项,Enhanced
163,建设项目未批先建,Enhanced
164,行使主体,Enhanced
165,中华人民共和国固体废物污染环境防治法,Enhanced
166,环评手续不全擅自开工,Enhanced
167,中华人民共和国大气污染防治法,Enhanced
168,"""公共服务""",Enhanced
169,"""《中华人民共和国环境噪声污染防治法》""",Enhanced
170,未按规定安装污染物排放自动监测设备,Enhanced
171,组织机构,Enhanced
172,服务,Enhanced
173,"""《中华人民共和国水污染防治法》""",Enhanced
174,已撤销的部门,Enhanced
175,"""环评手续不全擅自开工""",Enhanced
176,"""林业局""",Enhanced
177,水污染防治法,Enhanced
178,"""环境执法处罚：危险化学品泄漏""",Enhanced
179,环境执法处罚：危险化学品泄漏,Enhanced
180,"""生态环境综合执法支队""",Enhanced
181,偷排偷放脏乱物,Enhanced
182,具体承办机构,Enhanced
183,承办环境执法处罚,Enhanced
184,建设项目环境保护管理条例,Enhanced
185,水土流失治理不力,Enhanced
186,行政强制,Enhanced
187,"""恶臭污染扰民""",Enhanced
188,排污许可管理条例,Enhanced
189,《中华人民共和国水土保持法》,Enhanced
190,"""环境执法处罚：未取得排污许可证排污""",Enhanced
191,环境执法处罚：未取得排污许可证排污,Enhanced
192,"""环境执法处罚：环评手续不全擅自开工""",Enhanced
193,处罚事项,Enhanced
194,法律条文,Enhanced
195,公共服务,Enhanced
196,环境违法行为处罚,Enhanced
197,《中华人民共和国环境噪声污染防治法》第X条,Enhanced
198,"""超标倒出废气""",Enhanced
199,"""环境监测站""",Enhanced
200,超标倒出废气,Enhanced
201,"""未验先投违法生产""",Enhanced
202,《排污许可管理条例》第X条,Enhanced
203,环境执法处罚事项,Enhanced
204,危险废物未按规定贮存,Enhanced
205,行政处罚类型,Enhanced
206,VOCs清理设施未正常运行,Enhanced
207,"VOCs治理设施未正常运行的,类型",Enhanced
208,生态环境部门,Enhanced
209,环境执法处罚：生态破坏未恢复,Enhanced
210,具体处罚类型,Enhanced
211,"""水土流失治理不力""",Enhanced
212,《危险废物经营许可证管理办法》中的具体条款或规定,Enhanced
213,状态,Enhanced
214,"""未取得排污许可证排污""",Enhanced
215,"""农业农村局""",Enhanced
216,描述,Enhanced
217,"VOCs治理设施未正常运行的,行使主体",Enhanced
218,"事项,VOCs治理设施未正常运行",Enhanced
219,环境执法事项,Enhanced
220,法律条款,Enhanced
221,行驶主体和承办机构,Enhanced
222,"""辐射安全管理不规范""",Enhanced
223,概念,Enhanced
224,权力,Enhanced
225,统计局,Enhanced
226,污染设施未正常运行,Enhanced
227,服务类型,Enhanced
228,"""自然资源局""",Enhanced
229,排污许可证,Enhanced
230,许可证,Enhanced
231,"""《中华人民共和国大气污染防治法》""",Enhanced
232,法律处罚,Enhanced
233,环境执法处罚的法律依据,Enhanced
