id,name,node_type
1,环境执法处罚,Unknown
2,未验先投违法生产,Unknown
3,行政处罚,Unknown
4,镇环保所,Unknown
5,《危险废物经营许可证管理办法》,Unknown
6,环境应急预案未备案,Unknown
7,权力类型,Unknown
8,行驶主体,Unknown
9,县生态环境局,Unknown
10,承办机构,Unknown
11,服务事项,Unknown
12,"""畜禽粪污直排入河""",Unknown
13,"""行政处罚""",Unknown
14,"""生态环境综合执法支队""",Unknown
15,实施依据,Unknown
16,"""《中华人民共和国环境噪声污染防治法》""",Unknown
17,拒绝环境执法检查,Unknown
18,应急管理局,Unknown
19,《中华人民共和国固体废物污染环境防治法》,Unknown
20,"""固体废物乱堆乱放""",Unknown
21,"""信息公开""",Unknown
22,"""区生态环境分局""",Unknown
23,"""《中华人民共和国土壤污染防治法》""",Unknown
24,违法占用湿地,Unknown
25,公共服务,Unknown
26,水利局,Unknown
27,危险化学品泄漏,Unknown
28,农业农村局,Unknown
29,《中华人民共和国环境保护法》,Unknown
30,市生态环境局,Unknown
31,环境应急中心,Unknown
32,《畜禽规模养殖污染防治条例》,Unknown
33,《中华人民共和国水污染防治法》,Unknown
34,未取得排污许可证排污,Unknown
35,环境监察支队,Unknown
36,未成立的办公室,Unknown
37,《环境监测管理办法》,Unknown
38,扬尘污染防治不到位,Unknown
39,《中华人民共和国土壤污染防治法》,Unknown
40,自然资源局,Unknown
41,"""建设项目未批先建""",Unknown
42,"""环境监察支队""",Unknown
43,"""《中华人民共和国环境影响评价法》""",Unknown
44,超标排放废水,Unknown
45,省生态环境厅,Unknown
46,《建设项目环境保护管理条例》,Unknown
47,"""《中华人民共和国水污染防治法》""",Unknown
48,环境信息未公开,Unknown
49,破坏自然保护区,Unknown
50,区生态环境分局,Unknown
51,篡改伪造监测数据,Unknown
52,环境监测站,Unknown
53,《中华人民共和国环境噪声污染防治法》,Unknown
54,土壤污染未修复,Unknown
55,"""镇环保所""",Unknown
56,工信部,Unknown
57,畜禽粪污直排入河,Unknown
58,偷排偷放污染物,Unknown
59,生态环境综合执法支队,Unknown
60,超标排放废气,Unknown
61,中华人民共和国水污染防治法,Unknown
62,恶臭污染扰民,Unknown
63,《排污许可管理条例》,Unknown
64,"""偷排偷放污染物""",Unknown
65,固体废物乱堆乱放,Unknown
66,林业局,Unknown
67,生态环境部,Unknown
68,污染防治设施未正常运行,Unknown
69,VOCs打扫设施未正常运行,Unknown
70,《中华人民共和国大气污染防治法》,Unknown
71,"""工信部""",Unknown
72,"""《环境监测管理办法》""",Unknown
73,非法采砂采石,Unknown
74,恶臭有毒扰民,Unknown
75,"事项,VOCs治理设施未正常运行",Unknown
76,"VOCs治理设施未正常运行的,类型",Unknown
77,"VOCs治理设施未正常运行的,执行主体",Unknown
78,"VOCs治理设施未正常运行的,执行机构",Unknown
79,"VOCs治理设施未正常运行的,法律依据",Unknown
80,"VOCs治理设施未正常运行的,行驶主体",Unknown
81,"VOCs治理设施未正常运行的,承办机构",Unknown
82,"""环境执法处罚：辐射安全管理不规范""",Unknown
83,"""行政许可""",Unknown
84,"""已撤销的部门""",Unknown
85,行政许可,Unknown
86,《中华人民共和国环境影响评价法》,Unknown
87,VOCs治理设施未正常运行,Unknown
88,中华人民共和国环境保护法,Unknown
89,辐射安全管理不规范,Unknown
90,"""环境执法处罚：未取得排污许可证排污""",Unknown
91,"""商务部""",Unknown
92,"""环境应急中心""",Unknown
93,"""《畜禽规模养殖污染防治条例》""",Unknown
94,"""省生态环境厅""",Unknown
95,"""环境执法处罚""",Unknown
96,"""环境信息未公开""",Unknown
97,"""县生态环境局""",Unknown
98,"""环境执法处罚：生态破坏未恢复""",Unknown
99,"""生态环境部""",Unknown
100,噪声污染超标,Unknown
101,县生态环境个体户,Unknown
102,恶臭不干净扰民,Unknown
103,"""《中华人民共和国固体废物污染环境防治法》""",Unknown
104,环评手续不全擅自开工,Unknown
105,"""恶臭污染扰民""",Unknown
106,中华人民共和国大气污染防治法,Unknown
107,"""公共服务""",Unknown
108,未按规定安装污染物排放自动监测设备,Unknown
109,已撤销的部门,Unknown
110,环境监测管理办法,Unknown
111,某不存在的机构,Unknown
112,生态破坏未恢复,Unknown
113,环境执法,Unknown
114,颜色,Unknown
115,建设项目未批先建,Unknown
116,水土流失治理不力,Unknown
117,行政强制,Unknown
118,"""污染防治设施未正常运行""",Unknown
119,"""应急管理局""",Unknown
120,"""《排污许可管理条例》""",Unknown
121,"""林业局""",Unknown
122,"""环评手续不全擅自开工""",Unknown
123,"""市生态环境局""",Unknown
124,"""环境执法处罚：土壤污染未修复""",Unknown
125,"""超标倒出废气""",Unknown
126,"""环境监测站""",Unknown
127,危险废物未按规定贮存,Unknown
128,"""未验先投违法生产""",Unknown
129,VOCs清理设施未正常运行,Unknown
130,"""水利局""",Unknown
131,超标倒出废气,Unknown
132,"权力类型,行政处罚",Unknown
133,"""环境执法处罚：环评手续不全擅自开工""",Unknown
134,"""《危险废物经营许可证管理办法》""",Unknown
135,"VOCs治理设施未正常运行的,行使主体",Unknown
136,"VOCs治理设施未正常运行的,依据",Unknown
137,"""扬尘污染防治不到位""",Unknown
138,"""辐射安全管理不规范""",Unknown
139,信息公开,Unknown
140,"""未取得排污许可证排污""",Unknown
141,统计局,Unknown
142,中华人民共和国土壤污染防治法,Unknown
