start_id,end_id,relation_type,source
1,2,服务事项,extraction
3,1,权力类型,extraction
4,1,行驶主体,extraction
4,1,承办机构,extraction
5,1,实施依据,extraction
1,6,服务事项,extraction
7,3,是,extraction
8,9,是,extraction
10,9,是,extraction
11,12,包括,extraction
7,13,是,extraction
8,14,是,extraction
10,14,是,extraction
15,16,是,extraction
1,17,包含事项,extraction
7,3,是,extraction
8,18,是,extraction
10,18,是,extraction
15,19,是,extraction
11,20,包括,extraction
7,21,是,extraction
8,22,是,extraction
10,22,是,extraction
15,23,是,extraction
11,24,包括,extraction
7,25,是,extraction
8,26,是,extraction
10,26,是,extraction
15,19,是,extraction
11,1,包括,extraction
1,27,涉及,extraction
7,3,是,extraction
8,28,是,extraction
10,28,是,extraction
15,29,是,extraction
11,3,是,extraction
8,30,是,extraction
10,30,是,extraction
15,5,是,extraction
1,27,包含,extraction
7,3,是,extraction
8,31,是,extraction
10,31,是,extraction
15,32,是,extraction
1,2,服务事项,extraction
7,3,是,extraction
8,28,是,extraction
10,28,是,extraction
15,33,是,extraction
11,1,包括,extraction
1,34,涉及,extraction
7,3,是,extraction
8,35,是,extraction
10,36,是,extraction
15,37,是,extraction
11,1,是,extraction
1,38,涉及问题,extraction
7,3,是,extraction
8,28,是,extraction
10,28,是,extraction
15,39,是,extraction
1,34,服务事项,extraction
7,3,是,extraction
8,40,是,extraction
10,40,是,extraction
15,19,是,extraction
11,41,包括,extraction
7,21,是,extraction
8,42,是,extraction
10,42,是,extraction
15,43,是,extraction
11,1,包括,extraction
1,44,包含,extraction
7,3,是,extraction
8,31,是,extraction
1,44,服务事项,extraction
3,1,权力类型,extraction
45,1,行驶主体,extraction
45,1,承办机构,extraction
1,46,实施依据,extraction
11,41,包括,extraction
7,13,是,extraction
8,14,是,extraction
10,14,是,extraction
15,47,是,extraction
1,48,包含,extraction
7,3,是,extraction
8,35,是,extraction
10,35,是,extraction
15,39,是,extraction
11,1,包括,extraction
1,49,涉及,extraction
7,3,是,extraction
8,50,是,extraction
10,50,是,extraction
11,1,包括,extraction
1,27,涉及,extraction
7,3,是,extraction
8,30,是,extraction
10,30,是,extraction
15,37,是,extraction
1,51,包含,extraction
7,3,是,extraction
8,52,是,extraction
10,52,是,extraction
15,53,是,extraction
1,54,包含,extraction
7,3,是,extraction
8,31,是,extraction
10,31,是,extraction
15,46,是,extraction
11,20,包括,extraction
7,13,是,extraction
8,55,是,extraction
10,55,是,extraction
15,47,是,extraction
1,51,包含,extraction
7,3,是,extraction
8,56,是,extraction
10,45,是,extraction
15,39,是,extraction
1,57,涉及事项,extraction
7,3,是,extraction
8,40,是,extraction
10,40,是,extraction
15,46,是,extraction
1,24,服务事项,extraction
3,1,权力类型,extraction
26,1,行驶主体,extraction
26,1,承办机构,extraction
33,1,实施依据,extraction
11,1,包括,extraction
1,51,包含,extraction
7,3,是,extraction
10,30,是,extraction
15,32,是,extraction
1,17,包含,extraction
7,3,是,extraction
8,56,是,extraction
10,28,是,extraction
15,37,是,extraction
1,27,涉及,extraction
7,3,是,extraction
8,52,是,extraction
10,52,是,extraction
15,5,是,extraction
11,1,包括,extraction
1,58,包含,extraction
7,3,是,extraction
8,59,是,extraction
10,59,是,extraction
15,32,是,extraction
1,60,服务事项,extraction
7,3,是,extraction
8,28,是,extraction
10,28,是,extraction
15,39,是,extraction
1,60,服务事项,extraction
3,1,权力类型,extraction
52,1,行驶主体,extraction
52,1,承办机构,extraction
61,1,实施依据,extraction
1,62,服务事项,extraction
3,1,权力类型,extraction
30,1,行驶主体,extraction
30,1,承办机构,extraction
1,19,实施依据,extraction
1,6,服务事项,extraction
7,3,是,extraction
8,28,是,extraction
15,29,是,extraction
1,51,包含,extraction
7,3,是,extraction
8,40,是,extraction
10,40,是,extraction
15,33,是,extraction
1,6,服务事项,extraction
7,3,是,extraction
8,45,是,extraction
15,63,是,extraction
11,64,包括,extraction
7,13,是,extraction
8,55,是,extraction
10,55,是,extraction
15,43,是,extraction
1,65,涉及事项,extraction
7,3,是,extraction
8,66,是,extraction
10,66,是,extraction
15,5,是,extraction
11,11,是,extraction
7,7,是,extraction
8,8,是,extraction
10,67,是,extraction
11,1,是,extraction
1,38,涉及问题,extraction
7,3,是,extraction
8,9,是,extraction
10,9,是,extraction
15,37,是,extraction
1,68,服务事项,extraction
3,1,权力类型,extraction
26,1,行驶主体,extraction
26,1,承办机构,extraction
1,32,实施依据,extraction
1,69,涉及,extraction
7,3,是,extraction
8,50,是,extraction
10,50,是,extraction
15,5,是,extraction
1,48,包含,extraction
7,3,是,extraction
8,40,是,extraction
10,40,是,extraction
15,70,是,extraction
1,34,服务事项,extraction
7,3,是,extraction
8,52,是,extraction
10,52,是,extraction
15,63,是,extraction
11,64,包括,extraction
7,13,是,extraction
8,71,是,extraction
10,22,是,extraction
15,72,是,extraction
11,1,包括,extraction
1,73,涉及,extraction
7,3,是,extraction
8,9,是,extraction
10,9,是,extraction
15,39,是,extraction
1,74,包含,extraction
7,3,是,extraction
8,66,是,extraction
10,66,是,extraction
15,53,是,extraction
1,17,包含,extraction
7,3,是,extraction
8,31,是,extraction
10,31,是,extraction
15,63,是,extraction
1,75,包含,extraction
7,76,是,extraction
8,77,是,extraction
10,78,是,extraction
15,79,是,extraction
50,80,是,extraction
50,81,是,extraction
1,62,涉及,extraction
7,3,是,extraction
8,30,是,extraction
10,30,是,extraction
15,5,是,extraction
11,82,包括,extraction
7,83,是,extraction
8,55,是,extraction
10,84,是,extraction
15,23,是,extraction
11,24,包括,extraction
7,3,是,extraction
8,40,是,extraction
10,40,是,extraction
15,5,是,extraction
11,1,包括,extraction
1,27,涉及,extraction
7,85,是,extraction
8,30,是,extraction
10,30,是,extraction
15,5,是,extraction
11,1,是,extraction
1,49,涉及,extraction
7,3,是,extraction
8,40,是,extraction
10,40,是,extraction
15,86,是,extraction
1,62,包含,extraction
7,3,是,extraction
8,31,是,extraction
10,31,是,extraction
15,37,是,extraction
1,48,包含,extraction
7,3,是,extraction
8,59,是,extraction
10,59,是,extraction
15,37,是,extraction
11,87,包括,extraction
7,3,是,extraction
8,26,是,extraction
10,26,是,extraction
1,48,服务事项,extraction
3,1,权力类型,extraction
66,1,行驶主体,extraction
66,1,承办机构,extraction
88,1,实施依据,extraction
11,1,包括,extraction
1,54,包含,extraction
7,3,是,extraction
8,9,是,extraction
10,36,是,extraction
15,70,是,extraction
1,89,服务事项,extraction
3,1,权力类型,extraction
18,1,行驶主体,extraction
18,1,承办机构,extraction
1,70,实施依据,extraction
11,90,包括,extraction
7,13,是,extraction
8,91,是,extraction
10,22,是,extraction
15,43,是,extraction
11,64,包括,extraction
7,13,是,extraction
8,71,是,extraction
10,92,是,extraction
15,93,是,extraction
11,12,包括,extraction
7,13,是,extraction
8,94,是,extraction
10,94,是,extraction
15,43,是,extraction
11,1,包括,extraction
1,58,涉及,extraction
7,3,是,extraction
8,30,是,extraction
10,30,是,extraction
15,86,是,extraction
11,95,包括,extraction
1,96,包含,extraction
7,13,是,extraction
8,97,是,extraction
10,97,是,extraction
15,93,是,extraction
1,17,包含,extraction
7,3,是,extraction
8,31,是,extraction
10,31,是,extraction
15,86,是,extraction
11,1,包括,extraction
1,54,涉及,extraction
7,3,是,extraction
8,67,是,extraction
10,67,是,extraction
15,5,是,extraction
11,98,包括,extraction
7,13,是,extraction
8,97,是,extraction
10,97,是,extraction
15,43,是,extraction
11,1,是,extraction
1,57,涉及,extraction
7,3,是,extraction
8,45,是,extraction
10,45,是,extraction
11,64,包括,extraction
7,13,是,extraction
8,99,是,extraction
10,99,是,extraction
15,23,是,extraction
1,24,服务事项,extraction
3,1,权力类型,extraction
67,1,行驶主体,extraction
67,1,承办机构,extraction
39,1,实施依据,extraction
1,51,包含,extraction
7,3,是,extraction
8,52,是,extraction
10,52,是,extraction
15,5,是,extraction
1,100,服务事项,extraction
3,1,权力类型,extraction
35,1,行驶主体,extraction
35,1,承办机构,extraction
1,33,实施依据,extraction
1,38,服务事项,extraction
3,1,权力类型,extraction
101,1,行驶主体,extraction
9,1,承办机构,extraction
86,1,实施依据,extraction
1,24,服务事项,extraction
3,1,权力类型,extraction
67,1,行驶主体,extraction
67,1,承办机构,extraction
33,1,实施依据,extraction
1,69,涉及,extraction
7,3,是,extraction
8,52,是,extraction
10,52,是,extraction
15,70,是,extraction
1,102,涉及问题,extraction
7,3,类型,extraction
8,9,机构,extraction
10,9,机构,extraction
15,63,依据,extraction
11,41,包括,extraction
7,13,是,extraction
8,55,是,extraction
10,55,是,extraction
15,103,是,extraction
1,17,包含,extraction
7,3,是,extraction
8,4,是,extraction
15,29,是,extraction
1,104,服务事项,extraction
3,1,权力类型,extraction
67,1,行驶主体,extraction
67,1,承办机构,extraction
1,37,依据,extraction
11,87,包括,extraction
7,3,是,extraction
8,4,是,extraction
10,36,是,extraction
15,39,是,extraction
1,17,包含事项,extraction
7,3,是,extraction
8,40,是,extraction
10,40,是,extraction
15,19,是,extraction
11,87,包括,extraction
7,3,是,extraction
8,30,是,extraction
10,30,是,extraction
15,37,是,extraction
11,105,包括,extraction
7,13,是,extraction
8,55,是,extraction
10,55,是,extraction
15,43,是,extraction
1,6,包含,extraction
7,3,是,extraction
8,31,是,extraction
10,31,是,extraction
15,5,是,extraction
1,100,服务事项,extraction
3,1,权力类型,extraction
40,1,行驶主体,extraction
40,1,承办机构,extraction
106,1,实施依据,extraction
1,60,服务事项,extraction
3,1,权力类型,extraction
63,1,实施依据,extraction
11,41,包括,extraction
7,107,是,extraction
8,71,为,extraction
10,42,为,extraction
15,16,是,extraction
1,104,服务事项,extraction
3,1,权力类型,extraction
67,3,行驶主体,extraction
67,3,承办机构,extraction
33,1,实施依据,extraction
11,1,包括,extraction
1,108,涉及内容,extraction
7,3,是,extraction
8,31,是,extraction
15,39,来自,extraction
11,41,包括,extraction
7,21,包括,extraction
8,55,是,extraction
10,55,是,extraction
15,47,是,extraction
1,73,服务事项,extraction
3,1,权力类型,extraction
66,1,行驶主体,extraction
109,1,承办机构,extraction
110,1,实施依据,extraction
11,1,包括,extraction
1,27,涉及,extraction
8,9,为,extraction
15,53,来自,extraction
11,1,包含,extraction
1,51,包含,extraction
7,3,是,extraction
8,30,是,extraction
10,111,是,extraction
15,63,是,extraction
1,112,包含,extraction
7,3,是,extraction
8,52,是,extraction
10,52,是,extraction
15,53,是,extraction
11,1,包括,extraction
1,73,包含,extraction
7,3,是,extraction
10,66,是,extraction
15,70,是,extraction
1,51,包含,extraction
7,3,是,extraction
8,66,是,extraction
10,66,是,extraction
15,86,是,extraction
1,27,包含,extraction
7,3,是,extraction
8,52,是,extraction
10,52,是,extraction
15,86,是,extraction
1,104,服务事项,extraction
3,1,权力类型,extraction
66,1,行驶主体,extraction
66,1,承办机构,extraction
1,33,实施依据,extraction
11,3,是,extraction
8,50,是,extraction
10,50,是,extraction
1,73,服务事项,extraction
3,1,权力类型,extraction
52,1,行驶主体,extraction
52,1,承办机构,extraction
1,32,实施依据,extraction
1,17,包含,extraction
7,3,是,extraction
8,59,是,extraction
10,59,是,extraction
15,5,是,extraction
11,113,是,extraction
114,112,是,extraction
7,3,是,extraction
8,26,是,extraction
