id,name,node_type
1,金融监管处罚,Unknown
2,操纵市场价格,Unknown
3,权力类型,Unknown
4,行政处罚,Unknown
5,银保监会某监管局,Unknown
6,《信托公司管理办法》,Unknown
7,保险资金运用违规,Unknown
8,行驶主体,Unknown
9,省地方金融监管局,Unknown
10,承办机构,Unknown
11,实施依据,Unknown
12,《小额贷款公司监督管理条例》,Unknown
13,资金池业务违规,Unknown
14,证监会,Unknown
15,《中华人民共和国商业银行法》,Unknown
16,市地方金融监管局,Unknown
17,中华人民共和国反洗钱法,Unknown
18,高利放贷违规行为,Unknown
19,中国人民银行,Unknown
20,《证券投资基金法》,Unknown
21,征信业务违规,Unknown
22,《中华人民共和国证券法》,Unknown
23,未按规定履行客户身份识别义务,Unknown
24,外汇管理局,Unknown
25,内幕交易行为,Unknown
26,《银行业金融机构反洗钱和反恐怖主义融资管理办法》,Unknown
27,金融被看管表扬,Unknown
28,保险资金运用错误,Unknown
29,中国人民银行某分行,Unknown
30,《期货交易管理条例》,Unknown
31,反洗钱工作不力,Unknown
32,证监会某监管局,Unknown
33,《融资租赁企业监督管理暂行办法》,Unknown
34,金融被监管表扬,Unknown
35,《中华人民共和国保险法》,Unknown
36,外汇业务违规,Unknown
37,服务事项,Unknown
38,金融监管批评,Unknown
39,《中华人民共和国银行业监督管理法》,Unknown
40,违规收费,Unknown
41,《关于规范民间借贷行为的通知》,Unknown
42,违规关联交易,Unknown
43,教育部,Unknown
44,违规担保,Unknown
45,县金融办,Unknown
46,金融看管处罚,Unknown
47,银保监会,Unknown
48,《中华人民共和国反洗钱法》,Unknown
49,理财业务违规,Unknown
50,数据治理不规范,Unknown
51,已撤销的部门,Unknown
52,同业业务违规,Unknown
53,欺诈发行,Unknown
54,未成立的办公室,Unknown
55,内控制度不健全,Unknown
56,消费者权益保护不到位,Unknown
57,金融监视处罚,Unknown
58,准备金提取不足,Unknown
59,金融监控处罚,Unknown
60,偿付能力不足,Unknown
61,风险管理缺失,Unknown
62,虚假陈述,Unknown
63,行政许可,Unknown
64,挪用客户资金,Unknown
65,关联交易,Unknown
66,违规放贷,Unknown
67,证监个人工作室,Unknown
68,未按规定进行信息披露,Unknown
69,中华人民共和国证券法,Unknown
70,金融监管责骂,Unknown
71,公共服务,Unknown
72,农业农村部,Unknown
73,体育总局,Unknown
74,中华人民共和国保险法,Unknown
75,高利放贷不好行为,Unknown
76,信贷资金错误流入股市,Unknown
77,无,Unknown
78,银保监会某监管局执行,Unknown
79,金融监管,Unknown
80,颜色,Unknown
81,高利放贷不对行为,Unknown
82,某不存在的机构,Unknown
83,中华人民共和国银行业监督管理法,Unknown
84,信贷资金不好流入股市,Unknown
85,金融看管物品,Unknown
86,销售误导行为,Unknown
87,信贷资金违规流入股市,Unknown
88,"""金融监管""",Unknown
89,信息公开,Unknown
90,不对放贷,Unknown
91,内控制度,Unknown
92,保险资金运用不好,Unknown
93,已撤销,Unknown
94,中华人民共和国商业银行法,Unknown
95,征信业务错误,Unknown
96,同业业务错误,Unknown
97,融资租赁企业监督管理暂行办法,Unknown
98,文化和旅游部,Unknown
99,金融监视,Unknown
100,支付业务违规,Unknown
101,金融监控责任,Unknown
102,金融监管惩罚,Unknown
103,物品,Unknown
104,银保监个人某监管局,Unknown
105,"行驶主体,也是,承办机构",Unknown
106,理财业务,Unknown
107,金融监管责任,Unknown
108,不好关联交易,Unknown
109,外汇业务不对,Unknown
110,金融监视惩罚,Unknown
111,关于规范民间借贷行为的通知,Unknown
112,金融监视批评,Unknown
113,错误放贷,Unknown
114,错误关联交易,Unknown
115,执行,Unknown
116,承办,Unknown
117,依据,Unknown
118,资金池业务错误,Unknown
119,无内容,Unknown
120,地点,Unknown
121,金融看管责骂,Unknown
122,银保监个人,Unknown
123,金融看管惩罚,Unknown
124,金融监管地点,Unknown
125,不对收费,Unknown
126,不好放贷,Unknown
127,金融监控惩罚,Unknown
128,不好收费,Unknown
129,金融监控批评,Unknown
130,具体内容,Unknown
131,市地方金融监管局行驶,Unknown
132,教育部行驶,Unknown
133,证监会承办,Unknown
134,已撤销的部门承办,Unknown
135,外汇业务错误,Unknown
136,金融看管批评,Unknown
137,金融监控责骂,Unknown
138,支付业务,Unknown
139,同业业务不好,Unknown
140,金融监视责骂,Unknown
141,金融监管物品,Unknown
142,县金融办行驶,Unknown
143,县金融办承办,Unknown
144,征信业务不好,Unknown
145,金融监控,Unknown
146,反洗钱工作,Unknown
147,权力,Unknown
148,风险管理,Unknown
