start_id,end_id,relation_type,source
1,2,涉及事项,extraction
3,4,类型,extraction
5,1,行驶主体,extraction
5,1,承办机构,extraction
1,6,依据,extraction
1,7,涉及内容,extraction
3,4,类型,extraction
8,9,机构类型,extraction
10,9,机构类型,extraction
11,12,依据,extraction
1,13,服务事项,extraction
4,1,权力类型,extraction
14,1,行驶主体,extraction
14,1,承办机构,extraction
15,1,实施依据,extraction
1,2,涉及事项,extraction
4,1,权力类型,extraction
16,1,行驶主体,extraction
16,1,承办机构,extraction
1,17,依据,extraction
1,18,涉及违规行为,extraction
3,4,是,extraction
8,19,是,extraction
10,19,是,extraction
11,20,是,extraction
1,21,涉及领域,extraction
4,1,权力类型,extraction
5,1,行驶主体,extraction
5,1,承办机构,extraction
1,22,依据,extraction
1,23,涉及事项,extraction
4,1,权力类型,extraction
24,4,行驶主体,extraction
1,25,包含行为,extraction
3,4,是,extraction
8,19,未明确,extraction
10,19,是,extraction
11,26,是,extraction
27,28,包含内容,extraction
29,4,行使主体,extraction
29,29,承办机构,extraction
30,4,实施依据,extraction
1,31,涉及事项,extraction
4,1,权力类型,extraction
32,1,行驶主体,extraction
32,1,承办机构,extraction
22,1,实施依据,extraction
1,2,涉及事项,extraction
24,24,行驶主体,extraction
24,24,承办机构,extraction
33,1,实施依据,extraction
34,7,涉及内容,extraction
3,4,是,extraction
8,5,为,extraction
10,5,为,extraction
11,35,来自,extraction
1,36,涉及领域,extraction
4,1,权力类型,extraction
29,1,行驶主体,extraction
29,1,承办机构,extraction
1,6,依据,extraction
37,38,是,extraction
38,36,涉及,extraction
3,4,是,extraction
8,9,是,extraction
10,9,是,extraction
11,22,是,extraction
37,1,是,extraction
1,31,包含,extraction
3,4,是,extraction
8,9,是,extraction
10,9,是,extraction
11,39,是,extraction
1,7,涉及事项,extraction
32,32,行驶主体,extraction
32,32,承办机构,extraction
37,1,是,extraction
1,40,包含,extraction
3,4,是,extraction
8,5,是,extraction
11,41,是,extraction
37,1,是,extraction
1,42,包含,extraction
3,4,是,extraction
8,43,是,extraction
10,14,是,extraction
11,20,是,extraction
1,44,涉及事项,extraction
4,1,权力类型,extraction
5,1,行驶主体,extraction
5,1,承办机构,extraction
33,4,实施依据,extraction
34,42,涉及内容,extraction
16,16,行驶主体,extraction
16,16,承办机构,extraction
6,4,实施依据,extraction
1,21,涉及事项,extraction
4,1,权力类型,extraction
45,1,行驶主体,extraction
45,1,承办机构,extraction
1,20,实施依据,extraction
1,40,基于,extraction
3,4,是,extraction
8,45,是,extraction
10,45,是,extraction
11,20,是,extraction
46,21,涉及领域,extraction
14,46,行使主体,extraction
14,46,承办机构,extraction
46,30,依据,extraction
1,13,涉及事项,extraction
4,1,权力类型,extraction
24,4,行驶主体,extraction
24,4,承办机构,extraction
20,4,实施依据,extraction
1,7,服务事项,extraction
4,1,权力类型,extraction
47,1,行驶主体,extraction
47,1,承办机构,extraction
1,48,实施依据,extraction
1,49,服务事项,extraction
4,1,权力类型,extraction
