id,name,node_type
1,金融监管处罚,Unknown
2,操纵市场价格,Unknown
3,行政处罚,Unknown
4,银保监会,Unknown
5,《信托公司管理办法》,Unknown
6,同业业务违规,Unknown
7,《小额贷款公司监督管理条例》,Unknown
8,违规收费,Unknown
9,权力类型,Unknown
10,行驶主体,Unknown
11,中国人民银行,Unknown
12,承办机构,Unknown
13,实施依据,Unknown
14,《期货交易管理条例》,Unknown
15,销售误导行为,Unknown
16,证监会某监管局,Unknown
17,未按规定履行客户身份识别义务,Unknown
18,支付业务违规,Unknown
19,挪用客户资金,Unknown
20,《证券投资基金法》,Unknown
21,欺诈发行,Unknown
22,外汇管理局,Unknown
23,《融资租赁企业监督管理暂行办法》,Unknown
24,偿付能力不足,Unknown
25,省地方金融监管局,Unknown
26,证监会,Unknown
27,《中华人民共和国反洗钱法》,Unknown
28,信贷资金违规流入股市,Unknown
29,《关于规范民间借贷行为的通知》,Unknown
30,违规担保,Unknown
31,数据治理不规范,Unknown
32,中国人民银行某分行,Unknown
33,《中华人民共和国保险法》,Unknown
34,虚假陈述,Unknown
35,《银行业金融机构反洗钱和反恐怖主义融资管理办法》,Unknown
36,反洗钱工作不力,Unknown
37,《中华人民共和国证券法》,Unknown
38,市地方金融监管局,Unknown
39,服务事项,Unknown
40,违规放贷,Unknown
41,县金融办,Unknown
42,未按规定进行信息披露,Unknown
43,《中华人民共和国商业银行法》,Unknown
44,银保监会某监管局,Unknown
45,资金池业务违规,Unknown
46,风险管理缺失,Unknown
47,理财业务违规,Unknown
48,违规关联交易,Unknown
49,中华人民共和国银行业监督管理法,Unknown
50,《中华人民共和国银行业监督管理法》,Unknown
51,内幕交易行为,Unknown
52,内控制度不健全,Unknown
53,保险资金运用违规,Unknown
54,外汇业务违规,Unknown
55,消费者权益保护不到位,Unknown
56,中华人民共和国保险法,Unknown
57,中华人民共和国反洗钱法,Unknown
58,高利放贷违规行为,Unknown
59,规范民间借贷行为的通知,Unknown
60,征信业务违规,Unknown
61,中华人民共和国证券法,Unknown
62,准备金提取不足,Unknown
63,中华人民共和国商业银行法,Unknown
64,证券投资基金法,Unknown
65,银保监会某监管局执行,Unknown
66,行使主体,Unknown
67,市地方金融监管局行驶,Unknown
68,中国人民银行某分行实施,Unknown
69,"由,证监会某监管局",Unknown
70,省地方金融监管局行驶,Unknown
