start_id,end_id,relation_type,source
1,2,涉及事项,extraction
3,1,权力类型,extraction
4,3,行驶主体,extraction
4,3,承办机构,extraction
5,3,实施依据,extraction
1,6,涉及事项,extraction
3,1,权力类型,extraction
4,3,行驶主体,extraction
4,3,承办机构,extraction
7,3,实施依据,extraction
1,8,涉及内容,extraction
9,3,类型,extraction
10,11,主体是,extraction
12,11,机构是,extraction
13,14,依据是,extraction
1,15,包含行为,extraction
9,3,是,extraction
10,16,是,extraction
12,16,是,extraction
13,14,是,extraction
1,17,涉及事项,extraction
11,3,行驶主体,extraction
11,3,承办机构,extraction
3,7,实施依据,extraction
1,18,涉及事项,extraction
16,16,行驶主体,extraction
16,16,承办机构,extraction
16,14,依据,extraction
1,19,涉及行为,extraction
3,1,权力类型,extraction
4,3,行驶主体,extraction
4,3,承办机构,extraction
3,20,实施依据,extraction
1,21,包含,extraction
9,3,是,extraction
10,22,是,extraction
12,22,是,extraction
13,23,是,extraction
1,24,基于,extraction
9,3,是,extraction
10,25,为,extraction
12,25,为,extraction
13,20,是,extraction
1,6,涉及事项,extraction
26,1,行驶主体,extraction
26,1,承办机构,extraction
1,27,依据,extraction
1,28,涉及,extraction
9,3,是,extraction
10,4,是,extraction
12,4,是,extraction
13,29,是,extraction
1,30,涉及内容,extraction
3,1,权力类型,extraction
26,1,行驶主体,extraction
26,1,承办机构,extraction
1,14,依据,extraction
1,31,涉及问题,extraction
3,1,权力类型,extraction
32,1,行驶主体,extraction
32,1,承办机构,extraction
33,3,实施依据,extraction
1,34,包含,extraction
9,3,是,extraction
10,22,是,extraction
12,22,是,extraction
13,35,是,extraction
1,36,涉及事项,extraction
3,1,权力类型,extraction
26,3,行驶主体,extraction
26,3,承办机构,extraction
37,3,实施依据,extraction
1,36,涉及事项,extraction
3,1,权力类型,extraction
38,3,行驶主体,extraction
38,3,承办机构,extraction
3,7,依据,extraction
39,1,是,extraction
1,40,包含,extraction
9,3,是,extraction
10,41,是,extraction
12,41,是,extraction
13,35,是,extraction
1,42,涉及事项,extraction
