start_id,end_id,relation_type,source
1,2,包含问题,enhanced_extraction
3,4,来源于,enhanced_extraction
5,6,行使主体,enhanced_extraction
5,6,承办机构,enhanced_extraction
4,3,是,enhanced_extraction
7,6,是,enhanced_extraction
8,9,涉及,enhanced_extraction
10,11,是,enhanced_extraction
10,12,是,enhanced_extraction
10,6,行使,enhanced_extraction
3,13,依据,enhanced_extraction
14,8,是,enhanced_extraction
8,15,涉及行为,enhanced_extraction
7,16,是,enhanced_extraction
8,17,类型,enhanced_extraction
15,18,类型,enhanced_extraction
16,7,类型,enhanced_extraction
5,19,类型,enhanced_extraction
14,20,类型,enhanced_extraction
7,7,类型,enhanced_extraction
11,21,类型,enhanced_extraction
12,21,类型,enhanced_extraction
5,5,执行,enhanced_extraction
8,22,涉及领域,enhanced_extraction
23,8,执行,enhanced_extraction
8,24,法律依据,enhanced_extraction
8,6,类型,enhanced_extraction
25,26,类型,enhanced_extraction
6,7,类型,enhanced_extraction
27,19,类型,enhanced_extraction
28,29,类型,enhanced_extraction
27,8,行驶主体,enhanced_extraction
27,8,承办机构,enhanced_extraction
8,30,涉及问题,enhanced_extraction
7,6,类型,enhanced_extraction
11,31,是,enhanced_extraction
12,31,是,enhanced_extraction
3,32,依据,enhanced_extraction
8,6,类型,enhanced_extraction
30,33,类型,enhanced_extraction
31,19,类型,enhanced_extraction
32,29,类型,enhanced_extraction
31,8,行驶主体,enhanced_extraction
31,8,承办机构,enhanced_extraction
8,34,涉及事项,enhanced_extraction
6,8,权力类型,enhanced_extraction
27,6,行驶主体,enhanced_extraction
27,6,承办机构,enhanced_extraction
35,8,实施依据,enhanced_extraction
27,6,执行,enhanced_extraction
14,36,是,enhanced_extraction
36,22,针对,enhanced_extraction
7,6,是,enhanced_extraction
11,10,是,enhanced_extraction
12,10,是,enhanced_extraction
3,4,是,enhanced_extraction
10,4,执行,enhanced_extraction
14,8,是,enhanced_extraction
8,37,包括,enhanced_extraction
7,38,是,enhanced_extraction
11,5,是,enhanced_extraction
12,5,是,enhanced_extraction
3,39,是,enhanced_extraction
8,40,类型,enhanced_extraction
37,41,类型,enhanced_extraction
38,7,类型,enhanced_extraction
5,8,行使主体,enhanced_extraction
5,8,承办机构,enhanced_extraction
5,39,实施依据,enhanced_extraction
8,42,包含,enhanced_extraction
7,6,是,enhanced_extraction
3,43,是,enhanced_extraction
8,6,类型,enhanced_extraction
42,44,类型,enhanced_extraction
6,7,类型,enhanced_extraction
45,46,类型,enhanced_extraction
43,47,类型,enhanced_extraction
45,6,行使,enhanced_extraction
45,6,承办,enhanced_extraction
8,48,涉及,enhanced_extraction
10,49,类型,enhanced_extraction
8,50,类型,enhanced_extraction
48,18,类型,enhanced_extraction
7,6,属于,enhanced_extraction
3,51,依据,enhanced_extraction
14,52,是,enhanced_extraction
52,53,不对,enhanced_extraction
7,6,是,enhanced_extraction
11,54,是,enhanced_extraction
12,54,是,enhanced_extraction
52,14,是,enhanced_extraction
3,39,依据,enhanced_extraction
7,6,是,enhanced_extraction
14,6,属于,enhanced_extraction
10,10,既是行驶主体也是承办机构,enhanced_extraction
3,55,依据,enhanced_extraction
56,57,涉及,enhanced_extraction
7,38,是,enhanced_extraction
11,58,是,enhanced_extraction
12,58,是,enhanced_extraction
3,59,是,enhanced_extraction
56,17,类型,enhanced_extraction
58,60,类型,enhanced_extraction
28,29,类型,enhanced_extraction
57,41,类型,enhanced_extraction
7,61,类型,enhanced_extraction
38,62,类型,enhanced_extraction
11,21,类型,enhanced_extraction
12,21,类型,enhanced_extraction
3,63,类型,enhanced_extraction
56,58,由,enhanced_extraction
59,3,作为,enhanced_extraction
14,64,是,enhanced_extraction
64,65,涉及,enhanced_extraction
7,6,是,enhanced_extraction
3,4,是,enhanced_extraction
64,6,类型,enhanced_extraction
54,46,类型,enhanced_extraction
4,47,类型,enhanced_extraction
14,66,类型,enhanced_extraction
65,67,类型,enhanced_extraction
7,68,类型,enhanced_extraction
54,64,行驶主体,enhanced_extraction
54,64,承办机构,enhanced_extraction
69,30,基于,enhanced_extraction
7,6,是,enhanced_extraction
11,70,是,enhanced_extraction
12,31,是,enhanced_extraction
3,43,是,enhanced_extraction
70,31,与,enhanced_extraction
8,71,包含,enhanced_extraction
8,6,类型,enhanced_extraction
54,46,类型,enhanced_extraction
6,7,类型,enhanced_extraction
14,8,类型,enhanced_extraction
14,8,属于,enhanced_extraction
7,6,属于,enhanced_extraction
11,54,行使,enhanced_extraction
12,54,负责,enhanced_extraction
54,8,行驶主体,enhanced_extraction
54,8,承办机构,enhanced_extraction
14,6,是,enhanced_extraction
7,6,是,enhanced_extraction
11,10,是,enhanced_extraction
12,72,是,enhanced_extraction
3,73,是,enhanced_extraction
10,60,类型,enhanced_extraction
72,74,类型,enhanced_extraction
73,29,类型,enhanced_extraction
14,20,类型,enhanced_extraction
7,75,类型,enhanced_extraction
3,63,类型,enhanced_extraction
10,6,执行,enhanced_extraction
72,6,承办,enhanced_extraction
73,6,依据,enhanced_extraction
69,76,涉及内容,enhanced_extraction
12,10,是,enhanced_extraction
3,73,是,enhanced_extraction
69,6,类型,enhanced_extraction
76,44,类型,enhanced_extraction
10,6,行使,enhanced_extraction
10,73,依据,enhanced_extraction
8,77,基于,enhanced_extraction
7,6,是,enhanced_extraction
11,45,是,enhanced_extraction
12,45,是,enhanced_extraction
3,39,是,enhanced_extraction
8,6,类型,enhanced_extraction
45,8,行使主体,enhanced_extraction
45,8,承办机构,enhanced_extraction
39,8,实施依据,enhanced_extraction
8,39,依据,enhanced_extraction
56,78,基于,enhanced_extraction
79,3,是,enhanced_extraction
56,80,类型,enhanced_extraction
81,56,执行,enhanced_extraction
79,82,类型,enhanced_extraction
81,83,既是,enhanced_extraction
8,34,涉及事项,enhanced_extraction
7,6,类型,enhanced_extraction
11,31,执行者,enhanced_extraction
12,84,机构,enhanced_extraction
3,4,依据,enhanced_extraction
31,8,承办机构,enhanced_extraction
31,6,行使主体,enhanced_extraction
34,3,依据,enhanced_extraction
6,8,权力类型,enhanced_extraction
27,8,行驶主体,enhanced_extraction
27,8,承办机构,enhanced_extraction
39,8,实施依据,enhanced_extraction
8,6,类型,enhanced_extraction
27,39,实施依据来源,enhanced_extraction
85,8,原因,enhanced_extraction
8,86,涉及事项,enhanced_extraction
6,8,权力类型,enhanced_extraction
45,6,行驶主体,enhanced_extraction
45,6,承办机构,enhanced_extraction
39,6,实施依据,enhanced_extraction
8,6,类型,enhanced_extraction
45,6,执行者,enhanced_extraction
39,82,类型,enhanced_extraction
9,8,导致,enhanced_extraction
81,8,行使主体,enhanced_extraction
81,8,承办机构,enhanced_extraction
8,87,依据,enhanced_extraction
14,8,是,enhanced_extraction
8,22,涉及领域,enhanced_extraction
7,88,未明确说明,enhanced_extraction
12,10,为,enhanced_extraction
12,10,由,enhanced_extraction
10,7,具有,enhanced_extraction
10,4,依据,enhanced_extraction
8,89,涉及领域,enhanced_extraction
6,8,权力类型,enhanced_extraction
31,8,行驶主体,enhanced_extraction
31,8,承办机构,enhanced_extraction
8,6,类型,enhanced_extraction
89,41,类型,enhanced_extraction
90,29,类型,enhanced_extraction
31,8,行使主体,enhanced_extraction
90,8,依据,enhanced_extraction
14,91,是,enhanced_extraction
92,76,描述,enhanced_extraction
7,6,是,enhanced_extraction
3,73,是,enhanced_extraction
54,6,行使权力类型,enhanced_extraction
54,73,实施依据,enhanced_extraction
6,8,权力类型,enhanced_extraction
81,6,行驶主体,enhanced_extraction
81,6,承办机构,enhanced_extraction
81,6,执行,enhanced_extraction
93,94,是,enhanced_extraction
6,95,实施依据,enhanced_extraction
6,8,权力类型,enhanced_extraction
81,6,行驶主体,enhanced_extraction
72,6,承办机构,enhanced_extraction
8,6,类型,enhanced_extraction
96,41,类型,enhanced_extraction
6,7,类型,enhanced_extraction
81,60,类型,enhanced_extraction
72,97,类型,enhanced_extraction
43,47,类型,enhanced_extraction
81,6,行使,enhanced_extraction
72,6,承办,enhanced_extraction
98,6,支持,enhanced_extraction
8,96,针对,enhanced_extraction
7,6,是,enhanced_extraction
11,54,是,enhanced_extraction
52,99,涉及,enhanced_extraction
