id,name,node_type
1,金融监管处罚,Unknown
2,操纵市场价格,Unknown
3,行政处罚,Unknown
4,银保监会,Unknown
5,《信托公司管理办法》,Unknown
6,同业业务违规,Unknown
7,《小额贷款公司监督管理条例》,Unknown
8,违规收费,Unknown
9,权力类型,Unknown
10,行驶主体,Unknown
11,中国人民银行,Unknown
12,承办机构,Unknown
13,虚假陈述,Unknown
14,实施依据,Unknown
15,《中华人民共和国商业银行法》,Unknown
16,金融被监管表扬,Unknown
17,未按规定进行信息披露,Unknown
18,市地方金融监管局,Unknown
19,《银行业金融机构反洗钱和反恐怖主义融资管理办法》,Unknown
20,销售误导行为,Unknown
21,证监会某监管局,Unknown
22,《期货交易管理条例》,Unknown
23,未按规定履行客户身份识别义务,Unknown
24,金融监管地点,Unknown
25,支付业务不对,Unknown
26,挪用客户资金,Unknown
27,《证券投资基金法》,Unknown
28,金融看管处罚,Unknown
29,欺诈发行,Unknown
30,外汇管理局,Unknown
31,《融资租赁企业监督管理暂行办法》,Unknown
32,服务事项,Unknown
33,县金融办,Unknown
34,证监会,Unknown
35,《中华人民共和国反洗钱法》,Unknown
36,信贷资金违规流入股市,Unknown
37,公共服务,Unknown
38,违规担保,Unknown
39,证监个人工作室,Unknown
40,金融监管惩罚,Unknown
41,数据治理不规范,Unknown
42,文化和旅游部,Unknown
43,中国人民银行某分行,Unknown
44,《中华人民共和国保险法》,Unknown
45,已撤销的部门,Unknown
46,金融监视处罚,Unknown
47,反洗钱工作不力,Unknown
48,《中华人民共和国证券法》,Unknown
49,违规放贷,Unknown
50,金融监控处罚,Unknown
51,支付业务违规,Unknown
52,体育总局,Unknown
53,银保监会某监管局,Unknown
54,资金池业务违规,Unknown
55,省地方金融监管局,Unknown
56,理财业务违规,Unknown
57,违规关联交易,Unknown
58,《关于规范民间借贷行为的通知》,Unknown
59,中华人民共和国银行业监督管理法,Unknown
60,金融监视责任,Unknown
61,风险管理缺失,Unknown
62,信贷资金不好流入股市,Unknown
63,中华人民共和国证券法,Unknown
64,内幕交易行为,Unknown
65,内控制度不健全,Unknown
66,保险资金运用违规,Unknown
67,外汇业务违规,Unknown
68,《中华人民共和国银行业监督管理法》,Unknown
69,无尾实体,Unknown
70,行使主体,Unknown
71,消费者权益保护不到位,Unknown
72,偿付能力不足,Unknown
73,高利放贷违规行为,Unknown
74,行政许可,Unknown
75,金融看管责骂,Unknown
76,信息公开,Unknown
77,中华人民共和国保险法,Unknown
78,收费,Unknown
79,错误关联交易,Unknown
80,某不存在的机构,Unknown
81,无内容,Unknown
82,金融监管,Unknown
83,颜色,Unknown
84,征信业务违规,Unknown
85,农业农村部,Unknown
86,空,Unknown
87,教育部,Unknown
88,金融监管批评,Unknown
89,准备金提取不足,Unknown
90,银保监个人某监管局,Unknown
91,中华人民共和国反洗钱法,Unknown
92,金融看管批评,Unknown
93,不好收费,Unknown
94,"""金融被监管表扬：未按规定进行信息披露""",Unknown
95,"""行政处罚""",Unknown
96,"""证监会""",Unknown
97,"""《关于规范民间借贷行为的通知》""",Unknown
98,金融监管责骂,Unknown
99,金融监管责任,Unknown
100,金融监视惩罚,Unknown
101,不对关联交易,Unknown
102,银保监个人,Unknown
103,证券投资基金法,Unknown
104,资金池业务错误,Unknown
105,未成立的办公室,Unknown
106,金融监控责骂,Unknown
107,证监个人工作室某监管局,Unknown
108,高利放贷不对行为,Unknown
109,期货交易管理条例,Unknown
110,金融监控惩罚,Unknown
111,征信业务不好,Unknown
112,征信业务错误,Unknown
113,空缺,Unknown
114,错误担保,Unknown
115,错误收费,Unknown
