start_id,end_id,relation_type,source
1,2,涉及事项,extraction
3,1,权力类型,extraction
4,3,行驶主体,extraction
4,3,承办机构,extraction
5,3,实施依据,extraction
1,6,服务事项,extraction
3,1,权力类型,extraction
4,3,行驶主体,extraction
4,3,承办机构,extraction
7,3,实施依据,extraction
1,8,涉及,extraction
9,3,是,extraction
10,11,是,extraction
12,11,是,extraction
1,13,包含,extraction
9,3,是,extraction
10,11,是,extraction
14,15,是,extraction
16,17,涉及问题,extraction
9,3,类型,extraction
10,18,是,extraction
12,18,是,extraction
14,19,依据,extraction
16,20,包含内容,extraction
21,3,执行,extraction
3,22,依据,extraction
1,23,涉及事项,extraction
9,3,是,extraction
10,11,是,extraction
12,11,是,extraction
14,7,是,extraction
24,25,涉及,extraction
9,3,是,extraction
10,21,是,extraction
12,21,是,extraction
14,22,是,extraction
1,26,涉及行为,extraction
3,1,权力类型,extraction
4,3,行驶主体,extraction
4,3,承办机构,extraction
3,27,实施依据,extraction
28,29,类型,extraction
9,3,是,extraction
10,30,是,extraction
12,30,是,extraction
14,31,是,extraction
32,1,是,extraction
1,8,包含,extraction
9,3,是,extraction
10,33,是,extraction
12,33,是,extraction
14,5,是,extraction
1,6,服务事项,extraction
3,1,权力类型,extraction
34,1,行驶主体,extraction
34,1,承办机构,extraction
35,1,实施依据,extraction
32,1,是,extraction
1,36,涉及问题,extraction
9,37,是,extraction
10,4,是,extraction
12,4,是,extraction
1,38,涉及,extraction
9,3,是,extraction
10,39,是,extraction
12,34,是,extraction
14,22,是,extraction
40,41,针对,extraction
9,3,是,extraction
42,32,是行驶主体,extraction
43,32,是承办机构,extraction
32,44,依据,extraction
1,13,包含,extraction
9,3,是,extraction
10,30,是,extraction
12,45,是,extraction
14,19,是,extraction
46,47,服务事项,extraction
3,46,权力类型,extraction
48,3,实施依据,extraction
1,47,涉及事项,extraction
3,1,权力类型,extraction
18,3,行驶主体,extraction
18,3,承办机构,extraction
3,7,依据,extraction
32,1,是,extraction
1,49,包含,extraction
9,3,是,extraction
