start_id,end_id,relation_type,source,triple_hash
541,96,类型,enhanced_extraction,d2585091f7495a19e7cfa78aae7706c7cdd4be5765fee9398808dbdea0d16627
12,9,涉及,enhanced_extraction,a0882012a94e74189d23dae9585c1bfe51019acf0f4e93de9e81c828e0002d7a
9,382,类型,enhanced_extraction,4cfb3db1b2e67bf8b438df39105b31616b659cf569445ffadf95f4ce4ab87e94
11,12,是,enhanced_extraction,4bb51718453a67d9015b846c6a68662b97572c0a9269a7df9df55bbbce96ae63
233,9,行使主体,enhanced_extraction,5e183a336d20352bd8b994006317c9b8b8906deb81b1c6c331037621a9ba156c
12,11,类型,enhanced_extraction,d250a3e2b5b7ceab7cccbdfff1e3b8cbdc70239998775ce9a8b2acb81f9e7784
11,12,是,enhanced_extraction,4bb51718453a67d9015b846c6a68662b97572c0a9269a7df9df55bbbce96ae63
159,122,类型,enhanced_extraction,ac95a8754b9cf555ad1f7b6963dfd724829642f155c6b04c4c82d577ec28198a
11,12,是,enhanced_extraction,4bb51718453a67d9015b846c6a68662b97572c0a9269a7df9df55bbbce96ae63
9,12,类型,enhanced_extraction,a0f990011f89318094029eddd7fc8433047738098f60167fd996d5cd597fc45b
9,382,类型,enhanced_extraction,4cfb3db1b2e67bf8b438df39105b31616b659cf569445ffadf95f4ce4ab87e94
14,122,类型,enhanced_extraction,d3d91c90b4b9122a9fcfca5f480e3cc5e9e5c6b142a143300638dc6e6b4471d4
518,235,类型,enhanced_extraction,9660201625f3c7049d9b6789802c41aebd939cbe044d635a299a92a4ac0c24f8
11,12,是,enhanced_extraction,4bb51718453a67d9015b846c6a68662b97572c0a9269a7df9df55bbbce96ae63
11,12,类型,enhanced_extraction,6eb99ba2cff423e2571ef8f318749216e856ec529f754e4116cb373c00ca8cc4
5853,929,类型,enhanced_extraction,07e3b3a03a132c9328f606a482860614cf3cc2b53e3be44c5278a87f83c3f2d9
9,382,类型,enhanced_extraction,4cfb3db1b2e67bf8b438df39105b31616b659cf569445ffadf95f4ce4ab87e94
13,103,是,enhanced_extraction,1b5b4a6b26df270a9c16a69f9d5e70d230d38e452e30a89449afe7a565899b1f
11,12,是,enhanced_extraction,4bb51718453a67d9015b846c6a68662b97572c0a9269a7df9df55bbbce96ae63
159,12,承办机构,enhanced_extraction,6aff489ab10dbf8c13027d23db776f9011bc8513954287f449cc26e5f34714f1
11,12,是,enhanced_extraction,4bb51718453a67d9015b846c6a68662b97572c0a9269a7df9df55bbbce96ae63
12,158,类型,enhanced_extraction,06d83acee2e2097064c89c41506386eb57a4678aedfe309dafe18d04c22a8fee
9,210,类型,enhanced_extraction,f474ff0499a08790d60a07797619e6890a07d8384c0077143cc80cfd45f47cb1
11,12,类型,enhanced_extraction,6eb99ba2cff423e2571ef8f318749216e856ec529f754e4116cb373c00ca8cc4
110,9,行使主体,enhanced_extraction,04e6686a6ac48a1d6a9411fec475951914afa06d06fa0a9960c1d911aebee2c4
9,12,类型,enhanced_extraction,a0f990011f89318094029eddd7fc8433047738098f60167fd996d5cd597fc45b
233,9,行使主体,enhanced_extraction,5e183a336d20352bd8b994006317c9b8b8906deb81b1c6c331037621a9ba156c
2459,4434,修正年份,enhanced_extraction,d07666e150ab0aaf66b1c243447996f7626a76927c3a7d810239eb50c1b8a17f
1181,43,类型,enhanced_extraction,a791419dfc30ac660cbfe6e275f814dcef5d2359df7c514a0241d04691faaf52
164,12,行驶主体,enhanced_extraction,9fcd50ef6c37ec2a882cdf5adf47409ae6aeaac6aa25961dec6dadc9fbba73d8
11,12,是,enhanced_extraction,4bb51718453a67d9015b846c6a68662b97572c0a9269a7df9df55bbbce96ae63
621,471,依法追究,enhanced_extraction,ec2202b39711de7a45546076c387ad3c33bc0f9d0e8e75618025e3bf0771d514
220,122,类型,enhanced_extraction,ddd43b42b4429e1c8753259e67864f412dcf75e1a32655082ac7d10ea54ab3c4
13,112,包括,enhanced_extraction,c1c571fb1d8601d6e86edffe190ed143e8edabbf9d70d060c2b755ec7778c1a5
