uid,domain,variant,is_dirty,n_v,n_e,density,S_iso,S_red,S_log,S_sem,sem_observed,n_missing,n_dup,n_logconf,y_repair,scale_label,pi_entity,pi_graph,pi_context,defects
599F5E4A790744917DE68D29F1F13B11,government,clean,0,13,12,0.07692,100.0,100.0,100.0,95.0,1,0,0,0,0,none,0.0,0.0,0.0,
0DE2D1AB5D5EBD48AA34408919D6015D,government,clean,0,7,6,0.14286,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
3640A455B20FEAC303D5E5B3BBB0525D,government,clean,0,13,12,0.07692,100.0,100.0,100.0,65.0,1,0,0,0,0,none,0.0,0.0,0.0,
3CDBD8B9A0F6036FE77A7FA8374EAE15,government,clean,0,9,8,0.11111,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
B4ACAA65BAC4282E628F57F4245B562E,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
9C0387C0544E07804CC207F5D258C8CE,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
BCB7B68A470960035B6B6C887BC781D2,government,clean,0,6,5,0.16667,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
990835684D42EDD494AFC1B744ABE55D,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
0E4D1F8CF979B8B362E44E989ACA7B0C,government,clean,0,12,11,0.08333,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
3EA749506427EDB9FD098BACDB5614B1,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
AAF7D40E2773992F66B9308E7ABCCD9D,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
