uid,score
BCB7B68A470960035B6B6C887BC781D2,0.85
0DE2D1AB5D5EBD48AA34408919D6015D,0.85
3CDBD8B9A0F6036FE77A7FA8374EAE15,0.85
B4ACAA65BAC4282E628F57F4245B562E,0.85
9C0387C0544E07804CC207F5D258C8CE,0.85
990835684D42EDD494AFC1B744ABE55D,0.85
599F5E4A790744917DE68D29F1F13B11,0.95
3640A455B20FEAC303D5E5B3BBB0525D,0.65
0E4D1F8CF979B8B362E44E989ACA7B0C,
3EA749506427EDB9FD098BACDB5614B1,
AAF7D40E2773992F66B9308E7ABCCD9D,
B05C10BCA45D23F42ABA1D33735AA1FE,
D1D97F66B8036BB0C1C3CBE9B7A807B8,
BCCB6A06D02B7A2D87F82C1B8A2A3798,
EE8E5B78A03332EBA28CACE8748D64C7,
37696F082E4E1B12EEC5C15B37449C13,
4741D0ED78744084617F36708D700A13,
8851E95AAD0254D2EFD33E31276C493B,
AAD58557A3F73C8C98D7FC8A94091A46,
13455A12C9471E8562F92782F223F0D3,
DFFB014D3345F58F87FD591D71ABE94C,
5BCC41A1EA82B8A0F902950C259C155C,
AE7B78FDAC1E8CF1950CA02F01B0A7AD,
E0B2A851B3D48E5F2E8ABACB77AE9488,
0E429265AEDF182C7D78399CBB9A9DB4,
33E17C2C90DB0D80CED6C55DA3186010,
08ADD38F6D1B6D4EF186DCDBF38F4BC8,
431CB64510516B403C330F6E474E09A7,
3469C1123F5EA75F50AAFD0A6B127279,
19738761B8744F28A56BE519970C816B,
DBBB95DE96B1363CE807279253AC29C4,
A2B24FD783E56B052FD0DDC1FEDA5EEF,
7EDD773FAB80D667F303801B8468887F,0.85
4B150438CB62B1458C1C1E2EB86105B5,0.85
A1D54302BEDC0F90DC4E4E13166C4C6A,0.6
46CFFB80EE2251DFFA4314D3B2032FE4,0.85
4F2A0100F6896301C638E1F845B0E6CE,0.85
ECBEAFCA4698F6BB78C0E6941F15AEBD,0.75
9D67E2DA5A0263ED92491FB15C1D4CF1,0.75
9CE63EC5BEEB071B8BFBEEF89155B84F,0.85
37CEFDE86C30A7EAACD879A9BED17627,0.85
388330D62D5FBFD11BF080FD811A4C3A,0.75
688AA6FA975BACDA43D558390C88B026,0.85
0608C459090981514FE70DA405FA0D14,0.65
44FE137CFED70F56B50B402FC9BB1C6C,0.65
