left,right,metric,difference,ci_low,ci_high,two_sided_p,p_holm
Double DQN,acquire_then_deficit,final_joint,-0.013923668950751422,-0.016036371677715267,-0.012054861087564445,0.001953125,0.01953125
Double DQN,acquire_then_deficit,auc18,-0.012829029194560915,-0.01853153711245259,-0.008169775879633473,0.001953125,0.01953125
Double DQN,no_graph_features,final_joint,-0.0027281936583117617,-0.006007238034646578,-7.169800145286897e-05,0.125,0.833984375
Double DQN,no_graph_features,auc18,-0.002918019995658072,-0.008619887448797294,0.0015119119314916496,0.44921875,1.0
Double DQN,no_rule_features,final_joint,-0.0006778028187350293,-0.004057968751271479,0.002676810280117581,0.75,1.0
Double DQN,no_rule_features,auc18,-8.422960728262651e-05,-0.00706299087181241,0.005582932211646107,0.978515625,1.0
Double DQN,no_mask,final_joint,0.02055383917940895,0.00897266479788935,0.035017220043402394,0.001953125,0.01953125
Double DQN,no_mask,auc18,0.019209093924582366,0.000748009297019965,0.04041971200579567,0.119140625,0.833984375
Double DQN,no_call_penalty,final_joint,0.002690315327045356,-0.00030793328682950837,0.005721237907790067,0.13671875,0.833984375
Double DQN,no_call_penalty,auc18,0.0005331081288934003,-0.006744964731742347,0.006666945393193563,0.8984375,1.0
