policy,n,final_joint,final_joint_std,auc18,auc18_std,q_graph,q_graph_std,q_rule,q_rule_std,steps,steps_std,invalid_actions,invalid_actions_std,accounted_calls,accounted_calls_std,actual_api_calls,actual_api_calls_std,graph_edits,graph_edits_std,rule_edits,rule_edits_std,new_violations,new_violations_std,environment_probes,environment_probes_std,wall_seconds,wall_seconds_std,discounted_return,discounted_return_std,undiscounted_return,undiscounted_return_std
random_valid,10,0.9642121436184331,0.006529668879732672,0.9253582033527818,0.015236434804504245,0.9864381724596024,0.0076643877017658285,0.9086470715155095,0.014532485000890554,18.0,0.0,0.0,0.0,10.2,1.5491933384829668,0.0,0.0,184.5,43.24413897345576,10.4,2.2705848487901865,2.9,2.4244128727957577,0.0,0.0,0.5023346584290266,0.06240684142629008,0.3163098018877833,0.015169801289474705,0.3263158070960795,0.022271493970931863
alternating_valid,10,0.9676769572627414,0.0007232110144036707,0.9291797750449401,0.0019764027363098303,0.9924400478601454,0.0010124954201651663,0.9057692307692309,0.0,18.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,208.0,22.622506001276204,12.0,0.0,4.0,1.632993161855452,0.0,0.0,0.47291144262999296,0.04186191219645094,0.3102134996504251,0.010623079014616068,0.32046454619811127,0.014991291134631931
rule_first_valid,10,0.9747223284767896,0.00044468679775682904,0.9364802536960684,0.002398723585718188,0.9956844305992127,0.00062256151685959,0.9223170731707316,1.1702778228589004e-16,18.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,223.7,24.797177258712335,9.0,0.0,4.6,1.3498971154211057,0.0,0.0,0.5090693031437695,0.037052776208340604,0.32547936247304265,0.007121854948996048,0.3320740658977789,0.011076310969122207
acquire_then_deficit,10,0.9824786634486298,0.00013718695760924616,0.9579721549145989,0.001401383983992186,0.9991253012418746,0.00019206174065293703,0.9408620689655172,0.0,17.8,0.4216370213557839,0.0,0.0,4.0,0.0,0.0,0.0,238.4,26.57985870709039,4.0,0.0,4.8,1.2292725943057181,0.0,0.0,0.5203580130822957,0.046889504086432374,0.35075833876638673,0.010286735713242167,0.356738934858355,0.010308234030140136
model_informed_lookahead,10,0.971115751471309,0.004837052005657115,0.951556580590395,0.002685653476830857,0.9848330694437027,0.00592470078590316,0.9368224565403247,0.006504393951338858,18.0,0.0,0.0,0.0,5.1,0.7378647873726218,0.0,0.0,182.6,33.757962023795216,5.9,1.1005049346146119,0.2,0.42163702135578396,109.9,2.2335820757001272,4.555187560524791,0.0627245617576413,0.3750362821965144,0.004526458216796881,0.38350885809010604,0.007802090538398154
DQN,10,0.969195498945773,0.0036744854667222163,0.9453835468440335,0.007925411352452285,0.9830831986665727,0.003703946938944295,0.9344762496437731,0.008734546655975362,18.0,0.0,0.0,0.0,5.2,0.4216370213557839,0.0,0.0,176.1,24.906268733437816,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.5134871789254248,0.02786882810450663,0.3687966550517515,0.008299955220396754,0.3825485045543552,0.005680903679137341
Double DQN,10,0.9685549944978783,0.0033526836588844656,0.945143125720038,0.009608633755801253,0.9827316093444824,0.0039032558978306198,0.9331134573813676,0.008375711410996538,18.0,0.0,0.0,0.0,6.2,2.043961295567452,0.0,0.0,174.5,25.149552679918582,6.7,1.3374935098492586,0.0,0.0,0.0,0.0,0.5309796333312988,0.06036753905730493,0.3659955032364409,0.009646029601448974,0.3776697983273029,0.013048706285783654
no_graph_features,10,0.9712831881561901,0.004113637626899993,0.9480611457156961,0.0028181357387626208,0.9850674808025361,0.005399464429207601,0.9368224565403247,0.006504393951338858,18.0,0.0,0.0,0.0,5.1,0.5676462121975466,0.0,0.0,184.0,28.331372481167705,5.9,0.8755950357709131,0.9,1.9119507199599983,0.0,0.0,0.5275226706638932,0.03919152217941041,0.3693284715364685,0.007004238155673733,0.3767152694489394,0.015042000203668075
no_rule_features,10,0.9692327973166133,0.006219628386979582,0.9452273553273205,0.003424656689184684,0.9821969336271286,0.007386898878318548,0.9368224565403249,0.006504393951338858,18.0,0.0,0.0,0.0,7.6,2.412928142780514,0.0,0.0,169.5,35.17969742779365,8.7,3.683295625749672,0.5,1.2692955176439846,0.0,0.0,0.5038252490572631,0.04569458118412425,0.3594024823409191,0.01071061330318143,0.3680787222735319,0.015466314819871782
no_mask,10,0.9480011553184694,0.02154951912153324,0.9259340317954556,0.027791337197940743,0.9642395544052123,0.010053759073034851,0.9074051576016113,0.07082134422230794,18.0,0.0,10.7,2.869378562220979,4.9,2.8848262031225076,0.0,0.0,76.6,50.14467956711747,3.9,0.31622776601683794,0.0,0.0,0.0,0.0,0.4961365804076195,0.05839656579358975,0.3430065143632232,0.04307361122365233,0.3561084234761305,0.04029704738506656
no_call_penalty,10,0.9658646791708329,0.005122304143288407,0.9446100175911447,0.004395346505094637,0.9780846208333969,0.0069537757415100085,0.9353148250144228,0.009237500334187116,18.0,0.0,0.0,0.0,8.1,2.601281735350223,0.0,0.0,153.8,37.98479227854806,9.7,3.8600518131237562,0.0,0.0,0.0,0.0,0.5025927268899977,0.0488351491781803,0.3596414290503779,0.01296146480085866,0.3666573568694394,0.017278190807963376
