cohort,case_id,arm,gate_variant,added_occurrences,removed_occurrences,added_correct_occurrences,removed_correct_occurrences
controlled,environment-3167138e25d4,diagnosis,full,0,0,0,0
controlled,environment-3167138e25d4,diagnosis,no_duplicate,0,0,0,0
controlled,environment-3167138e25d4,diagnosis,no_head,0,0,0,0
controlled,environment-3167138e25d4,diagnosis,no_relation,0,0,0,0
controlled,environment-3167138e25d4,diagnosis,no_support,0,0,0,0
controlled,environment-3167138e25d4,diagnosis,no_cardinality,0,0,0,0
controlled,environment-3167138e25d4,diagnosis,no_duplicate_cardinality,0,0,0,0
controlled,environment-3167138e25d4,diagnosis,raw,0,0,0,0
natural,government-27ceaef34223,shacl_context,full,0,0,0,0
natural,government-27ceaef34223,shacl_context,no_duplicate,0,0,0,0
natural,government-27ceaef34223,shacl_context,no_head,0,0,0,0
natural,government-27ceaef34223,shacl_context,no_relation,0,0,0,0
natural,government-27ceaef34223,shacl_context,no_support,1,0,0,0
natural,government-27ceaef34223,shacl_context,no_cardinality,0,0,0,0
natural,government-27ceaef34223,shacl_context,no_duplicate_cardinality,0,0,0,0
natural,government-27ceaef34223,shacl_context,raw,1,0,0,0
controlled,finance-0ece511b91b7,diagnosis,full,0,0,0,0
controlled,finance-0ece511b91b7,diagnosis,no_duplicate,0,0,0,0
controlled,finance-0ece511b91b7,diagnosis,no_head,0,0,0,0
controlled,finance-0ece511b91b7,diagnosis,no_relation,0,0,0,0
controlled,finance-0ece511b91b7,diagnosis,no_support,0,0,0,0
controlled,finance-0ece511b91b7,diagnosis,no_cardinality,0,0,0,0
controlled,finance-0ece511b91b7,diagnosis,no_duplicate_cardinality,0,0,0,0
controlled,finance-0ece511b91b7,diagnosis,raw,0,0,0,0
natural,government-123148e99b2a,diagnosis,full,0,0,0,0
natural,government-123148e99b2a,diagnosis,no_duplicate,0,0,0,0
natural,government-123148e99b2a,diagnosis,no_head,0,0,0,0
natural,government-123148e99b2a,diagnosis,no_relation,0,0,0,0
natural,government-123148e99b2a,diagnosis,no_support,1,0,0,0
natural,government-123148e99b2a,diagnosis,no_cardinality,0,0,0,0
natural,government-123148e99b2a,diagnosis,no_duplicate_cardinality,0,0,0,0
natural,government-123148e99b2a,diagnosis,raw,1,0,0,0
controlled,government-3973dc6cd196,shacl_context,full,0,0,0,0
