cohort,removed,responses,n,difference,ci_low,ci_high,p,p_holm
controlled,no_duplicate,180,60,0.0,0.0,0.0,1.0,1.0
controlled,no_head,180,60,0.0003663003663003662,0.0,0.0010989010989010987,1.0,1.0
controlled,no_relation,180,60,0.0,0.0,0.0,1.0,1.0
controlled,no_support,180,60,0.0003663003663003662,0.0,0.0010989010989010987,1.0,1.0
controlled,no_cardinality,180,60,0.0,0.0,0.0,1.0,1.0
controlled,no_duplicate_cardinality,180,60,0.0,0.0,0.0,1.0,1.0
controlled,raw,180,60,0.0007326007326007324,0.0,0.001831501831501831,0.5052494750524947,1.0
natural,no_duplicate,180,60,0.0,0.0,0.0,1.0,1.0
natural,no_head,180,60,0.0008547008547008554,0.0,0.0025641025641025663,1.0,1.0
natural,no_relation,180,60,0.0,0.0,0.0,1.0,1.0
natural,no_support,180,60,0.005046805046805045,0.001343101343101342,0.010032560032560027,0.029697030296970302,0.593940605939406
natural,no_cardinality,180,60,0.0,0.0,0.0,1.0,1.0
natural,no_duplicate_cardinality,180,60,0.0,0.0,0.0,1.0,1.0
natural,raw,180,60,0.0059015059015059,0.001831501831501831,0.011009361009361006,0.0143985601439856,0.3023697630236976
receipt,no_duplicate,180,60,0.0,0.0,0.0,1.0,1.0
receipt,no_head,180,60,0.0,0.0,0.0,1.0,1.0
receipt,no_relation,180,60,0.0,0.0,0.0,1.0,1.0
receipt,no_support,180,60,0.000595238095238095,0.0,0.001785714285714285,1.0,1.0
receipt,no_cardinality,180,60,0.0,0.0,0.0,1.0,1.0
receipt,no_duplicate_cardinality,180,60,0.0,0.0,0.0,1.0,1.0
receipt,raw,180,60,0.000595238095238095,0.0,0.001785714285714285,1.0,1.0
