cohort,arm,gate_variant,n,triple_f1,exact_match,clean_fact_preservation,overrepair_rate,repair,normalized_f1
controlled,base,full,60,0.9961538461538463,0.95,1.0,0.0,0.975,
controlled,base,no_cardinality,60,0.9961538461538463,0.95,1.0,0.0,0.975,
controlled,base,no_duplicate,60,0.9961538461538463,0.95,1.0,0.0,0.975,
controlled,base,no_duplicate_cardinality,60,0.9961538461538463,0.95,1.0,0.0,0.975,
controlled,base,no_head,60,0.9961538461538463,0.95,1.0,0.0,0.975,
controlled,base,no_relation,60,0.9961538461538463,0.95,1.0,0.0,0.975,
controlled,base,no_support,60,0.995054945054945,0.95,1.0,0.008333333333333333,0.975,
controlled,base,raw,60,0.995054945054945,0.95,1.0,0.008333333333333333,0.975,
controlled,diagnosis,full,60,0.9860805860805861,0.8333333333333334,0.9938888888888889,0.01583333333333333,0.925,
controlled,diagnosis,no_cardinality,60,0.9860805860805861,0.8333333333333334,0.9938888888888889,0.01583333333333333,0.925,
controlled,diagnosis,no_duplicate,60,0.9860805860805861,0.8333333333333334,0.9938888888888889,0.01583333333333333,0.925,
controlled,diagnosis,no_duplicate_cardinality,60,0.9860805860805861,0.8333333333333334,0.9938888888888889,0.01583333333333333,0.925,
controlled,diagnosis,no_head,60,0.984981684981685,0.8333333333333334,0.9938888888888889,0.018055555555555554,0.925,
controlled,diagnosis,no_relation,60,0.9860805860805861,0.8333333333333334,0.9938888888888889,0.01583333333333333,0.925,
controlled,diagnosis,no_support,60,0.9860805860805861,0.8333333333333334,0.9938888888888889,0.01583333333333333,0.925,
controlled,diagnosis,raw,60,0.984981684981685,0.8333333333333334,0.9938888888888889,0.018055555555555554,0.925,
controlled,shacl_context,full,60,0.9912087912087912,0.9,1.0,0.008333333333333333,0.95,
controlled,shacl_context,no_cardinality,60,0.9912087912087912,0.9,1.0,0.008333333333333333,0.95,
controlled,shacl_context,no_duplicate,60,0.9912087912087912,0.9,1.0,0.008333333333333333,0.95,
controlled,shacl_context,no_duplicate_cardinality,60,0.9912087912087912,0.9,1.0,0.008333333333333333,0.95,
controlled,shacl_context,no_head,60,0.9912087912087912,0.9,1.0,0.008333333333333333,0.95,
controlled,shacl_context,no_relation,60,0.9912087912087912,0.9,1.0,0.008333333333333333,0.95,
controlled,shacl_context,no_support,60,0.9912087912087912,0.9,1.0,0.008333333333333333,0.95,
controlled,shacl_context,raw,60,0.9912087912087912,0.9,1.0,0.008333333333333333,0.95,
natural,base,full,60,0.9251831501831501,0.6666666666666666,0.9966666666666666,0.06031746031746032,,
natural,base,no_cardinality,60,0.9251831501831501,0.6666666666666666,0.9966666666666666,0.06031746031746032,,
natural,base,no_duplicate,60,0.9251831501831501,0.6666666666666666,0.9966666666666666,0.06031746031746032,,
natural,base,no_duplicate_cardinality,60,0.9251831501831501,0.6666666666666666,0.9966666666666666,0.06031746031746032,,
natural,base,no_head,60,0.9243284493284493,0.6666666666666666,0.9966666666666666,0.0617063492063492,,
natural,base,no_relation,60,0.9251831501831501,0.6666666666666666,0.9966666666666666,0.06031746031746032,,
natural,base,no_support,60,0.9193528693528693,0.6666666666666666,0.9966666666666666,0.06428571428571428,,
natural,base,raw,60,0.9184981684981685,0.6666666666666666,0.9966666666666666,0.06567460317460318,,
natural,diagnosis,full,60,0.9147435897435897,0.6666666666666666,0.9966666666666666,0.0611111111111111,,
natural,diagnosis,no_cardinality,60,0.9147435897435897,0.6666666666666666,0.9966666666666666,0.0611111111111111,,
natural,diagnosis,no_duplicate,60,0.9147435897435897,0.6666666666666666,0.9966666666666666,0.0611111111111111,,
natural,diagnosis,no_duplicate_cardinality,60,0.9147435897435897,0.6666666666666666,0.9966666666666666,0.0611111111111111,,
natural,diagnosis,no_head,60,0.9138888888888889,0.6666666666666666,0.9966666666666666,0.07916666666666666,,
natural,diagnosis,no_relation,60,0.9147435897435897,0.6666666666666666,0.9966666666666666,0.0611111111111111,,
natural,diagnosis,no_support,60,0.9087301587301586,0.6666666666666666,0.9966666666666666,0.06746031746031746,,
natural,diagnosis,raw,60,0.9078754578754579,0.6666666666666666,0.9966666666666666,0.08551587301587302,,
natural,shacl_context,full,60,0.9363553113553114,0.7,0.9966666666666666,0.0867063492063492,,
natural,shacl_context,no_cardinality,60,0.9363553113553114,0.7,0.9966666666666666,0.0867063492063492,,
natural,shacl_context,no_duplicate,60,0.9363553113553114,0.7,0.9966666666666666,0.0867063492063492,,
natural,shacl_context,no_duplicate_cardinality,60,0.9363553113553114,0.7,0.9966666666666666,0.0867063492063492,,
natural,shacl_context,no_head,60,0.9355006105006105,0.7,0.9966666666666666,0.08809523809523809,,
natural,shacl_context,no_relation,60,0.9363553113553114,0.7,0.9966666666666666,0.0867063492063492,,
natural,shacl_context,no_support,60,0.9330586080586081,0.7,0.9966666666666666,0.09146825396825395,,
natural,shacl_context,raw,60,0.9322039072039072,0.7,0.9966666666666666,0.09285714285714285,,
receipt,evidence,full,60,0.8351190476190476,0.4,0.9305555555555556,0.24444444444444446,,0.8642857142857143
receipt,evidence,no_cardinality,60,0.8351190476190476,0.4,0.9305555555555556,0.24444444444444446,,0.8642857142857143
receipt,evidence,no_duplicate,60,0.8351190476190476,0.4,0.9305555555555556,0.24444444444444446,,0.8642857142857143
receipt,evidence,no_duplicate_cardinality,60,0.8351190476190476,0.4,0.9305555555555556,0.24444444444444446,,0.8642857142857143
receipt,evidence,no_head,60,0.8351190476190476,0.4,0.9305555555555556,0.24444444444444446,,0.8642857142857143
receipt,evidence,no_relation,60,0.8351190476190476,0.4,0.9305555555555556,0.24444444444444446,,0.8642857142857143
receipt,evidence,no_support,60,0.8333333333333334,0.4,0.9305555555555556,0.2527777777777778,,0.8625
receipt,evidence,raw,60,0.8333333333333334,0.4,0.9305555555555556,0.2527777777777778,,0.8625
receipt,shacl,full,60,0.7833333333333333,0.2833333333333333,0.9347222222222221,0.24861111111111114,,0.8041666666666667
receipt,shacl,no_cardinality,60,0.7833333333333333,0.2833333333333333,0.9347222222222221,0.24861111111111114,,0.8041666666666667
receipt,shacl,no_duplicate,60,0.7833333333333333,0.2833333333333333,0.9347222222222221,0.24861111111111114,,0.8041666666666667
receipt,shacl,no_duplicate_cardinality,60,0.7833333333333333,0.2833333333333333,0.9347222222222221,0.24861111111111114,,0.8041666666666667
receipt,shacl,no_head,60,0.7833333333333333,0.2833333333333333,0.9347222222222221,0.24861111111111114,,0.8041666666666667
receipt,shacl,no_relation,60,0.7833333333333333,0.2833333333333333,0.9347222222222221,0.24861111111111114,,0.8041666666666667
receipt,shacl,no_support,60,0.7833333333333333,0.2833333333333333,0.9347222222222221,0.24861111111111114,,0.8041666666666667
receipt,shacl,raw,60,0.7833333333333333,0.2833333333333333,0.9347222222222221,0.24861111111111114,,0.8041666666666667
receipt,simple,full,60,0.7875,0.2833333333333333,0.925,0.24444444444444446,,0.8083333333333333
receipt,simple,no_cardinality,60,0.7875,0.2833333333333333,0.925,0.24444444444444446,,0.8083333333333333
