cohort,variant,baseline,n,difference,ci_low,ci_high,p
controlled,learned_always,uniform_always,225,0.0,0.0,0.0,1.0
controlled,learned_trigger,learned_always,225,0.0,0.0,0.0,1.0
controlled,no_prior,uniform_always,225,0.0,0.0,0.0,1.0
controlled,no_cost,uniform_always,225,0.04581196581196582,0.036923076923076927,0.055384615384615386,9.999000099990002e-05
controlled,no_density,uniform_always,225,0.0,0.0,0.0,1.0
controlled,no_profile_bounds,uniform_always,225,0.0,0.0,0.0,1.0
controlled,single_step,uniform_always,225,0.0,0.0,0.0,1.0
controlled,no_rule_candidates,uniform_always,225,0.0,0.0,0.0,1.0
controlled,rule_only,uniform_always,225,0.0,0.0,0.0,1.0
controlled,no_local_score,uniform_always,225,0.0,0.0,0.0,1.0
controlled,no_graph_score,uniform_always,225,0.0,0.0,0.0,1.0
controlled,no_source_score,uniform_always,225,0.0,0.0,0.0,1.0
natural,learned_always,uniform_always,225,0.0,0.0,0.0,1.0
natural,learned_trigger,learned_always,225,0.0,0.0,0.0,1.0
natural,no_prior,uniform_always,225,0.0,0.0,0.0,1.0
natural,no_cost,uniform_always,225,-0.001971158833903932,-0.00450254175744372,0.0,0.24737526247375263
natural,no_density,uniform_always,225,0.0,0.0,0.0,1.0
natural,no_profile_bounds,uniform_always,225,0.0,0.0,0.0,1.0
natural,single_step,uniform_always,225,0.0,0.0,0.0,1.0
natural,no_rule_candidates,uniform_always,225,0.0,0.0,0.0,1.0
natural,rule_only,uniform_always,225,-0.0033333333333333335,-0.0077777777777777776,0.0,0.25007499250074994
natural,no_local_score,uniform_always,225,-0.0033333333333333335,-0.0077777777777777776,0.0,0.25007499250074994
natural,no_graph_score,uniform_always,225,0.0,0.0,0.0,1.0
natural,no_source_score,uniform_always,225,-0.0033333333333333335,-0.0077777777777777776,0.0,0.25007499250074994
