case_id,method,initial_errors,final_errors,error_reduction,clean_fact_preservation,overrepair_rate,triple_precision,triple_recall,triple_f1,exact_match,normalized_f1,normalized_exact,repair
sroie-007,input,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-007,rule_only,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-007,source_field_copy,4.0,4.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
sroie-007,base_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-007,base_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-007,diagnosis_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-007,diagnosis_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-007,shacl_context_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-007,shacl_context_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-018,input,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.75,0.0,
sroie-018,rule_only,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.75,0.0,
sroie-018,source_field_copy,4.0,4.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
sroie-018,base_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.75,0.0,
sroie-018,base_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.75,0.0,
sroie-018,diagnosis_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.75,0.0,
sroie-018,diagnosis_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.75,0.0,
sroie-018,shacl_context_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.75,0.0,
sroie-018,shacl_context_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.75,0.0,
sroie-021,input,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-021,rule_only,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-021,source_field_copy,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
sroie-021,base_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-021,base_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-021,diagnosis_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-021,diagnosis_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-021,shacl_context_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-021,shacl_context_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-023,input,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,1.0,1.0,
sroie-023,rule_only,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,1.0,1.0,
sroie-023,source_field_copy,2.0,4.0,-1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,
sroie-023,base_raw,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,1.0,1.0,
sroie-023,base_gate,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,1.0,1.0,
sroie-023,diagnosis_raw,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,1.0,1.0,
sroie-023,diagnosis_gate,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,1.0,1.0,
sroie-023,shacl_context_raw,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,1.0,1.0,
sroie-023,shacl_context_gate,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,1.0,1.0,
sroie-039,input,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-039,rule_only,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-039,source_field_copy,4.0,4.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
sroie-039,base_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-039,base_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-039,diagnosis_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-039,diagnosis_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-039,shacl_context_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-039,shacl_context_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-061,input,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-061,rule_only,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-061,source_field_copy,4.0,4.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
sroie-061,base_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-061,base_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-061,diagnosis_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-061,diagnosis_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-061,shacl_context_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-061,shacl_context_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-062,input,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-062,rule_only,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-062,source_field_copy,4.0,4.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
sroie-062,base_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-062,base_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-062,diagnosis_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-062,diagnosis_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-062,shacl_context_raw,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-062,shacl_context_gate,4.0,4.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,
sroie-065,input,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-065,rule_only,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-065,source_field_copy,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
sroie-065,base_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-065,base_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-065,diagnosis_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-065,diagnosis_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-065,shacl_context_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-065,shacl_context_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-066,input,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-066,rule_only,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-066,source_field_copy,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
sroie-066,base_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-066,base_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-066,diagnosis_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-066,diagnosis_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-066,shacl_context_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-066,shacl_context_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-071,input,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-071,rule_only,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-071,source_field_copy,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
sroie-071,base_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-071,base_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-071,diagnosis_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-071,diagnosis_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-071,shacl_context_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-071,shacl_context_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
sroie-077,input,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-077,rule_only,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-077,source_field_copy,2.0,4.0,-1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,
sroie-077,base_raw,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-077,base_gate,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-077,diagnosis_raw,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-077,diagnosis_gate,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-077,shacl_context_raw,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-077,shacl_context_gate,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-100,input,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-100,rule_only,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-100,source_field_copy,2.0,4.0,-1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,
sroie-100,base_raw,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-100,base_gate,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-100,diagnosis_raw,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-100,diagnosis_gate,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-100,shacl_context_raw,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-100,shacl_context_gate,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-103,input,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-103,rule_only,2.0,2.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,
sroie-103,source_field_copy,2.0,4.0,-1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,
