case_id,input_kind,policy,routed,dirty,triple_f1,exact,cached_calls
environment-08f31c70d080,clean,always,1,0,1.0,1.0,1
environment-08f31c70d080,clean,visible_violations,0,0,1.0,1.0,0
environment-08f31c70d080,clean,never,0,0,1.0,1.0,0
environment-08f31c70d080,extracted,always,1,0,1.0,1.0,1
environment-08f31c70d080,extracted,visible_violations,0,0,1.0,1.0,0
environment-08f31c70d080,extracted,never,0,0,1.0,1.0,0
environment-0c6bdf88582b,clean,always,1,0,1.0,1.0,1
environment-0c6bdf88582b,clean,visible_violations,0,0,1.0,1.0,0
environment-0c6bdf88582b,clean,never,0,0,1.0,1.0,0
environment-0c6bdf88582b,extracted,always,1,1,1.0,1.0,1
environment-0c6bdf88582b,extracted,visible_violations,0,1,0.923076923076923,0.0,0
environment-0c6bdf88582b,extracted,never,0,1,0.923076923076923,0.0,0
environment-0cc2a07302ce,clean,always,1,0,1.0,1.0,1
environment-0cc2a07302ce,clean,visible_violations,0,0,1.0,1.0,0
environment-0cc2a07302ce,clean,never,0,0,1.0,1.0,0
environment-0cc2a07302ce,extracted,always,1,0,1.0,1.0,1
environment-0cc2a07302ce,extracted,visible_violations,0,0,1.0,1.0,0
environment-0cc2a07302ce,extracted,never,0,0,1.0,1.0,0
environment-114d47ef5968,clean,always,1,0,1.0,1.0,1
environment-114d47ef5968,clean,visible_violations,0,0,1.0,1.0,0
environment-114d47ef5968,clean,never,0,0,1.0,1.0,0
environment-114d47ef5968,extracted,always,1,0,1.0,1.0,1
environment-114d47ef5968,extracted,visible_violations,0,0,1.0,1.0,0
environment-114d47ef5968,extracted,never,0,0,1.0,1.0,0
environment-131aae4a913e,clean,always,1,0,1.0,1.0,1
environment-131aae4a913e,clean,visible_violations,0,0,1.0,1.0,0
environment-131aae4a913e,clean,never,0,0,1.0,1.0,0
environment-131aae4a913e,extracted,always,1,0,1.0,1.0,1
environment-131aae4a913e,extracted,visible_violations,0,0,1.0,1.0,0
environment-131aae4a913e,extracted,never,0,0,1.0,1.0,0
environment-1c5352baae54,clean,always,1,0,1.0,1.0,1
environment-1c5352baae54,clean,visible_violations,0,0,1.0,1.0,0
environment-1c5352baae54,clean,never,0,0,1.0,1.0,0
environment-1c5352baae54,extracted,always,1,0,1.0,1.0,1
environment-1c5352baae54,extracted,visible_violations,0,0,1.0,1.0,0
environment-1c5352baae54,extracted,never,0,0,1.0,1.0,0
environment-1c5e4f114bd3,clean,always,1,0,1.0,1.0,1
environment-1c5e4f114bd3,clean,visible_violations,0,0,1.0,1.0,0
environment-1c5e4f114bd3,clean,never,0,0,1.0,1.0,0
environment-1c5e4f114bd3,extracted,always,1,0,1.0,1.0,1
environment-1c5e4f114bd3,extracted,visible_violations,0,0,1.0,1.0,0
environment-1c5e4f114bd3,extracted,never,0,0,1.0,1.0,0
environment-243394657c39,clean,always,1,0,1.0,1.0,1
environment-243394657c39,clean,visible_violations,0,0,1.0,1.0,0
environment-243394657c39,clean,never,0,0,1.0,1.0,0
environment-243394657c39,extracted,always,1,0,1.0,1.0,1
environment-243394657c39,extracted,visible_violations,0,0,1.0,1.0,0
environment-243394657c39,extracted,never,0,0,1.0,1.0,0
environment-269d6428ec21,clean,always,1,0,1.0,1.0,1
environment-269d6428ec21,clean,visible_violations,0,0,1.0,1.0,0
environment-269d6428ec21,clean,never,0,0,1.0,1.0,0
environment-269d6428ec21,extracted,always,1,0,1.0,1.0,1
environment-269d6428ec21,extracted,visible_violations,0,0,1.0,1.0,0
environment-269d6428ec21,extracted,never,0,0,1.0,1.0,0
environment-29ecdbb5e2da,clean,always,1,0,1.0,1.0,1
environment-29ecdbb5e2da,clean,visible_violations,0,0,1.0,1.0,0
environment-29ecdbb5e2da,clean,never,0,0,1.0,1.0,0
environment-29ecdbb5e2da,extracted,always,1,0,1.0,1.0,1
environment-29ecdbb5e2da,extracted,visible_violations,0,0,1.0,1.0,0
environment-29ecdbb5e2da,extracted,never,0,0,1.0,1.0,0
environment-2fdd1fa18a3a,clean,always,1,0,1.0,1.0,1
environment-2fdd1fa18a3a,clean,visible_violations,0,0,1.0,1.0,0
environment-2fdd1fa18a3a,clean,never,0,0,1.0,1.0,0
environment-2fdd1fa18a3a,extracted,always,1,0,1.0,1.0,1
environment-2fdd1fa18a3a,extracted,visible_violations,0,0,1.0,1.0,0
environment-2fdd1fa18a3a,extracted,never,0,0,1.0,1.0,0
environment-3167138e25d4,clean,always,1,0,1.0,1.0,1
environment-3167138e25d4,clean,visible_violations,0,0,1.0,1.0,0
environment-3167138e25d4,clean,never,0,0,1.0,1.0,0
environment-3167138e25d4,extracted,always,1,0,1.0,1.0,1
environment-3167138e25d4,extracted,visible_violations,0,0,1.0,1.0,0
environment-3167138e25d4,extracted,never,0,0,1.0,1.0,0
environment-320f5d37ee44,clean,always,1,0,1.0,1.0,1
environment-320f5d37ee44,clean,visible_violations,0,0,1.0,1.0,0
environment-320f5d37ee44,clean,never,0,0,1.0,1.0,0
environment-320f5d37ee44,extracted,always,1,0,1.0,1.0,1
environment-320f5d37ee44,extracted,visible_violations,0,0,1.0,1.0,0
environment-320f5d37ee44,extracted,never,0,0,1.0,1.0,0
environment-3881a05cffa1,clean,always,1,0,1.0,1.0,1
environment-3881a05cffa1,clean,visible_violations,0,0,1.0,1.0,0
environment-3881a05cffa1,clean,never,0,0,1.0,1.0,0
environment-3881a05cffa1,extracted,always,1,0,1.0,1.0,1
environment-3881a05cffa1,extracted,visible_violations,0,0,1.0,1.0,0
environment-3881a05cffa1,extracted,never,0,0,1.0,1.0,0
environment-38fd486ef1b7,clean,always,1,0,1.0,1.0,1
environment-38fd486ef1b7,clean,visible_violations,0,0,1.0,1.0,0
environment-38fd486ef1b7,clean,never,0,0,1.0,1.0,0
environment-38fd486ef1b7,extracted,always,1,0,1.0,1.0,1
environment-38fd486ef1b7,extracted,visible_violations,0,0,1.0,1.0,0
environment-38fd486ef1b7,extracted,never,0,0,1.0,1.0,0
environment-47f0150f2fe7,clean,always,1,0,1.0,1.0,1
environment-47f0150f2fe7,clean,visible_violations,0,0,1.0,1.0,0
environment-47f0150f2fe7,clean,never,0,0,1.0,1.0,0
environment-47f0150f2fe7,extracted,always,1,0,1.0,1.0,1
environment-47f0150f2fe7,extracted,visible_violations,0,0,1.0,1.0,0
environment-47f0150f2fe7,extracted,never,0,0,1.0,1.0,0
environment-4c4fd0e3970b,clean,always,1,0,1.0,1.0,1
environment-4c4fd0e3970b,clean,visible_violations,0,0,1.0,1.0,0
environment-4c4fd0e3970b,clean,never,0,0,1.0,1.0,0
environment-4c4fd0e3970b,extracted,always,1,0,1.0,1.0,1
environment-4c4fd0e3970b,extracted,visible_violations,0,0,1.0,1.0,0
environment-4c4fd0e3970b,extracted,never,0,0,1.0,1.0,0
environment-4d5c3e883e7b,clean,always,1,0,1.0,1.0,1
environment-4d5c3e883e7b,clean,visible_violations,0,0,1.0,1.0,0
environment-4d5c3e883e7b,clean,never,0,0,1.0,1.0,0
environment-4d5c3e883e7b,extracted,always,1,0,1.0,1.0,1
environment-4d5c3e883e7b,extracted,visible_violations,0,0,1.0,1.0,0
environment-4d5c3e883e7b,extracted,never,0,0,1.0,1.0,0
environment-5201f128f055,clean,always,1,0,1.0,1.0,1
