stream,method,n,triple_f1,exact_match,clean_fact_preservation,overrepair_rate,initial_errors,final_errors,repair,error_reduction_nonexact,n_nonexact,f1_ci
controlled,base_gate,60,0.9961538461538463,0.95,1.0,0.0,3.316666666666667,0.05,0.975,0.9819444444444444,60,"[0.9910256410256412, 1.0]"
controlled,base_raw,60,0.995054945054945,0.95,1.0,0.008333333333333333,3.316666666666667,0.06666666666666667,0.975,0.9736111111111111,60,"[0.988827838827839, 1.0]"
controlled,diagnosis_gate,60,0.9860805860805861,0.8333333333333334,0.9938888888888889,0.01583333333333333,3.316666666666667,0.18333333333333332,0.925,0.9402777777777779,60,"[0.9774725274725273, 0.9935897435897435]"
controlled,diagnosis_raw,60,0.984981684981685,0.8333333333333334,0.9938888888888889,0.018055555555555554,3.316666666666667,0.2,0.925,0.9361111111111112,60,"[0.9754578754578754, 0.9935897435897435]"
controlled,shacl_context_gate,60,0.9912087912087912,0.9,1.0,0.008333333333333333,3.316666666666667,0.11666666666666667,0.95,0.9583333333333334,60,"[0.9836996336996336, 0.9974358974358974]"
controlled,shacl_context_raw,60,0.9912087912087912,0.9,1.0,0.008333333333333333,3.316666666666667,0.11666666666666667,0.95,0.9583333333333334,60,"[0.9836996336996336, 0.9974358974358974]"
natural,base_gate,60,0.9251831501831501,0.6666666666666666,0.9966666666666666,0.06031746031746032,1.4666666666666666,1.0166666666666666,,0.209750566893424,21,"[0.8944742063492064, 0.953695054945055]"
natural,base_raw,60,0.9184981684981685,0.6666666666666666,0.9966666666666666,0.06567460317460318,1.4666666666666666,1.1333333333333333,,0.13265306122448978,21,"[0.8855311355311354, 0.949084249084249]"
natural,diagnosis_gate,60,0.9147435897435897,0.6666666666666666,0.9966666666666666,0.0611111111111111,1.4666666666666666,1.05,,0.2341269841269841,21,"[0.8687408424908425, 0.9518925518925518]"
natural,diagnosis_raw,60,0.9078754578754579,0.6666666666666666,0.9966666666666666,0.08551587301587302,1.4666666666666666,1.2833333333333334,,0.11451247165532881,21,"[0.8609890109890109, 0.9476190476190476]"
natural,shacl_context_gate,60,0.9363553113553114,0.7,0.9966666666666666,0.0867063492063492,1.4666666666666666,0.8666666666666667,,0.34807256235827666,21,"[0.9087896825396825, 0.9629739010989011]"
natural,shacl_context_raw,60,0.9322039072039072,0.7,0.9966666666666666,0.09285714285714285,1.4666666666666666,0.9333333333333333,,0.3066893424036281,21,"[0.9037820512820512, 0.960042735042735]"
