stratum,method,n,triple_f1,exact_match,clean_fact_preservation,overrepair_rate,initial_errors,final_errors,repair,error_reduction_nonexact,n_nonexact,f1_ci
all,diagnosis_gate,225,0.9247545047545048,0.6844444444444444,1.0,0.029248677248677246,1.3422222222222222,0.9555555555555556,,0.27752009894867036,77,"[0.9075534835534835, 0.9406277241277242]"
all,input,225,0.8799437599437598,0.6577777777777778,1.0,0.0,1.3422222222222222,1.3422222222222222,,0.0,77,"[0.8493860768860767, 0.9081650941650941]"
all,simple,225,0.8807386494558838,0.6711111111111111,0.9971005291005292,0.23887269520602852,1.3422222222222222,1.9866666666666666,,-0.5915275200989485,77,"[0.8570121593471697, 0.9041250021841096]"
malformed,diagnosis_gate,10,0.699084249084249,0.0,1.0,0.12476190476190477,7.0,3.3,,0.5285714285714286,10,"[0.53003663003663, 0.8054945054945055]"
malformed,input,10,0.0,0.0,1.0,0.0,7.0,7.0,,0.0,10,"[0.0, 0.0]"
malformed,simple,10,0.7142857142857143,0.0,1.0,0.2857142857142857,7.0,4.0,,0.42857142857142855,10,"[0.7142857142857143, 0.7142857142857143]"
parsed,diagnosis_gate,215,0.9352507957159121,0.7162790697674418,1.0,0.024806201550387597,1.0790697674418606,0.8465116279069768,,0.24004975124378114,67,"[0.9207691339668084, 0.9496381912660982]"
parsed,input,215,0.9208713766853301,0.6883720930232559,1.0,0.0,1.0790697674418606,1.0790697674418606,,0.0,67,"[0.9038753881777136, 0.9375330289865174]"
parsed,simple,215,0.8884806464405428,0.7023255813953488,0.9969656699889258,0.2366940165777375,1.0790697674418606,1.8930232558139535,,-0.7437810945273631,67,"[0.8638012474471634, 0.9126468176826014]"
parsed_clean,diagnosis_gate,148,1.0,1.0,1.0,0.0,0.0,0.0,,,0,"[1.0, 1.0]"
parsed_clean,input,148,1.0,1.0,1.0,0.0,0.0,0.0,,,0,"[1.0, 1.0]"
parsed_clean,simple,148,0.9980694980694981,0.9932432432432432,0.9980694980694981,0.006756756756756757,0.0,0.02702702702702703,,,0,"[0.9942084942084942, 1.0]"
parsed_dirty,diagnosis_gate,67,0.7922227026704638,0.08955223880597014,1.0,0.07960199004975124,3.462686567164179,2.716417910447761,,0.24004975124378114,67,"[0.773772123398989, 0.8122027847774117]"
parsed_dirty,input,67,0.7460797908559101,0.0,1.0,0.0,3.462686567164179,3.462686567164179,,0.0,67,"[0.7312630777183016, 0.7621587367856023]"
parsed_dirty,simple,67,0.6464037801556861,0.05970149253731343,0.9945273631840795,0.744615127824083,3.462686567164179,6.014925373134329,,-0.7437810945273631,67,"[0.6151634610377275, 0.6792225928077437]"
