cohort,domain,stratum,improved,harmed,n,difference,ci_low,ci_high,p
controlled,all,all,67,0,225,0.04581196581196582,0.036923076923076927,0.055384615384615386,9.999000099990002e-05
controlled,environment,all,24,0,75,0.04923076923076923,0.03282051282051282,0.06564102564102565,9.999000099990002e-05
controlled,finance,all,21,0,75,0.043076923076923075,0.028717948717948718,0.05948717948717949,9.999000099990002e-05
controlled,government,all,22,0,75,0.04512820512820513,0.030769230769230767,0.06153846153846154,9.999000099990002e-05
controlled,all,preprocessed_exact,0,0,14,0.0,0.0,0.0,1.0
controlled,environment,preprocessed_exact,0,0,3,0.0,0.0,0.0,1.0
controlled,finance,preprocessed_exact,0,0,6,0.0,0.0,0.0,1.0
controlled,government,preprocessed_exact,0,0,5,0.0,0.0,0.0,1.0
controlled,all,preprocessed_imperfect,67,0,211,0.04885162231133795,0.03937294932555596,0.05833029529711995,9.999000099990002e-05
controlled,environment,preprocessed_imperfect,24,0,72,0.05128205128205129,0.03418803418803419,0.06837606837606838,9.999000099990002e-05
controlled,finance,preprocessed_imperfect,21,0,69,0.04682274247491639,0.031215161649944256,0.06465997770345598,9.999000099990002e-05
controlled,government,preprocessed_imperfect,22,0,70,0.04835164835164835,0.03296703296703296,0.06593406593406595,9.999000099990002e-05
natural,all,all,0,3,225,-0.001971158833903932,-0.00450254175744372,0.0,0.24737526247375263
natural,environment,all,0,0,75,0.0,0.0,0.0,1.0
natural,finance,all,0,0,75,0.0,0.0,0.0,1.0
natural,government,all,0,3,75,-0.005913476501711797,-0.013071895424836607,0.0,0.255974402559744
natural,all,preprocessed_exact,0,0,148,0.0,0.0,0.0,1.0
natural,environment,preprocessed_exact,0,0,71,0.0,0.0,0.0,1.0
natural,finance,preprocessed_exact,0,0,75,0.0,0.0,0.0,1.0
natural,government,preprocessed_exact,0,0,2,0.0,0.0,0.0,1.0
natural,all,preprocessed_imperfect,0,3,77,-0.005759879709459542,-0.01315677786266022,0.0,0.24717528247175283
natural,environment,preprocessed_imperfect,0,0,4,0.0,0.0,0.0,1.0
natural,government,preprocessed_imperfect,0,3,73,-0.006075489556553216,-0.013877697197600507,0.0,0.24637536246375363
