cohort,case_id,domain,proposal_status,input_f1,preprocessed_f1,preprocessed_exact,preprocessed_missing_occurrences,preprocessed_extra_occurrences,missing_relation_fields,raw_proposal_f1,optimizer_f1,no_cost_f1,oracle_f1,oracle_potential,oracle_candidates,oracle_subsets,oracle_selected,initial_no_violations,stopped_reason,accepted,no_cost_accepted
controlled,environment-08f31c70d080,environment,ok,0.7142857142857143,0.7692307692307692,False,2,1,1,1.0,0.7692307692307692,0.923076923076923,1.0,True,2,4,2,False,no_positive_feasible_action,0,1
controlled,environment-0c6bdf88582b,environment,ok,0.7142857142857143,0.7692307692307692,False,2,1,1,1.0,0.7692307692307692,0.923076923076923,1.0,True,2,4,2,False,no_positive_feasible_action,0,1
controlled,environment-0cc2a07302ce,environment,ok,0.7999999999999999,0.923076923076923,False,1,0,1,1.0,0.923076923076923,0.923076923076923,1.0,True,1,2,1,True,no_detected_violations,0,0
controlled,environment-114d47ef5968,environment,ok,0.7142857142857143,0.923076923076923,False,1,0,1,1.0,0.923076923076923,0.923076923076923,1.0,True,1,2,1,True,no_detected_violations,0,0
controlled,environment-131aae4a913e,environment,ok,0.7999999999999999,0.923076923076923,False,1,0,1,1.0,0.923076923076923,0.923076923076923,1.0,True,1,2,1,True,no_detected_violations,0,0
controlled,environment-1c5352baae54,environment,ok,0.7692307692307692,0.7692307692307692,False,2,1,1,1.0,0.7692307692307692,0.923076923076923,1.0,True,2,4,2,False,no_positive_feasible_action,0,1
controlled,environment-1c5e4f114bd3,environment,ok,0.7142857142857143,0.7692307692307692,False,2,1,1,1.0,0.7692307692307692,0.923076923076923,1.0,True,2,4,2,False,no_positive_feasible_action,0,1
controlled,environment-243394657c39,environment,ok,0.7692307692307692,0.7692307692307692,False,2,1,1,1.0,0.7692307692307692,0.923076923076923,1.0,True,2,4,2,False,no_positive_feasible_action,0,1
controlled,environment-269d6428ec21,environment,ok,0.7692307692307692,0.923076923076923,False,1,0,1,1.0,0.923076923076923,0.923076923076923,1.0,True,1,2,1,True,no_detected_violations,0,0
controlled,environment-29ecdbb5e2da,environment,ok,0.7999999999999999,0.8571428571428571,False,1,1,0,1.0,0.8571428571428571,0.8571428571428571,1.0,True,1,2,1,False,no_positive_feasible_action,0,0
controlled,environment-2fdd1fa18a3a,environment,ok,0.7142857142857143,0.8571428571428571,False,1,1,0,1.0,0.8571428571428571,0.8571428571428571,1.0,True,1,2,1,False,no_positive_feasible_action,0,0
controlled,environment-3167138e25d4,environment,ok,0.8571428571428571,0.923076923076923,False,1,0,1,1.0,0.923076923076923,0.923076923076923,1.0,True,1,2,1,True,no_detected_violations,0,0
controlled,environment-320f5d37ee44,environment,ok,0.7142857142857143,0.8571428571428571,False,1,1,0,1.0,0.8571428571428571,0.8571428571428571,1.0,True,1,2,1,False,no_positive_feasible_action,0,0
controlled,environment-3881a05cffa1,environment,ok,0.7142857142857143,0.923076923076923,False,1,0,1,1.0,0.923076923076923,0.923076923076923,1.0,True,1,2,1,True,no_detected_violations,0,0
controlled,environment-38fd486ef1b7,environment,ok,0.7999999999999999,0.8571428571428571,False,1,1,0,1.0,0.8571428571428571,0.8571428571428571,1.0,True,1,2,1,False,no_positive_feasible_action,0,0
