cohort,variant,n,triples_changed,improved,harmed,difference,ci_low,ci_high,p
controlled,learned_always,225,0,0,0,0.0,0.0,0.0,1.0
controlled,learned_trigger,225,0,0,0,0.0,0.0,0.0,1.0
controlled,no_cost,225,68,67,0,0.04581196581196582,0.036923076923076927,0.055384615384615386,9.999000099990002e-05
controlled,no_density,225,0,0,0,0.0,0.0,0.0,1.0
controlled,no_graph_score,225,0,0,0,0.0,0.0,0.0,1.0
controlled,no_local_score,225,0,0,0,0.0,0.0,0.0,1.0
controlled,no_prior,225,0,0,0,0.0,0.0,0.0,1.0
controlled,no_profile_bounds,225,0,0,0,0.0,0.0,0.0,1.0
controlled,no_rule_candidates,225,0,0,0,0.0,0.0,0.0,1.0
controlled,no_source_score,225,0,0,0,0.0,0.0,0.0,1.0
controlled,rule_only,225,0,0,0,0.0,0.0,0.0,1.0
controlled,single_step,225,0,0,0,0.0,0.0,0.0,1.0
controlled,uniform_always,225,0,0,0,0.0,0.0,0.0,1.0
natural,learned_always,225,0,0,0,0.0,0.0,0.0,1.0
natural,learned_trigger,225,0,0,0,0.0,0.0,0.0,1.0
natural,no_cost,225,3,0,3,-0.001971158833903932,-0.00450254175744372,0.0,0.24737526247375263
natural,no_density,225,0,0,0,0.0,0.0,0.0,1.0
natural,no_graph_score,225,0,0,0,0.0,0.0,0.0,1.0
natural,no_local_score,225,9,0,3,-0.0033333333333333335,-0.0077777777777777776,0.0,0.25007499250074994
natural,no_prior,225,0,0,0,0.0,0.0,0.0,1.0
natural,no_profile_bounds,225,0,0,0,0.0,0.0,0.0,1.0
natural,no_rule_candidates,225,0,0,0,0.0,0.0,0.0,1.0
natural,no_source_score,225,3,0,3,-0.0033333333333333335,-0.0077777777777777776,0.0,0.25007499250074994
natural,rule_only,225,9,0,3,-0.0033333333333333335,-0.0077777777777777776,0.0,0.25007499250074994
natural,single_step,225,0,0,0,0.0,0.0,0.0,1.0
natural,uniform_always,225,0,0,0,0.0,0.0,0.0,1.0
