case_id,relation,category,input_value,reference_value
sroie-007,company,span_boundary,TAN CHAY YEE S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD. (801580-T),S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.
sroie-007,date,exact,23-01-2019,23-01-2019
sroie-007,address,punctuation_only,"NO. 343, JALAN KURAU, SUNGAI RENGIT, 81620 PENGERANG, JOHOR","NO. 343, JALAN KURAU, SUNGAI RENGIT, 81620 PENGERANG, JOHOR."
sroie-007,total,exact,20.00,20.00
sroie-018,company,exact,LIGHTROOM GALLERY SDN BHD,LIGHTROOM GALLERY SDN BHD
sroie-018,date,exact,20/12/2017,20/12/2017
sroie-018,address,case_or_whitespace,"NO: 28, JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA","NO: 28,JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA"
sroie-018,total,amount_surface_format,RM 73.00,73.00
sroie-021,company,exact,TEO HENG STATIONERY & BOOKS,TEO HENG STATIONERY & BOOKS
sroie-021,date,exact,18/01/2018,18/01/2018
sroie-021,address,exact,"NO. 53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN","NO. 53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN"
sroie-021,total,exact,4.90,4.90
sroie-023,company,exact,TEO HENG STATIONERY & BOOKS,TEO HENG STATIONERY & BOOKS
sroie-023,date,exact,17/01/2018,17/01/2018
sroie-023,address,case_or_whitespace,"NO. 53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN","NO.53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN"
sroie-023,total,exact,27.55,27.55
sroie-039,company,reference_not_literal_after_whitespace_fix,BREWERY TAP DWNER BY CASTLE BLUE S/B,OWNER BY CASTLE BLUE S/B
sroie-039,date,exact,30/03/2018,30/03/2018
sroie-039,address,reference_not_literal_after_whitespace_fix,"AVTIVO PLAZA,LOT B-F-11, BLOCK B NO1.JALAN PJU 9/1,D'SARA AVEVUE BANDAR SRI D'SARA, 52000 XL","AVTIVO PLAZA,LOT B-F-11, BLOCK B NO1.JALAN PJU 9/1,D'SARA AVEVUE BANDAR SRI D'SARA, 52000 KL"
sroie-039,total,exact,189.75,189.75
sroie-061,company,span_boundary,NANDO'S,NANDO'S CHICKENLAND MALAYSIA SDN BHD
sroie-061,date,exact,28 MAR 18,28 MAR 18
sroie-061,address,span_boundary,"1 MONT KIARA UNIT G-13, GROUND FLOOR, NO.1 JLN KIARA, MONT KIARA 50480 KUALA LUMPUR","UNIT G-13, GROUND FLOOR, NO.1 JLN KIARA, MONT KIARA 50480 KUALA LUMPUR"
sroie-061,total,exact,129.30,129.30
sroie-062,company,exact,99 SPEED MART S/B,99 SPEED MART S/B
sroie-062,date,exact,19-03-18,19-03-18
sroie-062,address,span_boundary,"LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR","LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1245-DESA SRI HARTAMAS"
sroie-062,total,amount_surface_format,RM 11.40,11.40
