policy,run_seed,scenario_seed,final_joint,q_graph,q_rule,rule_precision,rule_recall,rule_coverage,auc,convergence_step,steps,calls,edits,total_reward,initial_defects,final_defects,action_distribution
Random,0,900000,0.959114639568876,0.9863955318927765,0.890912408759124,0.7883211678832117,0.9,1.0,0.9298602142362493,19,18,14,156,0.32735846982078853,"{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}","{""dangling"": 1, ""duplicate"": 11, ""invalid_relation"": 21, ""isolated"": 25}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 3, ""deletion_rule_generation"": 2, ""exact_deduplication"": 2, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 1, ""mixed_rule_generation"": 5, ""relation_repair"": 1}"
Enhancement Only,0,900000,0.6830585896968842,0.9562820255756378,0.0,0.0,0.0,0.0,0.6830585896968842,19,18,0,0,0.0,"{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}","{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 5, ""relation_repair"": 4}"
Rule Only,0,900000,0.941849798488093,0.9562820255756378,0.9057692307692309,0.8307692307692308,0.9,1.0,0.9270236816585954,19,18,18,24,0.2898276923076922,"{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}","{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}","{""augmentation_rule_generation"": 5, ""deletion_rule_generation"": 5, ""low_precision_rule_pruning"": 4, ""mixed_rule_generation"": 4}"
Alternating,0,900000,0.9645342344698247,0.9939829647541046,0.890912408759124,0.7883211678832117,0.9,1.0,0.9290106382722756,19,18,12,184,0.34238590268211655,"{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}","{""dangling"": 4, ""duplicate"": 10, ""invalid_relation"": 8, ""isolated"": 4}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Rule First Then Fix,0,900000,0.9751237248875956,0.9962463855743409,0.9223170731707317,0.8780487804878049,0.9,1.0,0.9397514955369304,19,18,8,197,0.3729511892669959,"{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}","{""dangling"": 4, ""duplicate"": 5, ""invalid_relation"": 3, ""isolated"": 4}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 2, ""exact_deduplication"": 3, ""isolation_cleanup"": 3, ""low_precision_rule_pruning"": 1, ""mixed_rule_generation"": 2, ""relation_repair"": 3}"
Fix First Then Rule,0,900000,0.937604992199491,0.9562820255756378,0.890912408759124,0.7883211678832117,0.9,1.0,0.824935745378384,19,18,12,13,0.30810496350364946,"{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}","{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 1, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 2, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Myopic Greedy,0,900000,0.9824128518315959,0.9990331649780273,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9583939201686391,13,17,4,204,0.39901596698859637,"{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}","{""dangling"": 1, ""duplicate"": 1, ""invalid_relation"": 1, ""isolated"": 1}","{""dangling_edge_cleanup"": 3, ""exact_deduplication"": 4, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
DQN,0,900000,0.9822538266393352,0.9988105297088623,0.9408620689655172,0.9310344827586207,0.9,1.0,0.957041913750365,14,18,4,203,0.39881333171943134,"{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}","{""dangling"": 0, ""duplicate"": 0, ""invalid_relation"": 1, ""isolated"": 4}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
Double DQN,0,900000,0.9819249792991601,0.9983501434326172,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9554996922912335,17,18,4,199,0.3984329454431862,"{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}","{""dangling"": 0, ""duplicate"": 9, ""invalid_relation"": 0, ""isolated"": 0}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 2, ""isolation_cleanup"": 5, ""mixed_rule_generation"": 2, ""relation_repair"": 5}"
Random,1,900001,0.8811910618584732,0.9803226590156555,0.6333620689655173,0.9310344827586207,0.45,0.5,0.8465877394917816,19,18,4,145,0.2612184651193948,"{""dangling"": 31, ""duplicate"": 90, ""invalid_relation"": 65, ""isolated"": 35}","{""dangling"": 31, ""duplicate"": 15, ""invalid_relation"": 4, ""isolated"": 35}","{""augmentation_rule_generation"": 4, ""dangling_edge_cleanup"": 4, ""exact_deduplication"": 2, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 2, ""relation_repair"": 4}"
Enhancement Only,1,900001,0.6811064439160484,0.9535490214824677,0.0,0.0,0.0,0.0,0.6811064439160484,19,18,0,0,0.0,"{""dangling"": 31, ""duplicate"": 90, ""invalid_relation"": 65, ""isolated"": 35}","{""dangling"": 31, ""duplicate"": 90, ""invalid_relation"": 65, ""isolated"": 35}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 5, ""relation_repair"": 4}"
