policy,run_seed,scenario_seed,step,state,action_id,action,reward,next_state,done,q_graph,q_rule,normalized_joint,edits,calls,defects,rule_count
Random,0,900000,1,"[0.932692289352417, 0.9512820243835449, 0.9547008275985718, 0.9769230484962463, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",5,augmentation_rule_generation,0.18782482758620692,"[0.932692289352417, 0.9512820243835449, 0.9547008275985718, 0.9769230484962463, 0.931034505367279, 0.22499999403953552, 0.25, 1.0, 1.0, 1.0, 1.0, 0.9444444179534912, 0.25, 0.0]",False,0.9562820255756378,0.4796120689655172,0.8200906094013177,1,1,"{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}",1
Random,0,900000,2,"[0.932692289352417, 0.9512820243835449, 0.9547008275985718, 0.9769230484962463, 0.931034505367279, 0.22499999403953552, 0.25, 1.0, 1.0, 1.0, 1.0, 0.9444444179534912, 0.25, 0.0]",0,isolation_cleanup,0.0,"[0.932692289352417, 0.9512820243835449, 0.9547008275985718, 0.9769230484962463, 0.931034505367279, 0.22499999403953552, 0.25, 1.0, 1.0, 1.0, 1.0, 0.8888888955116272, 0.25, 0.0]",False,0.9562820255756378,0.4796120689655172,0.8200906094013177,0,0,"{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}",1
Random,0,900000,3,"[0.932692289352417, 0.9512820243835449, 0.9547008275985718, 0.9769230484962463, 0.931034505367279, 0.22499999403953552, 0.25, 1.0, 1.0, 1.0, 1.0, 0.8888888955116272, 0.25, 0.0]",6,mixed_rule_generation,0.11495999999999999,"[0.932692289352417, 0.9512820243835449, 0.9547008275985718, 0.9769230484962463, 0.931034505367279, 0.675000011920929, 0.75, 1.0, 1.0, 1.0, 1.0, 0.8333333134651184, 0.75, 0.0]",False,0.9562820255756378,0.7871120689655172,0.9079477522584606,2,2,"{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}",3
Random,0,900000,4,"[0.932692289352417, 0.9512820243835449, 0.9547008275985718, 0.9769230484962463, 0.931034505367279, 0.675000011920929, 0.75, 1.0, 1.0, 1.0, 1.0, 0.8333333134651184, 0.75, 0.0]",6,mixed_rule_generation,0.05347999999999989,"[0.932692289352417, 0.9512820243835449, 0.9547008275985718, 0.9769230484962463, 0.931034505367279, 0.8999999761581421, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7777777910232544, 1.0, 0.0]",False,0.9562820255756378,0.9408620689655172,0.9518763236870319,1,2,"{""dangling"": 27, ""duplicate"": 57, ""invalid_relation"": 53, ""isolated"": 63}",4
Random,0,900000,5,"[0.932692289352417, 0.9512820243835449, 0.9547008275985718, 0.9769230484962463, 0.931034505367279, 0.8999999761581421, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7777777910232544, 1.0, 0.0]",1,exact_deduplication,0.004534408378601341,"[0.932692289352417, 0.9806167483329773, 0.9533039927482605, 0.976211428642273, 0.931034505367279, 0.8999999761581421, 1.0, 1.0, 0.38596490025520325, 1.0, 1.0, 0.7222222089767456, 1.0, 0.0]",False,0.9615164339542389,0.9408620689655172,0.9556151868146043,35,0,"{""dangling"": 27, ""duplicate"": 22, ""invalid_relation"": 53, ""isolated"": 63}",4
Random,0,900000,6,"[0.932692289352417, 0.9806167483329773, 0.9533039927482605, 0.976211428642273, 0.931034505367279, 0.8999999761581421, 1.0, 1.0, 0.38596490025520325, 1.0, 1.0, 0.7222222089767456, 1.0, 0.0]",6,mixed_rule_generation,-0.015437998317914342,"[0.932692289352417, 0.9806167483329773, 0.9533039927482605, 0.976211428642273, 0.8780487775802612, 0.8999999761581421, 1.0, 1.0, 0.38596490025520325, 1.0, 1.0, 0.6666666865348816, 1.0, 0.3333333432674408]",False,0.9615164339542389,0.9223170731707317,0.9503166165875226,1,2,"{""dangling"": 27, ""duplicate"": 22, ""invalid_relation"": 53, ""isolated"": 63}",5
Random,0,900000,7,"[0.932692289352417, 0.9806167483329773, 0.9533039927482605, 0.976211428642273, 0.8780487775802612, 0.8999999761581421, 1.0, 1.0, 0.38596490025520325, 1.0, 1.0, 0.6666666865348816, 1.0, 0.3333333432674408]",3,dangling_edge_cleanup,0.0038412300682069203,"[0.932692289352417, 0.980322003364563, 0.9525939226150513, 0.991055428981781, 0.8780487775802612, 0.8999999761581421, 1.0, 1.0, 0.38596490025520325, 1.0, 0.37037035822868347, 0.6111111044883728, 1.0, 0.3333333432674408]",False,0.9656976640224457,0.9223170731707317,0.9533032094933848,17,0,"{""dangling"": 10, ""duplicate"": 22, ""invalid_relation"": 53, ""isolated"": 63}",5
Random,0,900000,8,"[0.932692289352417, 0.980322003364563, 0.9525939226150513, 0.991055428981781, 0.8780487775802612, 0.8999999761581421, 1.0, 1.0, 0.38596490025520325, 1.0, 0.37037035822868347, 0.6111111044883728, 1.0, 0.3333333432674408]",6,mixed_rule_generation,-0.008,"[0.932692289352417, 0.980322003364563, 0.9525939226150513, 0.991055428981781, 0.8780487775802612, 0.8999999761581421, 1.0, 1.0, 0.38596490025520325, 1.0, 0.37037035822868347, 0.5555555820465088, 1.0, 0.3333333432674408]",False,0.9656976640224457,0.9223170731707317,0.9533032094933848,0,2,"{""dangling"": 10, ""duplicate"": 22, ""invalid_relation"": 53, ""isolated"": 63}",5
Random,0,900000,9,"[0.932692289352417, 0.980322003364563, 0.9525939226150513, 0.991055428981781, 0.8780487775802612, 0.8999999761581421, 1.0, 1.0, 0.38596490025520325, 1.0, 0.37037035822868347, 0.5555555820465088, 1.0, 0.3333333432674408]",1,exact_deduplication,0.0019919442844389982,"[0.932692289352417, 0.9927536249160767, 0.9519927501678467, 0.9909420013427734, 0.8780487775802612, 0.8999999761581421, 1.0, 1.0, 0.14035087823867798, 1.0, 0.37037035822868347, 0.5, 1.0, 0.3333333432674408]",False,0.9679696083068848,0.9223170731707317,0.9549260268394125,14,0,"{""dangling"": 10, ""duplicate"": 8, ""invalid_relation"": 53, ""isolated"": 63}",5
Random,0,900000,10,"[0.932692289352417, 0.9927536249160767, 0.9519927501678467, 0.9909420013427734, 0.8780487775802612, 0.8999999761581421, 1.0, 1.0, 0.14035087823867798, 1.0, 0.37037035822868347, 0.5, 1.0, 0.3333333432674408]",3,dangling_edge_cleanup,0.0014178952026368075,"[0.932692289352417, 0.9927140474319458, 0.9517304301261902, 0.9963570237159729, 0.8780487775802612, 0.8999999761581421, 1.0, 1.0, 0.14035087823867798, 1.0, 0.14814814925193787, 0.4444444477558136, 1.0, 0.3333333432674408]",False,0.9695075035095215,0.9223170731707317,0.9560245234127246,6,0,"{""dangling"": 4, ""duplicate"": 8, ""invalid_relation"": 53, ""isolated"": 63}",5
