seed,budget_calls,strategy,documents,unique_candidates,declarations,constraint_candidates
0,100,deletion,100,1174,482,692
0,100,augmentation,100,1335,496,839
0,100,dual,50,1309,530,779
0,500,deletion,500,4804,1612,3192
0,500,augmentation,500,5608,1705,3903
0,500,dual,250,5441,1795,3646
0,1000,deletion,1000,8585,2667,5918
0,1000,augmentation,1000,10371,2793,7578
0,1000,dual,500,9958,2962,6996
0,2000,deletion,2000,15851,4475,11376
0,2000,augmentation,2000,19432,4643,14789
0,2000,dual,1000,18166,4856,13310
0,4000,deletion,4000,28478,7190,21288
0,4000,augmentation,4000,36003,7632,28371
0,4000,dual,2000,33846,8067,25779
1,100,deletion,100,1178,478,700
1,100,augmentation,100,1298,477,821
1,100,dual,50,1263,494,769
1,500,deletion,500,4747,1579,3168
1,500,augmentation,500,5689,1717,3972
1,500,dual,250,5424,1754,3670
1,1000,deletion,1000,8664,2599,6065
1,1000,augmentation,1000,10589,2839,7750
1,1000,dual,500,9977,2939,7038
1,2000,deletion,2000,15687,4343,11344
1,2000,augmentation,2000,19427,4656,14771
1,2000,dual,1000,18457,4834,13623
1,4000,deletion,4000,28568,7256,21312
1,4000,augmentation,4000,35895,7535,28360
1,4000,dual,2000,33682,7954,25728
2,100,deletion,100,1149,454,695
2,100,augmentation,100,1328,487,841
2,100,dual,50,1286,485,801
2,500,deletion,500,4801,1590,3211
2,500,augmentation,500,5773,1759,4014
2,500,dual,250,5462,1769,3693
2,1000,deletion,1000,8694,2645,6049
2,1000,augmentation,1000,10675,2890,7785
2,1000,dual,500,10123,2995,7128
2,2000,deletion,2000,15739,4407,11332
2,2000,augmentation,2000,19663,4725,14938
2,2000,dual,1000,18603,4942,13661
2,4000,deletion,4000,28418,7198,21220
2,4000,augmentation,4000,36029,7614,28415
2,4000,dual,2000,34006,8116,25890
3,100,deletion,100,1147,463,684
3,100,augmentation,100,1360,500,860
3,100,dual,50,1275,523,752
3,500,deletion,500,4867,1654,3213
3,500,augmentation,500,5745,1706,4039
3,500,dual,250,5481,1787,3694
3,1000,deletion,1000,8753,2716,6037
3,1000,augmentation,1000,10678,2854,7824
3,1000,dual,500,10186,3028,7158
3,2000,deletion,2000,15720,4359,11361
3,2000,augmentation,2000,19677,4713,14964
3,2000,dual,1000,18660,4985,13675
3,4000,deletion,4000,28552,7206,21346
3,4000,augmentation,4000,36064,7626,28438
3,4000,dual,2000,33947,8027,25920
4,100,deletion,100,1184,450,734
4,100,augmentation,100,1347,503,844
4,100,dual,50,1256,464,792
4,500,deletion,500,4763,1550,3213
4,500,augmentation,500,5772,1754,4018
4,500,dual,250,5371,1703,3668
4,1000,deletion,1000,8661,2592,6069
4,1000,augmentation,1000,10768,2979,7789
4,1000,dual,500,10054,2936,7118
4,2000,deletion,2000,15793,4339,11454
4,2000,augmentation,2000,19763,4809,14954
4,2000,dual,1000,18604,4949,13655
4,4000,deletion,4000,28489,7221,21268
4,4000,augmentation,4000,36114,7678,28436
4,4000,dual,2000,34100,8099,26001
5,100,deletion,100,1209,491,718
5,100,augmentation,100,1379,511,868
5,100,dual,50,1375,563,812
5,500,deletion,500,4744,1589,3155
5,500,augmentation,500,5893,1819,4074
5,500,dual,250,5513,1801,3712
5,1000,deletion,1000,8584,2634,5950
5,1000,augmentation,1000,10601,2857,7744
5,1000,dual,500,10185,3060,7125
5,2000,deletion,2000,15617,4375,11242
5,2000,augmentation,2000,19647,4708,14939
5,2000,dual,1000,18399,4900,13499
5,4000,deletion,4000,28666,7297,21369
5,4000,augmentation,4000,35991,7629,28362
5,4000,dual,2000,33840,8051,25789
6,100,deletion,100,1134,462,672
6,100,augmentation,100,1335,490,845
6,100,dual,50,1301,513,788
6,500,deletion,500,4828,1621,3207
6,500,augmentation,500,5825,1726,4099
6,500,dual,250,5452,1735,3717
6,1000,deletion,1000,8696,2644,6052
6,1000,augmentation,1000,10719,2891,7828
6,1000,dual,500,10204,3000,7204
