budget_calls,strategy,documents,sampling_seeds,unique_candidates,unique_candidates_p025,unique_candidates_p975,declarations,declarations_p025,declarations_p975,constraint_candidates,constraint_candidates_p025,constraint_candidates_p975
100,deletion,100,30,1169.7333333333333,1121.95,1219.475,468.0,441.225,500.825,701.7333333333333,671.175,738.4
100,augmentation,100,30,1358.2333333333333,1313.95,1427.65,501.3,475.075,541.275,856.9333333333333,824.625,886.375
100,dual,50,30,1306.8333333333333,1261.075,1367.025,511.96666666666664,467.625,549.225,794.8666666666667,759.25,826.925
500,deletion,500,30,4765.0,4663.1,4897.8,1575.9,1505.7,1675.85,3189.1,3113.025,3279.225
500,augmentation,500,30,5777.833333333333,5627.575,5900.15,1746.4,1653.3,1819.275,4031.4333333333334,3953.025,4103.025
500,dual,250,30,5476.766666666666,5394.925,5603.375,1773.0666666666666,1698.875,1859.475,3703.7,3642.7,3759.85
1000,deletion,1000,30,8678.066666666668,8533.025,8822.375,2634.233333333333,2575.0,2729.025,6043.833333333333,5913.875,6136.875
1000,augmentation,1000,30,10673.433333333332,10487.725,10809.4,2886.8333333333335,2789.15,2966.675,7786.6,7687.475,7880.4
1000,dual,500,30,10095.366666666667,9928.5,10231.9,2969.633333333333,2858.775,3069.15,7125.733333333334,7020.65,7210.875
2000,deletion,2000,30,15769.866666666667,15562.35,15908.325,4400.0,4245.475,4499.474999999999,11369.866666666667,11255.775,11460.6
2000,augmentation,2000,30,19661.3,19430.625,19794.025,4730.0,4637.775,4810.925,14931.3,14784.05,15035.325
2000,dual,1000,30,18547.7,18248.65,18714.775,4913.766666666666,4807.6,5021.2,13633.933333333332,13424.55,13763.975
4000,deletion,4000,30,28547.133333333335,28411.95,28689.775,7248.533333333334,7181.75,7332.25,21298.6,21201.925,21390.05
4000,augmentation,4000,30,36033.96666666667,35910.225,36128.7,7627.1,7558.2,7678.0,28406.866666666665,28328.45,28500.25
4000,dual,2000,30,33982.5,33675.675,34207.025,8081.466666666666,7937.825,8191.625,25901.033333333333,25742.5,26057.65
