left,right,metric,difference,ci_low,ci_high,two_sided_p,p_holm
Double DQN,acquire_then_deficit,final_joint,-0.001256020154271742,-0.0020057387224265174,-0.0005971092624322738,0.0078125,0.046875
Double DQN,acquire_then_deficit,auc18,-0.0048932934682521245,-0.00591369091518349,-0.0038370264957231378,0.001953125,0.01953125
Double DQN,no_graph_features,final_joint,0.003155942899840225,-0.0004648302282606154,0.008051433297140304,0.24609375,0.73828125
Double DQN,no_graph_features,auc18,0.004974571906378167,0.0005236280709505389,0.012272092741671898,0.03515625,0.140625
Double DQN,no_rule_features,final_joint,0.009456751181142354,0.005258180641054309,0.014474782237878419,0.00390625,0.03125
Double DQN,no_rule_features,auc18,0.006168643468135659,0.003148652473270402,0.009627491086434615,0.00390625,0.03125
Double DQN,no_mask,final_joint,0.024707369971445247,0.008698794969490557,0.045597982473031845,0.001953125,0.01953125
Double DQN,no_mask,auc18,0.017625787916306146,0.004079922244035619,0.035165519167302206,0.015625,0.078125
Double DQN,no_call_penalty,final_joint,0.0016331387417657162,-0.0004802225530147405,0.004547854832240524,0.2890625,0.73828125
Double DQN,no_call_penalty,auc18,0.004179384967781563,-0.0016789191417375057,0.010776224630747875,0.259765625,0.73828125
