policy,n,final_joint,final_joint_std,auc18,auc18_std,q_graph,q_graph_std,q_rule,q_rule_std,steps,steps_std,invalid_actions,invalid_actions_std,accounted_calls,accounted_calls_std,actual_api_calls,actual_api_calls_std,graph_edits,graph_edits_std,rule_edits,rule_edits_std,environment_probes,environment_probes_std,wall_seconds,wall_seconds_std
random_valid,10,0.9642121436184331,0.006529668879732672,0.9253582033527818,0.015236434804504245,0.9864381724596024,0.0076643877017658285,0.9086470715155095,0.014532485000890554,18.0,0.0,0.0,0.0,10.2,1.5491933384829668,0.0,0.0,184.5,43.24413897345576,10.4,2.2705848487901865,0.0,0.0,0.24617315614596008,0.018969153255919295
alternating_valid,10,0.9676769572627414,0.0007232110144036707,0.9291797750449401,0.0019764027363098303,0.9924400478601454,0.0010124954201651663,0.9057692307692309,0.0,18.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,208.0,22.622506001276204,12.0,0.0,0.0,0.0,0.25861308835446833,0.03966160551001685
rule_first_valid,10,0.9747223284767896,0.00044468679775682904,0.9364802536960684,0.002398723585718188,0.9956844305992127,0.00062256151685959,0.9223170731707316,1.1702778228589004e-16,18.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,223.7,24.797177258712335,9.0,0.0,0.0,0.0,0.2547251547686756,0.03462480608885965
acquire_then_deficit,10,0.9824786634486298,0.00013718695760924616,0.9579721549145989,0.001401383983992186,0.9991253012418746,0.00019206174065293703,0.9408620689655172,0.0,17.8,0.4216370213557839,0.0,0.0,4.0,0.0,0.0,0.0,238.4,26.57985870709039,4.0,0.0,0.0,0.0,0.2394471762701869,0.028646596926184882
DQN,10,0.9812956445087941,0.0016898484987229634,0.9531766002752707,0.004179271770978876,0.9974690747261048,0.0023657878982121586,0.9408620689655172,0.0,17.9,0.31622776601683794,0.0,0.0,4.1,0.31622776601683794,0.0,0.0,229.8,19.441079073846584,4.0,0.0,0.0,0.0,0.24038850208744406,0.01229211300807605
Double DQN,10,0.9812226432943578,0.001250756693949746,0.9530788614463468,0.0020879142240572625,0.9973668730258943,0.001751059371529591,0.9408620689655172,0.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,230.9,24.3285383403479,4.0,0.0,0.0,0.0,0.26695013586431743,0.019710071393186
model_informed_lookahead,10,0.982465631318797,0.00011020859485766486,0.9579981741396437,0.0013920558730230784,0.999107056260109,0.00015429203280075307,0.9408620689655172,0.0,17.7,0.48304589153964794,0.0,0.0,4.0,0.0,0.0,0.0,238.2,26.931188033372923,4.0,0.0,116.9,3.2812599206199233,3.0948714757338167,0.1352653114105747
no_graph_features,10,0.9780667003945176,0.007454881398293607,0.9481042895399685,0.010742493137492468,0.9929485529661178,0.010436833957611052,0.9408620689655172,0.0,18.0,0.0,0.0,0.0,4.3,0.9486832980505138,0.0,0.0,210.3,41.617437584636455,4.6,1.8973665961010275,0.0,0.0,0.2569117938168347,0.018585197617025536
no_rule_features,10,0.9717658921132155,0.008564271928144674,0.9469102179782112,0.004963702991248001,0.9862818813323975,0.010199778572167983,0.9354759190652606,0.006953489621289938,18.0,0.0,0.0,0.0,8.0,3.39934634239519,0.0,0.0,179.2,46.620929968321214,9.2,4.871686908385363,0.0,0.0,0.24852169044315814,0.015718409825841058
no_mask,10,0.9565152733229129,0.031953429252196415,0.9354530735300408,0.027074697340953333,0.977017861008644,0.0172185131635726,0.9052588041085838,0.07505827272409195,18.0,0.0,7.8,3.2930904093942583,6.1,4.581363212940979,0.0,0.0,137.0,72.59476565152615,4.0,0.0,0.0,0.0,0.27419082149863244,0.04455153798857269
no_call_penalty,10,0.9795895045525924,0.004298657430341133,0.9488994764785653,0.00922761258976246,0.9950804787874221,0.006018120402477579,0.9408620689655172,0.0,18.0,0.0,0.0,0.0,5.0,1.9436506316151,0.0,0.0,220.4,27.362585972658195,4.8,1.9321835661585918,0.0,0.0,0.24971169540658594,0.024085797990216214
