start_id,end_id,relation_type,source,triple_hash
11,9,权力类型,extraction,2c1c88acab62420824c092d4fa6632ca9b0bfffd2d1ca0586870856ec5f1ae16
11,9,权力类型,extraction,2c1c88acab62420824c092d4fa6632ca9b0bfffd2d1ca0586870856ec5f1ae16
11,9,权力类型,extraction,2c1c88acab62420824c092d4fa6632ca9b0bfffd2d1ca0586870856ec5f1ae16
3,11,是,extraction,50e282008fdda86810f048e213c9dbd0e2f5df0a5efb5176f11c1f5844f7c83a
1,9,包括,extraction,faf0ce8191eacfaa2463c2b297349347b524dc6e45d27869dd8175629020d62c
3,11,是,extraction,50e282008fdda86810f048e213c9dbd0e2f5df0a5efb5176f11c1f5844f7c83a
11,9,权力类型,extraction,2c1c88acab62420824c092d4fa6632ca9b0bfffd2d1ca0586870856ec5f1ae16
1,9,包括,extraction,faf0ce8191eacfaa2463c2b297349347b524dc6e45d27869dd8175629020d62c
3,11,是,extraction,50e282008fdda86810f048e213c9dbd0e2f5df0a5efb5176f11c1f5844f7c83a
3,11,是,extraction,50e282008fdda86810f048e213c9dbd0e2f5df0a5efb5176f11c1f5844f7c83a
5,36,是,extraction,c71360788330970e9271c94692c552bea317a6f243c833496857e49d68ae2bdc
18,36,是,extraction,763917cc0d41b529306a915c2eca7b390f263ce8daa97f08f8d707a9c88ef22a
11,9,权力类型,extraction,2c1c88acab62420824c092d4fa6632ca9b0bfffd2d1ca0586870856ec5f1ae16
3,4,是,extraction,d08580506622eb3b009abbcab184c7d6527dc171bbca042f5d2132b53eb48841
1,9,包括,extraction,faf0ce8191eacfaa2463c2b297349347b524dc6e45d27869dd8175629020d62c
3,11,是,extraction,50e282008fdda86810f048e213c9dbd0e2f5df0a5efb5176f11c1f5844f7c83a
5,30,是,extraction,b8c42a73848d151fb19153682dd14995902d02478bbe012a2ed29acf2c22965a
18,30,是,extraction,390da1d934e648f99cce08ddf4d9970fc48fb9c0e84d7950994252ba39eda2b2
7,19,是,extraction,2a88a034ef5cece9cf9929570f46e66e84f0658e91d26787747fdf65ecaa61b4
3,11,是,extraction,50e282008fdda86810f048e213c9dbd0e2f5df0a5efb5176f11c1f5844f7c83a
1,9,包括,extraction,faf0ce8191eacfaa2463c2b297349347b524dc6e45d27869dd8175629020d62c
3,11,是,extraction,50e282008fdda86810f048e213c9dbd0e2f5df0a5efb5176f11c1f5844f7c83a
5,31,是,extraction,2c6f3bdafc98d932c7f7050f5f175af5a4b04100d90ab9f36f240058f058592e
1,9,包括,extraction,faf0ce8191eacfaa2463c2b297349347b524dc6e45d27869dd8175629020d62c
9,53,包含,extraction,c3df9c6008bf2baf1f7b6f9541d81fe04121870eeb2c55ed4cc1cca75da24144
3,11,是,extraction,50e282008fdda86810f048e213c9dbd0e2f5df0a5efb5176f11c1f5844f7c83a
