| id | domain | triple | annotator1_score | annotator2_score | annotator3_score |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | 环境 | 行驶主体 --[是]-> 自然资源局 | | | **0.8** |
| 2 | 政务 | 行驶主体 --[是]-> 西安市市场监督管理局 | | | **0.8** |
| 3 | 环境 | 环境执法处罚 --[类型]-> 行政处罚 | | | **0.6** |
| 4 | 环境 | 环境执法处罚 --[涉及]-> 固体废物乱堆乱放 | | | **1.0** |
| 5 | 环境 | 水利局 --[承办机构]-> 环境执法处罚 | | | **0.4** |
| 6 | 环境 | 应急管理局 --[承办机构]-> 环境执法处罚 | | | **0.4** |
| 7 | 金融 | 《证券投资基金法》 --[实施依据]-> 行政处罚 | | | **0.8** |
| 8 | 政务 | 服务事项 --[涉及]-> 行政强制 | | | **0.6** |
| 9 | 环境 | 实施依据 --[是]-> 《排污许可管理条例》 | | | **1.0** |
| 10 | 环境 | 环境执法处罚 --[服务事项]-> 辐射安全管理不规范 | | | **0.4** |
| 11 | 政务 | 没收违法生产、销售的产品 --[处罚措施]-> 伪造产品产地的 | | | **0.2** |
| 12 | 金融 | 外汇管理局 --[承办机构]-> 行政处罚 | | | **0.8** |
| 13 | 环境 | 自然资源局 --[行驶主体]-> 固体废物乱堆乱放 | | | **0.2** |
| 14 | 金融 | 服务事项 --[是]-> 金融监管处罚 | | | **0.6** |
| 15 | 金融 | 市地方金融监管局 --[承办机构]-> 金融监管处罚 | | | **1.0** |
| 16 | 金融 | 权力类型 --[是]-> 行政处罚 | | | **1.0** |
| 17 | 金融 | 证监会某监管局 --[行使主体]-> 金融监管处罚 | | | **1.0** |
| 18 | 环境 | 县生态环境局 --[执行]-> 承办机构 | | | **0.2** |
| 19 | 政务 | 行驶主体 --[是]-> 某村委会 | | | **0.4** |
| 20 | 政务 | 市应急管理综合执法支队 --[类型]-> 执法机构 | | | **1.0** |
| 21 | 金融 | 行驶主体 --[是]-> 中国人民银行某分行 | | | **0.8** |
| 22 | 金融 | 行驶主体 --[是]-> 银保监会某监管局 | | | **0.8** |
| 23 | 环境 | 服务事项 --[包括]-> "未验先投违法生产" | | | **0.4** |
| 24 | 金融 | 权力类型 --[类型]-> 行政处罚 | | | **0.6** |
| 25 | 政务 | 违反本办法第四条规定开办旅馆 --[公安机关]-> 应当协助工商行政管理部门依法处理 | | | **0.2** |
| 26 | 环境 | 市生态环境局 --[实施依据]-> 《畜禽规模养殖污染防治条例》 | | | **0.2** |
| 27 | 金融 | 外汇管理局 --[行驶主体]-> 金融监管处罚 | | | **0.8** |
| 28 | 环境 | 《中华人民共和国土壤污染防治法》 --[作为]-> 环境执法处罚的依据 | | | **1.0** |
| 29 | 环境 | 水利局 --[承办机构]-> 环境执法处罚 | | | **0.4** |
| 30 | 环境 | 环境执法处罚 --[涉及问题]-> "环境应急预案未备案" | | | **1.0** |
| 31 | 环境 | 水利局 --[承办机构]-> 环境执法处罚 | | | **0.4** |
| 32 | 政务 | 西安市市场监督管理局 --[行使权力]-> 行政处罚 | | | **1.0** |
| 33 | 环境 | 承办机构 --[是]-> 镇环保所 | | | **0.8** |
| 34 | 环境 | 实施依据 --[来自]-> 《危险废物经营许可证管理办法》 | | | **1.0** |
| 35 | 金融 | 权力类型 --[等同于]-> 行政处罚 | | | **0.6** |
| 36 | 金融 | 行政处罚 --[实施依据]-> 《中华人民共和国反洗钱法》 | | | **0.2** |
| 37 | 环境 | 行政处罚 --[权力类型]-> 环境执法处罚 | | | **0.2** |
| 38 | 环境 | 环境执法处罚 --[类型]-> 行政处罚 | | | **0.6** |
| 39 | 政务 | 承办机构 --[是]-> 县（区）生态环境保护综合执法大队 | | | **1.0** |
| 40 | 环境 | 建设项目未批先建 --[是]-> 环境执法处罚的对象 | | | **0.8** |
| 41 | 政务 | 安装、拆卸人员名单 --[报]-> 监理单位 | | | **1.0** |
| 42 | 金融 | 证监会某监管局 --[行驶主体]-> 金融监管处罚 | | | **0.8** |
| 43 | 环境 | 实施依据 --[依据]-> 中华人民共和国水污染防治法 | | | **0.6** |
| 44 | 环境 | 相关文件 --[是]-> 《已废止的某某规定》 | | | **0.6** |
| 45 | 金融 | 外汇管理局 --[类型]-> 行政机关 | | | **1.0** |
| 46 | 政务 | 文物收藏单位 --[备案给]-> 主管的文物行政部门 | | | **1.0** |
| 47 | 政务 | 实施依据 --[来源于]-> 第七十六条第一项 | | | **0.6** |
| 48 | 金融 | 金融监管处罚 --[涉及事项]-> 资金池业务违规 | | | **1.0** |
| 49 | 金融 | 承办机构 --[是]-> 证监会 | | | **1.0** |
| 50 | 金融 | 实施依据 --[是]-> 《小额贷款公司监督管理条例》 | | | **1.0** |
| 51 | 环境 | 行驶主体 --[是]-> "自然资源局" | | | **0.8** |
| 52 | 金融 | 金融监管处罚 --[涉及领域]-> 征信业务违规 | | | **1.0** |
| 53 | 政务 | 生产者 --[违反]-> 规定 | | | **0.8** |
| 54 | 政务 | 实施依据 --[包括]-> 《中华人民共和国安全生产法》 | | | **1.0** |
| 55 | 金融 | 行政处罚 --[权力类型]-> 金融监管处罚 | | | **0.2** |
| 56 | 金融 | 权力类型 --[是]-> 行政处罚 | | | **1.0** |
| 57 | 金融 | 银保监会 --[依据]-> 《银行业金融机构反洗钱和反恐怖主义融资管理办法》 | | | **0.6** |
| 58 | 政务 | 服务事项 --[类型]-> 行政处罚事项 | | | **0.6** |
| 59 | 环境 | 实施依据 --[是]-> 《中华人民共和国固体废物污染环境防治法》 | | | **1.0** |
| 60 | 政务 | 《中华人民共和国药品管理法》 --[规定]-> 医疗机构将其配制的制剂在市场上销售的处罚 | | | **1.0** |
| 61 | 环境 | 生态环境综合执法支队 --[类型]-> 机构 | | | **1.0** |
| 62 | 金融 | 金融监管处罚 --[针对]-> 同业业务违规 | | | **1.0** |
| 63 | 环境 | 实施依据 --[是]-> VOCs治理设施未正常运行的法律基础 | | | **0.6** |
| 64 | 政务 | 重点用能工业企业 --[类型]-> 企业 | | | **1.0** |
| 65 | 环境 | 权力类型 --[是]-> 行政处罚 | | | **1.0** |
| 66 | 金融 | 金融监管处罚 --[依据]-> 《信托公司管理办法》 | | | **1.0** |
| 67 | 金融 | 承办机构 --[是]-> 证监会 | | | **1.0** |
| 68 | 金融 | 实施依据 --[是]-> 《中华人民共和国证券法》 | | | **1.0** |
| 69 | 政务 | 娱乐场所 --[未按照本条例规定建立从业人员名簿]-> 给予警告 | | | **0.4** |
| 70 | 金融 | 权力类型 --[是]-> 行政处罚 | | | **1.0** |
| 71 | 政务 | 西安市卫生健康委员会 --[包含]-> 医政医管处 | | | **1.0** |
| 72 | 政务 | 西安市市场监督管理局 --[实施依据]-> 《规范促销行为暂行规定》 | | | **0.2** |
| 73 | 环境 | 林业局 --[行驶主体]-> 环境执法处罚 | | | **0.6** |
| 74 | 政务 | 西安市卫生健康委员会 --[权力类型]-> 行政检查 | | | **0.2** |
| 75 | 环境 | 承办机构 --[是]-> 省生态环境厅 | | | **0.8** |
| 76 | 金融 | 金融监管处罚 --[涉及问题]-> 准备金提取不足 | | | **1.0** |
| 77 | 金融 | 金融监管处罚 --[服务事项]-> 欺诈发行 | | | **0.4** |
| 78 | 环境 | 畜禽粪污直排入河 --[涉及事项]-> 环境执法处罚 | | | **0.6** |
| 79 | 金融 | 金融监管处罚 --[涉及事项]-> 资金池业务违规 | | | **1.0** |
| 80 | 政务 | "买卖或者伪造、变造《报废汽车回收证明} --[关系]-> 属报废汽车回收企业,情节严重的,由原审批发证部门分别吊销《资格认定书》、《特种行业许可证》、营业执照" | | | **0.0** |
| 81 | 金融 | 行政处罚 --[实施依据]-> 《关于规范民间借贷行为的通知》 | | | **0.2** |
| 82 | 金融 | 行驶主体 --[是]-> 中国人民银行 | | | **0.8** |
| 83 | 金融 | 行政处罚 --[权力类型]-> 金融监管处罚 | | | **0.2** |
| 84 | 金融 | 资金池业务违规 --[类型]-> 违规行为 | | | **1.0** |
| 85 | 政务 | 出租、转让频率、频段，擅自变更广播电视发射台、转播台技术参数 --[违反]-> 《广播电视管理条例》 | | | **1.0** |
| 86 | 政务 | 城市管理部门 --[督促]-> 改正 | | | **0.6** |
| 87 | 政务 | 五千元以上一万元以下罚款 --[没收]-> 违法所得 | | | **0.4** |
| 88 | 金融 | 《银行业金融机构反洗钱和反恐怖主义融资管理办法》 --[实施依据]-> 行政处罚 | | | **0.8** |
| 89 | 金融 | 承办机构 --[是]-> 省地方金融监管局 | | | **1.0** |
| 90 | 环境 | 行政处罚 --[权力类型]-> 环境执法处罚 | | | **0.2** |
| 91 | 金融 | 金融监管处罚 --[依据]-> 《期货交易管理条例》 | | | **1.0** |
| 92 | 政务 | 《建设工程质量管理条例》 --[发布]-> 国务院令第279号 | | | **0.8** |
| 93 | 金融 | 行政处罚 --[针对]-> 挪用客户资金 | | | **1.0** |
| 94 | 环境 | 环境执法处罚 --[实施依据]-> 《中华人民共和国水污染防治法》 | | | **0.2** |
| 95 | 政务 | 西安市交通运输局 --[行使]-> 公路超限运输许可 | | | **1.0** |
| 96 | 环境 | "承办机构 --[是]-> VOCs治理设施未正常运行的,主体" | | | **0.2** |
| 97 | 政务 | 环境卫生管理处 --[类型]-> 部门 | | | **1.0** |
| 98 | 环境 | 环境执法处罚 --[服务事项]-> 固体废物乱堆乱放 | | | **0.4** |
| 99 | 政务 | 实施依据 --[来源]-> 国家旅游局令第30号发布2016年12月国家旅游局令第42号第二次修改 | | | **0.6** |
| 100 | 政务 | 用人单位 --[违反]-> 《人才市场管理规定》 | | | **1.0** |
| 101 | 政务 | 旅行社 --[类型]-> 旅行社 | | | **0.0** |
| 102 | 政务 | 擅自转移、使用、销毁、销售被查封或者扣押的兽药及有关材料 --[违法行为]-> 行政处罚 | | | **0.2** |
| 103 | 政务 | 承办机构 --[是]-> 管理部 | | | **0.6** |
| 104 | 金融 | 实施依据 --[是]-> 《中华人民共和国商业银行法》 | | | **1.0** |
| 105 | 金融 | 金融监管处罚 --[涉及事项]-> 操纵市场价格 | | | **1.0** |
| 106 | 政务 | 各业务部门 --[是]-> 承办机构 | | | **0.6** |
| 107 | 金融 | 省地方金融监管局 --[负责]-> 行政处罚 | | | **0.8** |
| 108 | 环境 | 行驶主体 --[是]-> 环境监测站 | | | **0.4** |
| 109 | 政务 | 船舶、浮动设施 --[未持有]-> 登记证书 | | | **1.0** |
| 110 | 政务 | 西安市人力资源和社会保障局 --[行使主体]-> 行政处罚 | | | **0.2** |
| 111 | 政务 | 中华人民共和国安全生产法 --[依据]-> 全国人大常委会 | | | **0.2** |
| 112 | 政务 | 违反本条例规定 --[行为之一]-> 在城市广场 | | | **0.4** |
| 113 | 环境 | 环境执法处罚 --[由]-> 水利局 | | | **0.4** |
| 114 | 环境 | 应急管理局 --[行驶主体]-> 环境执法处罚 | | | **0.4** |
| 115 | 政务 | 颁发测绘资质证书的部门 --[决定]-> 降低测绘资质等级 | | | **1.0** |
| 116 | 政务 | 未取得药品生产许可证 --[导致]-> 行政责骂 | | | **0.0** |
| 117 | 政务 | 工商行政管理机关 --[处罚]-> 暂停发布医疗广告 | | | **1.0** |
| 118 | 环境 | 权力类型 --[是]-> 行政处罚 | | | **1.0** |
| 119 | 政务 | 西安市卫生健康委员会 --[行使主体]-> 服务事项 | | | **0.2** |
| 120 | 政务 | 赌博 --[类型]-> 法律或法规 | | | **0.0** |
| 121 | 金融 | 承办机构 --[是]-> 省地方金融监管局 | | | **1.0** |
| 122 | 环境 | 环境执法处罚 --[针对]-> 偷排偷放污染物 | | | **1.0** |
| 123 | 金融 | 银保监会某监管局 --[承办机构]-> 金融监管处罚 | | | **1.0** |
| 124 | 金融 | 虚假陈述 --[类型]-> 违法行为 | | | **1.0** |
| 125 | 政务 | 承办机构 --[是]-> 综合执法支队 | | | **0.8** |
