[government Exp2] sampling 30 / 1389 triples
  [OK] qwen=1.00 gemma=1.0 | 工会组织 --[依法维护]-> 职工的年休假权利
  [OK] qwen=1.00 gemma=1.0 | 《陕西省道路运输管理条例》 --[规定]-> 客运班车应当张贴票价表
  [OK] qwen=0.80 gemma=0.4 | 西安市卫生健康委员会 --[行使主体]-> 服务事项
  [OK] qwen=1.00 gemma=0.4 | 城市管理部门 --[督促]-> 改正
  [OK] qwen=1.00 gemma=1.0 | 中华人民共和国水土保持法 --[实施依据]-> 水土保持设施验收备案
  [OK] qwen=0.80 gemma=0.0 | 生产者 --[违反]-> 规定
  [OK] qwen=1.00 gemma=0.6 | 《中华人民共和国道路交通安全法》 --[规定]-> 公安机关交通管理部门
  [OK] qwen=1.00 gemma=1.0 | 西安市卫生健康委员会 --[权力类型]-> 行政检查
  [OK] qwen=0.60 gemma=0.4 | 买卖或者伪造、变造《报废汽车回收证明} --[关系]-> 属报废汽车回收企业,情
  [OK] qwen=0.80 gemma=0.4 | 各业务部门 --[是]-> 承办机构
  [OK] qwen=0.40 gemma=0.8 | 西安市交通运输综合执法支队 --[承办机构]-> 行政处罚
  [OK] qwen=0.80 gemma=0.0 | 承办机构 --[是]-> 县（区）生态环境保护综合执法大队
  [OK] qwen=0.80 gemma=0.4 | 船舶、浮动设施 --[未持有]-> 登记证书
  [OK] qwen=1.00 gemma=0.4 | 违反本办法第四条规定开办旅馆 --[公安机关]-> 应当协助工商行政管理部门依法
  [OK] qwen=0.60 gemma=0.0 | 承办机构 --[是]-> 管理部
  [OK] qwen=1.00 gemma=0.4 | 用人单位 --[违反]-> 《人才市场管理规定》
  [OK] qwen=0.80 gemma=1.0 | 西安市人力资源和社会保障局 --[行使主体]-> 行政处罚
  [OK] qwen=0.80 gemma=1.0 | 实施依据 --[包括]-> 《中华人民共和国安全生产法》
  [OK] qwen=0.40 gemma=0.2 | 未取得药品生产许可证 --[导致]-> 行政责骂
  [OK] qwen=1.00 gemma=1.0 | 经营性人力资源服务机构 --[备案内容]-> 人力资源供求信息的收集和发布
  [OK] qwen=1.00 gemma=0.4 | 擅自转移、使用、销毁、销售被查封或者扣押的兽药及有关材料 --[违法行为]-> 
  [OK] qwen=1.00 gemma=0.2 | 颁发测绘资质证书的部门 --[决定]-> 降低测绘资质等级
  [OK] qwen=0.40 gemma=0.4 | 没收违法生产、销售的产品 --[处罚措施]-> 伪造产品产地的
  [OK] qwen=0.80 gemma=0.2 | 承办机构 --[是]-> 燃气热力管理处
  [OK] qwen=1.00 gemma=0.6 | 西安市市场监督管理局 --[行使权力]-> 行政处罚
  [OK] qwen=0.80 gemma=0.8 | 服务事项 --[涉及]-> 施工单位
  [OK] qwen=0.60 gemma=0.4 | 娱乐场所 --[未按照本条例规定建立从业人员名簿]-> 给予警告
  [OK] qwen=1.00 gemma=0.2 | 安装、拆卸人员名单 --[报]-> 监理单位
  [OK] qwen=0.80 gemma=0.4 | 实施依据 --[来源于]-> 第七十六条第一项
  [OK] qwen=1.00 gemma=0.2 | 出租、转让频率、频段，擅自变更广播电视发射台、转播台技术参数 --[违反]-> 
[government Exp3] sampling 30 / 2520 triples
  [OK] qwen=1.00 gemma=1.0 | 西安市人力资源和社会保障局 --[管理]-> 劳动保障监察执法处
  [OK] qwen=0.20 gemma=0.2 | 赌博 --[类型]-> 法律或法规
  [OK] qwen=0.60 gemma=0.4 | 服务事项 --[涉及]-> 行政强制
  [OK] qwen=0.80 gemma=0.4 | 医政医管处 --[承办机构]-> 行政处罚
  [OK] qwen=1.00 gemma=0.4 | 综合监督处 --[承办机构]-> 服务事项
  [OK] qwen=0.40 gemma=0.2 | 服务事项 --[包括]-> 对医疗机构及有医疗卫生人员执业证书的人员未取得药品批
  [OK] qwen=0.20 gemma=0.0 | 行驶主体 --[是]-> 西安市市场监督管理局
  [OK] qwen=1.00 gemma=1.0 | 文物收藏单位 --[备案给]-> 主管的文物行政部门
  [OK] qwen=1.00 gemma=0.8 | 《中华人民共和国药品管理法》 --[修订时间]-> 2019年
  [OK] qwen=0.40 gemma=0.2 | 五千元以上一万元以下罚款 --[没收]-> 违法所得
  [OK] qwen=1.00 gemma=1.0 | 重点用能工业企业 --[类型]-> 企业
  [OK] qwen=0.80 gemma=1.0 | 西安市卫生健康委员会 --[包含]-> 医政医管处
  [OK] qwen=0.60 gemma=0.8 | 市农业综合执法支队 --[承办机构]-> 服务事项
  [OK] qwen=0.80 gemma=1.0 | 西安市交通运输局 --[行使]-> 公路超限运输许可
  [OK] qwen=0.40 gemma=0.2 | 施工 --[参与]-> 服务事项
  [OK] qwen=0.80 gemma=1.0 | 市应急管理综合执法支队 --[类型]-> 执法机构
  [OK] qwen=1.00 gemma=1.0 | 《中华人民共和国药品管理法》 --[规定]-> 医疗机构将其配制的制剂在市场上销
  [OK] qwen=0.40 gemma=0.2 | 中华人民共和国安全生产法 --[依据]-> 全国人大常委会
  [OK] qwen=1.00 gemma=1.0 | 环境卫生管理处 --[类型]-> 部门
  [OK] qwen=0.40 gemma=0.4 | 服务事项 --[类型]-> 行政处罚事项
  [OK] qwen=1.00 gemma=0.4 | 工商行政管理机关 --[处罚]-> 暂停发布医疗广告
  [OK] qwen=0.40 gemma=0.0 | 行驶主体 --[是]-> 某村委会
  [OK] qwen=1.00 gemma=1.0 | 西安市市场监督管理局 --[实施依据]-> 《规范促销行为暂行规定》
  [OK] qwen=0.40 gemma=0.0 | 旅行社 --[类型]-> 旅行社
  [OK] qwen=0.40 gemma=0.0 | 《建设工程质量管理条例》 --[发布]-> 国务院令第279号
  [OK] qwen=0.60 gemma=0.4 | 有下列行为之一 --[类型]-> 行为
  [OK] qwen=1.00 gemma=1.0 | 实施依据 --[来自]-> 《国务院关于第六批取消和调整行政审批项目的决定》
  [OK] qwen=0.40 gemma=0.4 | 承办机构 --[是]-> 综合执法支队
  [OK] qwen=0.40 gemma=0.2 | 违反本条例规定 --[行为之一]-> 在城市广场
  [OK] qwen=0.60 gemma=0.4 | 实施依据 --[来源]-> 国家旅游局令第30号发布2016年12月国家旅游局令
[finance Exp2] sampling 30 / 226 triples
  [OK] qwen=1.00 gemma=0.2 | 行政处罚 --[权力类型]-> 金融监管处罚
  [OK] qwen=1.00 gemma=0.6 | 金融监管处罚 --[涉及事项]-> 同业业务违规
  [OK] qwen=0.20 gemma=0.0 | 承办机构 --[是]-> 证监会
  [OK] qwen=1.00 gemma=1.0 | 金融监管处罚 --[涉及事项]-> 资金池业务违规
  [OK] qwen=0.80 gemma=1.0 | 实施依据 --[是]-> 《中华人民共和国证券法》
  [OK] qwen=0.40 gemma=1.0 | 实施依据 --[是]-> 《小额贷款公司监督管理条例》
  [OK] qwen=0.20 gemma=0.0 | 行驶主体 --[是]-> 银保监会某监管局
  [OK] qwen=0.40 gemma=0.0 | 承办机构 --[是]-> 中国人民银行
  [OK] qwen=0.40 gemma=0.4 | 中国人民银行某分行 --[承办机构]-> 金融监管处罚
  [OK] qwen=0.80 gemma=1.0 | 实施依据 --[是]-> 《信托公司管理办法》
  [OK] qwen=0.20 gemma=0.0 | 金融监管处罚 --[服务事项]-> 欺诈发行
  [OK] qwen=1.00 gemma=1.0 | 金融监管处罚 --[实施依据]-> 《中华人民共和国保险法》
  [OK] qwen=1.00 gemma=1.0 | 行政处罚 --[执行主体]-> 中国人民银行某分行
  [OK] qwen=0.80 gemma=0.8 | 银保监会某监管局 --[承办机构]-> 金融监管处罚
  [OK] qwen=0.20 gemma=0.0 | 行驶主体 --[是]-> 中国人民银行某分行
  [OK] qwen=0.20 gemma=0.0 | 承办机构 --[是]-> 中国人民银行
  [OK] qwen=1.00 gemma=1.0 | 金融监管处罚 --[涉及事项]-> 操纵市场价格
  [OK] qwen=0.20 gemma=0.0 | 承办机构 --[是]-> 省地方金融监管局
  [OK] qwen=1.00 gemma=1.0 | 行政处罚 --[实施依据]-> 《中华人民共和国反洗钱法》
  [OK] qwen=0.00 gemma=0.0 | 行驶主体 --[是]-> 中国人民银行
  [OK] qwen=0.40 gemma=0.4 | 权力类型 --[是]-> 行政处罚
  [OK] qwen=0.00 gemma=0.2 | 承办机构 --[是]-> 省地方金融监管局
  [OK] qwen=0.20 gemma=0.0 | 承办机构 --[是]-> 证监会
  [OK] qwen=1.00 gemma=1.0 | 实施依据 --[是]-> 《期货交易管理条例》
  [OK] qwen=0.80 gemma=0.4 | 行政处罚 --[实施依据]-> 《关于规范民间借贷行为的通知》
  [OK] qwen=0.80 gemma=0.4 | 市地方金融监管局 --[承办机构]-> 金融监管处罚
  [OK] qwen=0.80 gemma=0.2 | 外汇管理局 --[行驶主体]-> 金融监管处罚
  [OK] qwen=1.00 gemma=0.4 | 金融监管处罚 --[包括]-> 资金池业务违规
  [OK] qwen=0.40 gemma=0.4 | 权力类型 --[是]-> 行政处罚
  [OK] qwen=1.00 gemma=0.4 | 证监会某监管局 --[承办机构]-> 金融监管处罚
[finance Exp3] sampling 30 / 350 triples
  [OK] qwen=1.00 gemma=0.2 | 行政处罚 --[针对]-> 挪用客户资金
  [OK] qwen=1.00 gemma=1.0 | 金融监管处罚 --[涉及事项]-> 资金池业务违规
  [OK] qwen=1.00 gemma=1.0 | 操纵市场价格 --[类型]-> 违法行为
  [OK] qwen=0.20 gemma=0.0 | 行驶主体 --[类型]-> 主体
  [OK] qwen=1.00 gemma=1.0 | 金融监管处罚 --[依据]-> 《期货交易管理条例》
  [OK] qwen=0.80 gemma=0.2 | 证监会某监管局 --[行驶主体]-> 金融监管处罚
  [OK] qwen=1.00 gemma=0.4 | 权力类型 --[类型]-> 行政处罚
  [OK] qwen=0.40 gemma=0.2 | 权力类型 --[等同于]-> 行政处罚
  [OK] qwen=1.00 gemma=0.2 | 金融监管处罚 --[针对]-> 同业业务违规
  [OK] qwen=1.00 gemma=0.4 | 金融监管处罚 --[涉及领域]-> 征信业务违规
  [OK] qwen=0.40 gemma=0.2 | 服务事项 --[是]-> 金融监管处罚
  [OK] qwen=1.00 gemma=1.0 | 虚假陈述 --[类型]-> 违法行为
  [OK] qwen=0.60 gemma=0.2 | 《证券投资基金法》 --[实施依据]-> 行政处罚
  [OK] qwen=0.80 gemma=0.8 | 银保监会某监管局 --[承办机构]-> 行政处罚
  [OK] qwen=0.40 gemma=0.2 | 行政处罚 --[权力类型]-> 金融监管处罚
  [OK] qwen=1.00 gemma=0.4 | 省地方金融监管局 --[负责]-> 行政处罚
  [OK] qwen=1.00 gemma=1.0 | 外汇管理局 --[类型]-> 行政机关
