id,name,node_type
1,市公安局,Enhanced
2,组织机构,Enhanced
3,消防支队,Enhanced
4,大队,Enhanced
5,《中华人民共和国消防法》,Enhanced
6,法律文件,Enhanced
7,损坏、挪用或者擅自拆除、停用消防设施、器材,Enhanced
8,消防设施、器材,Enhanced
9,服务事项,Enhanced
10,市政府工作,Enhanced
11,权力类型,Enhanced
12,行政处罚,Enhanced
13,承办机构,Enhanced
14,市农业综合执法支队,Enhanced
15,实施依据,Enhanced
16,《中华人民共和国农产品质量安全法》,Enhanced
17,2022年9月,Enhanced
18,2006年4月,Enhanced
19,农产品生产经营者,Enhanced
20,农产品质量标志,Enhanced
21,县级以上地方人民政府农业农村主管部门,Enhanced
22,责令改正,Enhanced
23,没收违法所得,Enhanced
24,罚款,Enhanced
25,第七十四条,Enhanced
26,对燃气用具的安装、使用不符合规定的处罚,Enhanced
27,电器产品,Enhanced
28,燃气用具,Enhanced
29,营业性演出广告的内容,Enhanced
30,西安市市场监督管理局,Enhanced
31,已撤销的部门,Enhanced
32,工商行政管理部门,Enhanced
33,营业性演出广告,Enhanced
34,《营业性演出管理条例》,Enhanced
35,法规,Enhanced
36,营业性演出广告的内容误导、欺骗公众或者含有其他违法内容行为的行政处罚,Enhanced
37,行政处罚类型,Enhanced
38,文物保护单位,Enhanced
39,地点,Enhanced
40,西安市文物局,Enhanced
41,机构,Enhanced
42,文物保护与考古处,Enhanced
43,部门,Enhanced
44,中华人民共和国文物保护法,Enhanced
45,法律,Enhanced
46,建设工程,Enhanced
47,项目,Enhanced
48,省,Enhanced
49,行政区划,Enhanced
50,自治区,Enhanced
51,直辖市,Enhanced
52,国务院文物行政部门,Enhanced
53,全国重点文物保护单位,Enhanced
54,国务院,Enhanced
55,政府,Enhanced
56,审批,Enhanced
57,特种设备安全管理人员,Enhanced
58,岗位职责,Enhanced
59,操作规程,Enhanced
60,有关安全规章制度,Enhanced
61,事故,Enhanced
62,检测人员,Enhanced
63,作业人员,Enhanced
64,人员,Enhanced
65,行政处罚权力,Enhanced
66,《中华人民共和国特种设备安全法》第九十二条,Enhanced
67,特种设备安全管理人员、检测人员和作业人员的资格,Enhanced
68,药品零售企业经营许可,Enhanced
69,行政审批处,Enhanced
70,中华人民共和国药品管理法,Enhanced
71,中华人民共和国药品管理法实施条例,Enhanced
72,拟办企业所在地设区的市级药品监督管理机构或者省、自治区、直辖市人民政府药品监督管理部门直接设置的县级药品监督管理机构,Enhanced
73,受理申请的药品监督管理机构,Enhanced
74,原审批机构,Enhanced
75,《药品经营许可证》,Enhanced
76,拟办企业,Enhanced
77,审查,Enhanced
78,药品零售活动,Enhanced
79,行政许可,Enhanced
80,西安市自然资源和规划局,Enhanced
81,西安市自然资源和规划执法监察队,Enhanced
82,未经批准或者采取欺骗手段骗取批准,Enhanced
83,非法占用土地,Enhanced
84,县级以上人民政府自然资源主管部门,Enhanced
85,责令退还非法占用的土地,Enhanced
86,责令限期改正,Enhanced
87,没收在非法占用的土地上新建的建筑物和其他设施,Enhanced
88,可以并处罚款,Enhanced
89,对非法占用土地单位的直接负责的主管人员和其他直接责任人员依法给予处分,Enhanced
90,追究刑事责任,Enhanced
91,违反本条例规定,Enhanced
92,在国土空间规划确定的禁止开垦的范围内从事土地开发活动,Enhanced
93,中华人民共和国土地管理法,Enhanced
94,法律法规,Enhanced
95,中华人民共和国土地管理法实施条例,Enhanced
96,政府机构,Enhanced
97,1998年,Enhanced
98,2021年7月,Enhanced
99,《中华人民共和国土地管理法》第七十七条第一款,Enhanced
100,《中华人民共和国土地管理法实施条例》第五十七条第二款,Enhanced
101,对违规举办大型活动的处罚,Enhanced
102,行驶主体,Enhanced
103,治安局,Enhanced
104,《中华人民共和国治安管理处罚法》,Enhanced
105,中华人民共和国治安管理处罚法,Enhanced
106,举办文化、体育等大型群众性活动,Enhanced
107,活动类型,Enhanced
108,具体服务内容,Enhanced
109,具体处罚措施,Enhanced
110,西安市生态环境局,Enhanced
111,市生态环境保护综合执法支队,Enhanced
112,县（区）生态环境保护综合执法大队,Enhanced
113,中华人民共和国噪声污染防治法,Enhanced
114,违反本法规定，在噪声敏感建筑物集中区域新建排放噪声的工业企业的,Enhanced
115,违反本法规定，在噪声敏感建筑物集中区域改建、扩建工业企业，未采取有效措施防止工业噪声污染的,Enhanced
116,环境保护,Enhanced
117,噪声敏感建筑物集中区域,Enhanced
118,地理区域,Enhanced
119,工业企业,Enhanced
120,企业,Enhanced
121,法律措施,Enhanced
122,执法机构,Enhanced
123,噪声,Enhanced
