start_id,end_id,relation_type,source
1,2,行使主体,extraction
1,3,行使主体,extraction
4,5,实施依据,extraction
6,7,安装使用不符合,extraction
8,7,安装使用不符合,extraction
9,10,针对,extraction
11,10,针对,extraction
12,10,针对,extraction
13,14,误导、欺骗公众或者含有其他违法内容行为,extraction
14,15,由,extraction
16,17,行驶主体,extraction
18,17,实施依据,extraction
19,4,违反,extraction
1,2,行驶主体,extraction
1,3,行驶主体,extraction
20,21,实施依据,extraction
22,4,违反,extraction
23,4,违反,extraction
24,4,违反,extraction
25,4,违反,extraction
26,4,违反,extraction
27,4,违反,extraction
28,4,违反,extraction
29,30,需要,extraction
31,32,事先确定,extraction
32,33,根据,extraction
33,34,报,extraction
34,32,批准,extraction
35,36,不得,extraction
37,38,批准,extraction
39,37,同意,extraction
40,41,不得,extraction
37,42,报,extraction
43,44,由,extraction
45,46,列入,extraction
47,48,行驶主体,extraction
49,48,承办机构,extraction
50,51,违法行为,extraction
52,53,执行方,extraction
52,9,执行方,extraction
52,54,执行方,extraction
52,55,执行方,extraction
52,56,执行方,extraction
52,57,执行方,extraction
58,51,违法行为,extraction
59,60,违法行为,extraction
61,62,不履行,extraction
61,63,违反,extraction
61,64,违反,extraction
61,65,造成,extraction
66,62,不履行,extraction
66,63,违反,extraction
66,64,违反,extraction
66,65,造成,extraction
67,62,不履行,extraction
67,63,违反,extraction
67,64,违反,extraction
67,65,造成,extraction
16,68,行驶,extraction
69,70,吊销,extraction
71,72,权力类型,extraction
16,71,行驶主体,extraction
73,71,承办机构,extraction
74,71,实施依据,extraction
75,71,实施依据,extraction
76,71,受理申请,extraction
77,71,验收,extraction
78,79,依据,extraction
80,81,依据,extraction
82,79,考虑因素,extraction
48,83,包括,extraction
84,14,是,extraction
85,1,是,extraction
86,87,是,extraction
88,89,是,extraction
90,48,行使主体,extraction
91,48,承办机构,extraction
92,48,承办机构,extraction
93,14,执行者,extraction
94,48,地点,extraction
95,96,对象,extraction
97,98,对象,extraction
99,48,依据,extraction
100,101,处罚措施,extraction
102,101,处罚措施,extraction
103,101,处罚措施,extraction
104,105,措施,extraction
102,105,处罚措施,extraction
103,105,处罚措施,extraction
106,48,服务事项,extraction
107,84,权力类型,extraction
47,85,行驶主体,extraction
108,86,承办机构,extraction
109,88,实施依据,extraction
110,88,实施依据,extraction
111,112,申请材料,extraction
111,113,申请材料,extraction
111,114,申请材料,extraction
111,115,申请材料,extraction
111,116,申请材料,extraction
111,117,申请材料,extraction
118,119,行使,extraction
120,119,承办,extraction
121,119,提供依据,extraction
122,119,提供依据,extraction
123,119,提供依据,extraction
124,119,提供依据,extraction
125,119,提供依据,extraction
126,119,提供依据,extraction
127,126,发布,extraction
128,119,提供依据,extraction
129,128,发布,extraction
48,130,涉及,extraction
84,72,是,extraction
85,131,是,extraction
86,73,是,extraction
132,48,行使主体,extraction
48,5,包含,extraction
84,14,包含,extraction
133,48,承办,extraction
48,134,依据,extraction
134,135,修订年份,extraction
136,137,行为,extraction
138,139,责令,extraction
140,141,结果,extraction
141,142,起始日,extraction
