id,name,node_type
1,服务事项,Unknown
2,"""畜禽粪污直排入河""",Unknown
3,权力类型,Unknown
4,"""行政处罚""",Unknown
5,行驶主体,Unknown
6,"""生态环境综合执法支队""",Unknown
7,承办机构,Unknown
8,实施依据,Unknown
9,"""《中华人民共和国环境噪声污染防治法》""",Unknown
10,环境执法处罚,Unknown
11,拒绝环境执法检查,Unknown
12,行政处罚,Unknown
13,应急管理局,Unknown
14,《中华人民共和国固体废物污染环境防治法》,Unknown
15,未验先投违法生产,Unknown
16,镇环保所,Unknown
17,《危险废物经营许可证管理办法》,Unknown
18,土壤污染未修复,Unknown
19,自然资源局,Unknown
20,《中华人民共和国环境噪声污染防治法》,Unknown
21,环境应急预案未备案,Unknown
22,县生态环境局,Unknown
23,《中华人民共和国土壤污染防治法》,Unknown
24,超标排放废气,Unknown
25,市生态环境局,Unknown
26,违法占用湿地,Unknown
27,水利局,Unknown
28,"""环境执法处罚：固体废物乱堆乱放""",Unknown
29,"""区生态环境分局""",Unknown
30,"""《中华人民共和国土壤污染防治法》""",Unknown
31,危险化学品泄漏,Unknown
32,环境应急中心,Unknown
33,《畜禽规模养殖污染防治条例》,Unknown
34,农业农村局,Unknown
35,《中华人民共和国环境保护法》,Unknown
36,未取得排污许可证排污,Unknown
37,扬尘污染防治不到位,Unknown
38,中华人民共和国土壤污染防治法,Unknown
39,"""未验先投违法生产""",Unknown
40,"""农业农村局""",Unknown
41,"""《中华人民共和国水污染防治法》""",Unknown
42,环境监察支队,Unknown
43,《环境监测管理办法》,Unknown
44,破坏自然保护区,Unknown
45,区生态环境分局,Unknown
46,环境信息未公开,Unknown
47,"""建设项目未批先建""",Unknown
48,超标排放废水,Unknown
49,《建设项目环境保护管理条例》,Unknown
50,省生态环境厅,Unknown
51,"""镇环保所""",Unknown
52,篡改伪造监测数据,Unknown
53,环境监测站,Unknown
54,恶臭污染扰民,Unknown
55,《中华人民共和国水污染防治法》,Unknown
56,畜禽粪污直排入河,Unknown
57,"""环境执法处罚""",Unknown
58,"""环境应急预案未备案""",Unknown
59,"""省生态环境厅""",Unknown
60,"""《排污许可管理条例》""",Unknown
61,偷排偷放污染物,Unknown
62,《中华人民共和国环境影响评价法》,Unknown
63,生态环境部,Unknown
64,固体废物乱堆乱放,Unknown
65,林业局,Unknown
66,《排污许可管理条例》,Unknown
67,《中华人民共和国大气污染防治法》,Unknown
68,VOCs治理设施未正常运行,Unknown
69,污染防治设施未正常运行,Unknown
70,非法采砂采石,Unknown
71,"""偷排偷放污染物""",Unknown
72,"""《环境监测管理办法》""",Unknown
73,"事项,VOCs治理设施未正常运行",Unknown
74,"VOCs治理设施未正常运行的,类型",Unknown
75,"VOCs治理设施未正常运行的,执行方",Unknown
76,"VOCs治理设施未正常运行的,法律依据",Unknown
77,辐射安全管理不规范,Unknown
78,生态环境综合执法支队,Unknown
79,"""《中华人民共和国环境影响评价法》""",Unknown
80,中华人民共和国大气污染防治法,Unknown
81,"""环境执法处罚：土壤污染未修复""",Unknown
82,"""县生态环境局""",Unknown
83,"""《中华人民共和国大气污染防治法》""",Unknown
84,"""环境信息未公开""",Unknown
85,"""《畜禽规模养殖污染防治条例》""",Unknown
86,"""生态环境部""",Unknown
87,"""环境执法处罚：生态破坏未恢复""",Unknown
88,"""扬尘污染防治不到位""",Unknown
89,"""固体废物乱堆乱放""",Unknown
90,"""水利局""",Unknown
91,"""《中华人民共和国环境保护法》""",Unknown
92,噪声污染超标,Unknown
93,"""《中华人民共和国固体废物污染环境防治法》""",Unknown
94,"""恶臭污染扰民""",Unknown
95,VOCs治理设施未正常运行的服务事项,Unknown
96,环评手续不全擅自开工,Unknown
97,"""环境监察支队""",Unknown
98,建设项目未批先建,Unknown
99,未按规定安装污染物排放自动监测设备,Unknown
100,生态破坏未恢复,Unknown
101,"""环境执法处罚：危险化学品泄漏""",Unknown
102,"""《建设项目环境保护管理条例》""",Unknown
103,"VOCs治理设施未正常运行的,行使主体",Unknown
104,"VOCs治理设施未正常运行的,承办机构",Unknown
105,"应急管理局的,依据",Unknown
106,"VOCs治理设施未正常运行的,实施依据",Unknown
107,"""林业局""",Unknown
108,环境噪声污染防治法,Unknown
109,"""《危险废物经营许可证管理办法》""",Unknown
110,水土流失治理不力,Unknown
111,"""环评手续不全擅自开工""",Unknown
112,"""市生态环境局""",Unknown
113,危险废物未按规定贮存,Unknown
114,中华人民共和国环境保护法,Unknown
115,"VOCs治理设施未正常运行的,依据",Unknown
116,"VOCs治理设施未正常运行的,权力行使主体",Unknown
117,"VOCs治理设施未正常运行的,行驶主体",Unknown
118,"权力类型,行政处罚",Unknown
119,"VOCs治理设施未正常运行的,行政处罚",Unknown
120,"VOCs治理设施未正常运行的,环境应急中心",Unknown
121,"VOCs治理设施未正常运行的,《建设项目环境保护管理条例》",Unknown
122,"""水土流失治理不力""",Unknown
123,"""辐射安全管理不规范""",Unknown
124,"""环境监测站""",Unknown
125,"""应急管理局""",Unknown
126,"""环境执法处罚：危险废物未按规定贮存""",Unknown
127,"""自然资源局""",Unknown
128,环境监测管理办法,Unknown
129,"""危险废物未按规定贮存""",Unknown
130,"""环境应急中心""",Unknown
131,"""未取得排污许可证排污""",Unknown
132,中华人民共和国固体废物污染环境防治法,Unknown
133,"""环境执法处罚：环评手续不全擅自开工""",Unknown
134,中华人民共和国水污染防治法,Unknown
135,中华人民共和国环境噪声污染防治法,Unknown
136,"""污染防治设施未正常运行""",Unknown
137,"""拒绝环境执法检查""",Unknown
