id,name,node_type
1,行政处罚,Enhanced
2,环境执法处罚,Enhanced
3,镇环保所,Enhanced
4,未验先投违法生产,Enhanced
5,《危险废物经营许可证管理办法》,Enhanced
6,县生态环境局,Enhanced
7,《中华人民共和国土壤污染防治法》,Enhanced
8,环境应急预案未备案,Enhanced
9,服务事项,Enhanced
10,土壤污染未修复,Enhanced
11,权力类型,Enhanced
12,行驶主体,Enhanced
13,自然资源局,Enhanced
14,实施依据,Enhanced
15,《中华人民共和国环境噪声污染防治法》,Enhanced
16,《中华人民共和国环境保护法》,Enhanced
17,畜禽粪污直排入河,Enhanced
18,《中华人民共和国水污染防治法》,Enhanced
19,应急管理局,Enhanced
20,承办机构,Enhanced
21,拒绝环境执法检查,Enhanced
22,无,Enhanced
23,《中华人民共和国固体废物污染环境防治法》,Enhanced
24,固体废物乱堆乱放,Enhanced
25,区生态环境分局,Enhanced
26,《中华人民共和国土壤污染防治法》第X条,Enhanced
27,水利局,Enhanced
28,违法占用湿地,Enhanced
29,农业农村局,Enhanced
30,超标排放废气,Enhanced
31,市生态环境局,Enhanced
32,危险化学品泄漏,Enhanced
33,环境应急中心,Enhanced
34,《畜禽规模养殖污染防治条例》,Enhanced
35,未取得排污许可证排污,Enhanced
36,环境监察支队,Enhanced
37,"""扬尘污染防治不到位""",Enhanced
38,"""行政处罚""",Enhanced
39,"""农业农村局""",Enhanced
40,"""《中华人民共和国土壤污染防治法》""",Enhanced
41,扬尘污染防治不到位,Enhanced
42,"""建设项目未批先建""",Enhanced
43,"""环境监察支队""",Enhanced
44,"""《中华人民共和国环境影响评价法》""",Enhanced
45,建设项目未批先建,Enhanced
46,《中华人民共和国环境影响评价法》,Enhanced
47,机构,Enhanced
48,超标排放废水,Enhanced
49,《建设项目环境保护管理条例》,Enhanced
50,省生态环境厅,Enhanced
51,生态环境综合执法支队,Enhanced
52,违法行为,Enhanced
53,"""环境执法处罚""",Enhanced
54,"""环境信息未公开""",Enhanced
55,环境信息未公开,Enhanced
56,破坏自然保护区,Enhanced
