start_id,end_id,relation_type,source
1,2,权力类型,enhanced_extraction
3,2,行驶主体,enhanced_extraction
3,2,承办机构,enhanced_extraction
2,1,类型,enhanced_extraction
3,2,执行,enhanced_extraction
4,2,对象,enhanced_extraction
2,5,依据,enhanced_extraction
1,2,权力类型,enhanced_extraction
6,2,行驶主体,enhanced_extraction
6,2,承办机构,enhanced_extraction
2,1,类型,enhanced_extraction
2,7,实施依据,enhanced_extraction
8,2,是对象,enhanced_extraction
9,2,是,enhanced_extraction
2,10,包含问题,enhanced_extraction
11,1,是,enhanced_extraction
12,13,是,enhanced_extraction
14,15,是,enhanced_extraction
16,14,是,enhanced_extraction
2,13,由,enhanced_extraction
9,17,包含,enhanced_extraction
11,1,是,enhanced_extraction
14,15,是,enhanced_extraction
17,18,实施依据,enhanced_extraction
2,1,权力类型,enhanced_extraction
12,19,是,enhanced_extraction
20,19,是,enhanced_extraction
1,21,包含事项,enhanced_extraction
19,22,既是行驶主体也是承办机构,enhanced_extraction
1,11,是,enhanced_extraction
23,14,是,enhanced_extraction
9,2,包括,enhanced_extraction
2,24,涉及,enhanced_extraction
12,25,是,enhanced_extraction
20,25,是,enhanced_extraction
14,7,是,enhanced_extraction
2,11,属于,enhanced_extraction
2,26,依据,enhanced_extraction
27,2,行驶主体,enhanced_extraction
27,2,承办机构,enhanced_extraction
28,2,是,enhanced_extraction
2,1,是,enhanced_extraction
2,23,依据,enhanced_extraction
27,2,执行,enhanced_extraction
11,1,是,enhanced_extraction
2,1,属于,enhanced_extraction
12,20,等于,enhanced_extraction
12,29,等于,enhanced_extraction
14,16,依据,enhanced_extraction
2,30,服务事项,enhanced_extraction
1,2,权力类型,enhanced_extraction
31,2,行驶主体,enhanced_extraction
31,2,承办机构,enhanced_extraction
2,5,实施依据,enhanced_extraction
2,1,类型,enhanced_extraction
31,2,行使主体,enhanced_extraction
2,32,针对,enhanced_extraction
11,1,类型,enhanced_extraction
33,2,行驶主体,enhanced_extraction
33,2,承办机构,enhanced_extraction
2,34,依据,enhanced_extraction
2,4,服务事项,enhanced_extraction
11,1,是,enhanced_extraction
2,1,类型,enhanced_extraction
12,2,负责,enhanced_extraction
20,2,负责,enhanced_extraction
18,14,是,enhanced_extraction
9,2,包括,enhanced_extraction
2,35,涉及问题,enhanced_extraction
14,16,来自,enhanced_extraction
2,35,针对,enhanced_extraction
2,11,属于,enhanced_extraction
9,37,包括,enhanced_extraction
11,38,是,enhanced_extraction
12,39,是,enhanced_extraction
20,39,是,enhanced_extraction
14,40,是,enhanced_extraction
2,41,针对,enhanced_extraction
11,1,属于,enhanced_extraction
12,29,由,enhanced_extraction
20,29,由,enhanced_extraction
2,35,服务事项,enhanced_extraction
1,2,权力类型,enhanced_extraction
13,2,行驶主体,enhanced_extraction
13,2,承办机构,enhanced_extraction
2,1,类型,enhanced_extraction
13,2,执行,enhanced_extraction
23,2,是实施依据,enhanced_extraction
9,42,包括,enhanced_extraction
11,38,是,enhanced_extraction
12,43,是,enhanced_extraction
20,43,是,enhanced_extraction
14,44,是,enhanced_extraction
2,45,针对,enhanced_extraction
12,36,是,enhanced_extraction
36,1,行使,enhanced_extraction
14,46,依据,enhanced_extraction
9,2,包括,enhanced_extraction
33,47,类型,enhanced_extraction
2,48,针对,enhanced_extraction
11,1,类型,enhanced_extraction
33,2,行驶主体,enhanced_extraction
2,49,依据,enhanced_extraction
9,2,包括,enhanced_extraction
2,48,涉及,enhanced_extraction
11,1,是,enhanced_extraction
14,49,是,enhanced_extraction
2,1,类型,enhanced_extraction
2,49,依据,enhanced_extraction
2,45,服务事项,enhanced_extraction
1,2,权力类型,enhanced_extraction
51,2,行驶主体,enhanced_extraction
51,2,承办机构,enhanced_extraction
2,1,类型,enhanced_extraction
45,52,类型,enhanced_extraction
51,2,负责,enhanced_extraction
2,18,依据,enhanced_extraction
9,53,包括,enhanced_extraction
2,54,涉及内容,enhanced_extraction
11,38,包括,enhanced_extraction
12,43,是,enhanced_extraction
14,40,来自,enhanced_extraction
2,55,涉及内容,enhanced_extraction
11,1,包含,enhanced_extraction
12,36,是,enhanced_extraction
14,7,来自,enhanced_extraction
9,2,包括,enhanced_extraction
11,1,是,enhanced_extraction
12,25,是,enhanced_extraction
20,25,是,enhanced_extraction
2,56,针对,enhanced_extraction
14,57,来源于,enhanced_extraction
2,32,针对,enhanced_extraction
11,1,包含,enhanced_extraction
12,31,等于,enhanced_extraction
20,31,等于,enhanced_extraction
14,58,是,enhanced_extraction
14,23,是,enhanced_extraction
