id,name,node_type
1,服务事项,Unknown
2,"""环境执法处罚：土壤污染未修复""",Unknown
3,权力类型,Unknown
4,"""行政处罚""",Unknown
5,行驶主体,Unknown
6,"""自然资源局""",Unknown
7,实施依据,Unknown
8,"""《中华人民共和国环境噪声污染防治法》""",Unknown
9,环境执法处罚,Unknown
10,环境应急预案未备案,Unknown
11,行政处罚,Unknown
12,县生态环境局,Unknown
13,《中华人民共和国土壤污染防治法》,Unknown
14,畜禽粪污直排入河,Unknown
15,《中华人民共和国环境噪声污染防治法》,Unknown
16,拒绝环境执法检查,Unknown
17,应急管理局,Unknown
18,承办机构,Unknown
19,《中华人民共和国固体废物污染环境防治法》,Unknown
20,未验先投违法生产,Unknown
21,镇环保所,Unknown
22,《危险废物经营许可证管理办法》,Unknown
23,违法占用湿地,Unknown
24,水利局,Unknown
25,危险化学品泄漏,Unknown
26,农业农村局,Unknown
27,《中华人民共和国环境保护法》,Unknown
28,固体废物乱堆乱放,Unknown
29,信息公开,Unknown
30,区生态环境分局,Unknown
31,环境应急中心,Unknown
32,《畜禽规模养殖污染防治条例》,Unknown
33,超标排放废气,Unknown
34,市生态环境局,Unknown
35,未取得排污许可证排污,Unknown
36,环境监察支队,Unknown
37,《环境监测管理办法》,Unknown
38,建设项目未批先建,Unknown
39,《中华人民共和国环境影响评价法》,Unknown
40,自然资源局,Unknown
41,"""未验先投违法生产""",Unknown
42,"""农业农村局""",Unknown
43,"""《中华人民共和国水污染防治法》""",Unknown
44,扬尘污染防治不到位,Unknown
45,中华人民共和国土壤污染防治法,Unknown
46,破坏自然保护区,Unknown
47,"""环境执法处罚""",Unknown
48,"""环境信息未公开""",Unknown
49,"""环境监察支队""",Unknown
50,"""《中华人民共和国土壤污染防治法》""",Unknown
51,生态环境综合执法支队,Unknown
52,《中华人民共和国水污染防治法》,Unknown
53,超标排放废水,Unknown
54,《建设项目环境保护管理条例》,Unknown
55,省生态环境厅,Unknown
56,中华人民共和国水污染防治法,Unknown
57,土壤污染未修复,Unknown
58,篡改伪造监测数据,Unknown
59,环境监测站,Unknown
60,偷排偷放污染物,Unknown
61,"""环境应急预案未备案""",Unknown
62,"""公共服务""",Unknown
63,"""商务部""",Unknown
64,"""省生态环境厅""",Unknown
65,"""《排污许可管理条例》""",Unknown
66,"""恶臭污染扰民""",Unknown
67,"""市生态环境局""",Unknown
68,"""《中华人民共和国固体废物污染环境防治法》""",Unknown
69,"""畜禽粪污直排入河""",Unknown
70,"""生态环境部""",Unknown
71,某县环保所,Unknown
72,林业局,Unknown
73,监管省生态环境厅工作,Unknown
74,污染防治设施未正常运行,Unknown
75,《排污许可管理条例》,Unknown
76,环境信息未公开,Unknown
77,《中华人民共和国大气污染防治法》,Unknown
78,"""县生态环境局""",Unknown
79,相关文件,Unknown
80,"""《已废止的某某规定》""",Unknown
81,VOCS治理设施未正常运行,Unknown
82,VOCs打扫设施未正常运行,Unknown
83,"""林业局""",Unknown
84,"""未成立的办公室""",Unknown
85,非法采砂采石,Unknown
86,"""《危险废物经营许可证管理办法》""",Unknown
87,辐射安全管理不规范,Unknown
88,"""环境应急中心""",Unknown
89,"""已撤销的部门""",Unknown
90,"""《环境监测管理办法》""",Unknown
