start_id,end_id,relation_type,source
1,2,包括,extraction
3,4,是,extraction
5,6,是,extraction
7,8,是,extraction
9,10,服务事项,extraction
11,9,权力类型,extraction
12,9,行驶主体,extraction
12,9,承办机构,extraction
13,9,实施依据,extraction
9,14,服务事项,extraction
11,9,权力类型,extraction
15,9,实施依据,extraction
9,16,包含事项,extraction
3,11,是,extraction
5,17,是,extraction
18,17,是,extraction
7,19,是,extraction
9,20,服务事项,extraction
11,9,权力类型,extraction
21,9,行驶主体,extraction
21,9,承办机构,extraction
22,9,实施依据,extraction
9,23,服务事项,extraction
11,9,权力类型,extraction
24,9,行驶主体,extraction
24,9,承办机构,extraction
9,19,实施依据,extraction
1,9,包括,extraction
9,25,涉及,extraction
3,11,是,extraction
5,26,是,extraction
18,26,是,extraction
7,27,是,extraction
1,9,包括,extraction
9,28,涉及,extraction
3,29,是,extraction
5,30,是,extraction
18,30,是,extraction
7,13,是,extraction
9,25,包含,extraction
3,11,是,extraction
5,31,是,extraction
18,31,是,extraction
7,32,是,extraction
9,33,服务事项,extraction
11,9,权力类型,extraction
34,9,行驶主体,extraction
34,9,承办机构,extraction
9,22,实施依据,extraction
1,9,包括,extraction
9,35,涉及问题,extraction
3,11,是,extraction
5,36,是,extraction
18,36,是,extraction
7,37,是,extraction
9,38,包含,extraction
3,11,是,extraction
5,36,是,extraction
18,36,是,extraction
7,39,是,extraction
9,35,服务事项,extraction
11,9,权力类型,extraction
40,9,行驶主体,extraction
40,9,承办机构,extraction
19,9,实施依据,extraction
1,41,包括,extraction
3,4,是,extraction
5,42,是,extraction
18,42,是,extraction
7,43,是,extraction
9,44,服务事项,extraction
9,11,权力类型,extraction
9,26,行驶主体,extraction
9,26,承办机构,extraction
9,45,实施依据,extraction
1,9,包括,extraction
9,46,涉及,extraction
3,11,是,extraction
5,30,是,extraction
18,30,是,extraction
7,19,是,extraction
1,47,包括,extraction
9,48,涉及内容,extraction
3,4,包括,extraction
5,49,是,extraction
7,50,来自,extraction
1,9,是,extraction
9,38,包括,extraction
3,11,是,extraction
5,51,是,extraction
18,51,是,extraction
7,52,是,extraction
1,9,包括,extraction
9,53,包含,extraction
3,11,是,extraction
5,31,是,extraction
7,54,是,extraction
1,9,包括,extraction
9,53,包含,extraction
3,11,是,extraction
5,55,是,extraction
18,55,是,extraction
7,54,是,extraction
9,28,服务事项,extraction
11,9,权力类型,extraction
21,9,行驶主体,extraction
21,9,承办机构,extraction
56,9,实施依据,extraction
9,57,包含,extraction
3,11,是,extraction
5,31,是,extraction
18,31,是,extraction
7,54,是,extraction
9,58,包含,extraction
3,11,是,extraction
5,59,是,extraction
18,59,是,extraction
7,15,是,extraction
1,9,包括,extraction
9,25,涉及,extraction
3,11,是,extraction
5,34,是,extraction
18,34,是,extraction
7,37,是,extraction
1,9,包括,extraction
9,46,涉及,extraction
3,11,是,extraction
5,17,是,extraction
18,17,是,extraction
7,37,是,extraction
9,23,服务事项,extraction
11,9,权力类型,extraction
24,9,行驶主体,extraction
24,9,承办机构,extraction
56,9,实施依据,extraction
9,14,涉及事项,extraction
3,11,是,extraction
5,40,是,extraction
18,40,是,extraction
7,54,是,extraction
9,58,包含,extraction
3,11,是,extraction
5,34,是,extraction
18,34,是,extraction
7,32,是,extraction
1,9,包括,extraction
9,58,包含,extraction
3,11,是,extraction
5,55,是,extraction
7,13,是,extraction
9,33,服务事项,extraction
3,11,是,extraction
5,26,是,extraction
18,26,是,extraction
7,13,是,extraction
1,9,包括,extraction
9,60,包含,extraction
3,11,是,extraction
5,51,是,extraction
18,51,是,extraction
7,32,是,extraction
9,23,涉及内容,extraction
3,11,类型,extraction
5,40,为,extraction
18,40,为,extraction
7,37,来源,extraction
1,9,包括,extraction
9,25,涉及,extraction
3,11,是,extraction
5,59,是,extraction
7,22,是,extraction
9,16,包含事项,extraction
3,11,是,extraction
5,26,是,extraction
18,26,是,extraction
1,47,包括,extraction
9,61,涉及问题,extraction
3,62,是,extraction
5,63,为,extraction
18,64,为,extraction
7,65,是,extraction
1,66,包括,extraction
3,4,是,extraction
5,67,是,extraction
7,68,是,extraction
9,10,服务事项,extraction
3,11,是,extraction
5,26,是,extraction
18,26,是,extraction
7,27,是,extraction
9,33,服务事项,extraction
11,9,权力类型,extraction
59,9,行驶主体,extraction
59,9,承办机构,extraction
56,9,实施依据,extraction
9,16,包含,extraction
3,11,是,extraction
5,36,是,extraction
18,36,是,extraction
7,22,是,extraction
1,69,包括,extraction
3,4,是,extraction
5,70,是,extraction
18,70,是,extraction
7,8,是,extraction
1,55,监管,extraction
3,11,是,extraction
5,71,是,extraction
18,72,是,extraction
7,22,是,extraction
73,1,服务事项,extraction
71,11,行驶主体,extraction
21,11,承办机构,extraction
39,11,实施依据,extraction
9,74,服务事项,extraction
11,9,权力类型,extraction
24,9,行驶主体,extraction
24,9,承办机构,extraction
9,32,实施依据,extraction
9,35,服务事项,extraction
11,9,权力类型,extraction
59,9,行驶主体,extraction
59,9,承办机构,extraction
75,9,实施依据,extraction
9,76,包含,extraction
3,11,是,extraction
5,40,是,extraction
18,40,是,extraction
7,77,是,extraction
1,47,包括,extraction
9,61,涉及问题,extraction
3,4,是,extraction
5,78,是,extraction
18,78,是,extraction
7,65,是,extraction
79,80,是,extraction
9,81,包含,extraction
3,11,是,extraction
5,30,是,extraction
18,30,是,extraction
7,22,是,extraction
9,16,包含,extraction
3,11,是,extraction
5,31,是,extraction
1,82,包括,extraction
3,11,是,extraction
5,30,是,extraction
18,30,是,extraction
7,19,是,extraction
9,60,服务事项,extraction
11,9,权力类型,extraction
30,9,行驶主体,extraction
30,9,承办机构,extraction
9,37,实施依据,extraction
1,66,包括,extraction
3,4,是,extraction
5,83,是,extraction
18,84,是,extraction
7,8,是,extraction
9,85,服务事项,extraction
11,9,权力类型,extraction
12,9,行驶主体,extraction
12,9,承办机构,extraction
9,13,实施依据,extraction
1,9,包括,extraction
9,25,涉及,extraction
3,11,是,extraction
5,34,是,extraction
7,22,是,extraction
1,23,包括,extraction
3,11,是,extraction
5,40,是,extraction
18,40,是,extraction
7,22,是,extraction
1,66,包括,extraction
3,4,是,extraction
5,67,是,extraction
18,67,是,extraction
7,86,是,extraction
9,87,服务事项,extraction
3,11,是,extraction
5,21,是,extraction
18,21,是,extraction
7,13,是,extraction
1,66,包括,extraction
3,4,是,extraction
5,88,是,extraction
18,89,是,extraction
7,90,是,extraction
1,9,包括,extraction
9,16,包含,extraction
3,11,是,extraction
5,55,未明确,extraction
18,55,是,extraction
7,13,是,extraction
9,76,服务事项,extraction
11,9,权力类型,extraction
72,9,行驶主体,extraction
72,9,承办机构,extraction
9,27,实施依据,extraction
9,91,涉及问题,extraction
3,92,是,extraction
5,24,是,extraction
18,24,是,extraction
7,54,是,extraction
9,76,包含,extraction
3,11,是,extraction
5,51,是,extraction
18,51,是,extraction
7,37,是,extraction
9,14,涉及事项,extraction
11,9,权力类型,extraction
55,9,行驶主体,extraction
55,9,承办机构,extraction
9,39,依据,extraction
1,9,包括,extraction
9,60,涉及,extraction
3,11,是,extraction
5,31,是,extraction
18,31,是,extraction
7,32,是,extraction
9,87,服务事项,extraction
11,9,权力类型,extraction
17,9,行驶主体,extraction
17,9,承办机构,extraction
77,9,实施依据,extraction
1,2,包括,extraction
3,4,是,extraction
5,78,是,extraction
18,78,是,extraction
7,93,是,extraction
9,57,包含,extraction
3,11,是,extraction
5,94,是,extraction
18,94,是,extraction
7,22,是,extraction
9,16,包含,extraction
3,11,是,extraction
5,31,是,extraction
18,31,是,extraction
7,39,是,extraction
1,9,包括,extraction
9,60,包含,extraction
3,11,是,extraction
5,34,是,extraction
18,34,是,extraction
7,39,是,extraction
1,47,包括,extraction
9,48,涉及,extraction
3,4,是,extraction
5,78,是,extraction
18,78,是,extraction
7,95,来自,extraction
79,80,是,extraction
1,96,是,extraction
3,11,是,extraction
5,97,是,extraction
18,94,是,extraction
7,13,是,extraction
1,98,包括,extraction
3,4,是,extraction
5,70,是,extraction
18,70,是,extraction
7,50,是,extraction
99,14,地点,extraction
3,11,是,extraction
5,55,是,extraction
18,55,是,extraction
7,77,是,extraction
9,16,包含,extraction
3,11,是,extraction
5,17,是,extraction
7,15,是,extraction
1,100,包括,extraction
3,4,是,extraction
5,78,是,extraction
18,78,是,extraction
7,101,是,extraction
1,23,包括,extraction
3,11,是,extraction
5,94,是,extraction
18,94,是,extraction
7,52,是,extraction
1,102,包括,extraction
3,4,是,extraction
5,78,是,extraction
18,78,是,extraction
7,101,是,extraction
9,28,服务事项,extraction
11,9,权力类型,extraction
24,9,行驶主体,extraction
24,9,承办机构,extraction
9,27,实施依据,extraction
9,103,服务事项,extraction
11,9,权力类型,extraction
36,9,行驶主体,extraction
