id,name,node_type
1,金融监管处罚,Unknown
2,同业业务违规,Unknown
3,行政处罚,Unknown
4,银保监会,Unknown
5,《小额贷款公司监督管理条例》,Unknown
6,虚假陈述,Unknown
7,权力类型,Unknown
8,行驶主体,Unknown
9,中国人民银行,Unknown
10,承办机构,Unknown
11,实施依据,Unknown
12,《中华人民共和国商业银行法》,Unknown
13,操纵市场价格,Unknown
14,《信托公司管理办法》,Unknown
15,服务事项,Unknown
16,未按规定进行信息披露,Unknown
17,市地方金融监管局,Unknown
18,《银行业金融机构反洗钱和反恐怖主义融资管理办法》,Unknown
19,未按规定履行客户身份识别义务,Unknown
20,欺诈发行,Unknown
21,外汇管理局,Unknown
22,《融资租赁企业监督管理暂行办法》,Unknown
23,挪用客户资金,Unknown
24,《证券投资基金法》,Unknown
25,销售误导行为,Unknown
26,证监会某监管局,Unknown
27,《期货交易管理条例》,Unknown
28,支付业务违规,Unknown
29,违规收费,Unknown
30,县金融办,Unknown
31,信贷资金违规流入股市,Unknown
32,《关于规范民间借贷行为的通知》,Unknown
33,省地方金融监管局,Unknown
34,证监会,Unknown
35,《中华人民共和国反洗钱法》,Unknown
36,反洗钱工作不力,Unknown
37,《中华人民共和国证券法》,Unknown
38,数据治理不规范,Unknown
39,中国人民银行某分行,Unknown
40,《中华人民共和国保险法》,Unknown
41,银保监会某监管局,Unknown
42,违规关联交易,Unknown
43,理财业务违规,Unknown
44,资金池业务违规,Unknown
45,风险管理缺失,Unknown
46,中华人民共和国银行业监督管理法,Unknown
47,违规担保,Unknown
48,内幕交易行为,Unknown
49,外汇业务违规,Unknown
50,《中华人民共和国银行业监督管理法》,Unknown
51,保险资金运用违规,Unknown
52,内控制度不健全,Unknown
53,消费者权益保护不到位,Unknown
54,高利放贷违规行为,Unknown
55,中华人民共和国反洗钱法,Unknown
56,偿付能力不足,Unknown
57,征信业务违规,Unknown
58,中华人民共和国证券法,Unknown
59,违规放贷,Unknown
60,中华人民共和国保险法,Unknown
61,准备金提取不足,Unknown
62,中华人民共和国商业银行法,Unknown
63,证券投资基金法,Unknown
64,省地方金融监管局行驶,Unknown
65,省地方金融监管局承办,Unknown
66,银保监会某监管局执行,Unknown
67,规范民间借贷行为的通知,Unknown
