start_id,end_id,relation_type,source
1,2,涉及事项,extraction
3,1,权力类型,extraction
4,3,行驶主体,extraction
4,3,承办机构,extraction
5,3,实施依据,extraction
1,6,包含,extraction
7,3,是,extraction
8,9,是,extraction
10,9,是,extraction
11,12,是,extraction
1,13,包含,extraction
7,3,是,extraction
8,4,是,extraction
10,4,是,extraction
11,14,是,extraction
15,1,包括,extraction
1,16,涉及,extraction
7,3,是,extraction
8,17,是,extraction
10,17,是,extraction
11,18,是,extraction
1,19,服务事项,extraction
3,1,权力类型,extraction
9,1,行驶主体,extraction
9,1,承办机构,extraction
5,1,实施依据,extraction
1,20,包含,extraction
7,3,是,extraction
8,21,是,extraction
10,21,是,extraction
11,22,是,extraction
1,23,涉及行为,extraction
3,1,权力类型,extraction
4,3,行驶主体,extraction
4,3,承办机构,extraction
3,24,实施依据,extraction
1,25,服务事项,extraction
3,1,权力类型,extraction
26,1,行驶主体,extraction
26,1,承办机构,extraction
27,1,实施依据,extraction
1,28,涉及事项,extraction
26,26,行使主体,extraction
26,26,承办机构,extraction
26,27,依据,extraction
1,29,涉及,extraction
7,3,是,extraction
8,30,是,extraction
10,30,是,extraction
11,14,是,extraction
1,31,涉及事项,extraction
3,1,权力类型,extraction
4,1,行驶主体,extraction
4,1,承办机构,extraction
1,32,依据,extraction
15,1,是,extraction
1,33,由,extraction
33,3,行使权力类型,extraction
33,8,是,extraction
33,10,是,extraction
11,24,是,extraction
1,2,服务事项,extraction
3,1,权力类型,extraction
34,1,行驶主体,extraction
34,1,承办机构,extraction
35,1,实施依据,extraction
15,1,是,extraction
7,3,是,extraction
8,17,是,extraction
10,17,是,extraction
11,5,是,extraction
1,36,涉及事项,extraction
3,1,权力类型,extraction
34,3,行驶主体,extraction
34,3,承办机构,extraction
37,3,实施依据,extraction
1,38,涉及问题,extraction
3,1,权力类型,extraction
39,1,行驶主体,extraction
39,1,承办机构,extraction
1,40,依据,extraction
1,6,包含,extraction
7,3,是,extraction
8,21,是,extraction
10,21,是,extraction
1,6,包含,extraction
