id,name,node_type
1,银保监会,Enhanced
2,行政处罚,Enhanced
3,《信托公司管理办法》,Enhanced
4,金融监管处罚,Enhanced
5,同业业务违规,Enhanced
6,《小额贷款公司监督管理条例》,Enhanced
7,实施依据,Enhanced
8,《期货交易管理条例》,Enhanced
9,中国人民银行,Enhanced
10,执行主体,Enhanced
11,事项名称,Enhanced
12,服务事项,Enhanced
13,权力类型名称,Enhanced
14,虚假陈述,Enhanced
15,权力类型,Enhanced
16,《中华人民共和国商业银行法》,Enhanced
17,法律依据,Enhanced
18,金融被监管表扬,Enhanced
19,未按规定进行信息披露,Enhanced
20,行驶主体,Enhanced
21,市地方金融监管局,Enhanced
22,承办机构,Enhanced
23,《银行业金融机构反洗钱和反恐怖主义融资管理办法》,Enhanced
24,监管机构,Enhanced
25,违规行为,Enhanced
26,法律术语,Enhanced
27,法律措施,Enhanced
28,执行机构,Enhanced
29,销售误导行为,Enhanced
30,证监会某监管局,Enhanced
31,未按规定履行客户身份识别义务,Enhanced
32,政府机构,Enhanced
33,小额贷款公司监督管理条例,Enhanced
34,法律法规,Enhanced
35,违法行为,Enhanced
36,支付业务违规,Enhanced
37,挪用客户资金,Enhanced
38,《证券投资基金法》,Enhanced
39,欺诈发行,Enhanced
40,《融资租赁企业监督管理暂行办法》,Enhanced
41,外汇管理局,Enhanced
42,机构,Enhanced
43,法规,Enhanced
44,违规收费,Enhanced
45,县金融办,Enhanced
46,偿付能力不足,Enhanced
47,省地方金融监管局,Enhanced
48,证监会,Enhanced
49,中华人民共和国反洗钱法,Enhanced
50,同等法律条款,Enhanced
51,信贷资金违规流入股市,Enhanced
52,相关法律法规,Enhanced
53,违规担保,Enhanced
54,数据治理不规范,Enhanced
55,中国人民银行某分行,Enhanced
56,《中华人民共和国中国人民银行法》,Enhanced
57,《中华人民共和国证券法》,Enhanced
58,反洗钱工作不力,Enhanced
59,违规放贷,Enhanced
60,行使主体,Enhanced
61,未成立的办公室,Enhanced
62,金融监管,Enhanced
63,银保监会某监管局,Enhanced
64,无,Enhanced
65,风险管理缺失,Enhanced
66,资金池业务违规,Enhanced
67,理财业务违规,Enhanced
68,融资租赁企业监督管理暂行办法,Enhanced
69,违规关联交易,Enhanced
70,《关于规范民间借贷行为的通知》,Enhanced
71,金融监管责任,Enhanced
72,资金池业务,Enhanced
73,中华人民共和国银行业监督管理法,Enhanced
74,资金池业务不对,Enhanced
75,实施依据来源,Enhanced
76,《中华人民共和国反洗钱法》,Enhanced
77,法律,Enhanced
78,问题,Enhanced
79,内幕交易行为,Enhanced
80,内控制度不健全,Enhanced
81,通知,Enhanced
82,行政处罚类型,Enhanced
83,保险资金运用违规,Enhanced
84,外汇业务违规,Enhanced
85,教育部,Enhanced
86,《中华人民共和国银行业监督管理法》,Enhanced
87,行政机关,Enhanced
88,《证券法》或其他相关金融法律法规,Enhanced
89,《中华人民共和国外汇管理条例》,Enhanced
90,行政处罚行为,Enhanced
91,行政许可,Enhanced
92,相关文件,Enhanced
93,《已废止的某某规定》,Enhanced
94,组织机构,Enhanced
95,是,Enhanced
