start_id,end_id,relation_type,source
1,2,行驶主体,enhanced_extraction
1,2,承办机构,enhanced_extraction
3,2,实施依据,enhanced_extraction
1,2,执行,enhanced_extraction
1,4,行驶主体,enhanced_extraction
1,4,承办机构,enhanced_extraction
5,4,导致,enhanced_extraction
4,2,属于,enhanced_extraction
1,4,执行,enhanced_extraction
4,6,依据,enhanced_extraction
7,8,是,enhanced_extraction
9,8,依据,enhanced_extraction
10,9,是,enhanced_extraction
11,12,是,enhanced_extraction
13,2,是,enhanced_extraction
4,14,包含,enhanced_extraction
15,2,是,enhanced_extraction
7,16,是,enhanced_extraction
9,4,行驶主体和承办机构,enhanced_extraction
16,17,是,enhanced_extraction
18,19,涉及问题,enhanced_extraction
20,21,是,enhanced_extraction
22,21,是,enhanced_extraction
7,23,是,enhanced_extraction
18,2,类型,enhanced_extraction
21,24,类型,enhanced_extraction
19,25,类型,enhanced_extraction
15,26,类型,enhanced_extraction
2,27,类型,enhanced_extraction
20,10,类型,enhanced_extraction
22,28,类型,enhanced_extraction
7,17,类型,enhanced_extraction
21,21,既是行驶主体也是承办机构,enhanced_extraction
2,15,属于,enhanced_extraction
12,4,是,enhanced_extraction
4,29,包括,enhanced_extraction
15,2,是,enhanced_extraction
20,30,是,enhanced_extraction
22,30,是,enhanced_extraction
4,2,类型,enhanced_extraction
30,2,行使,enhanced_extraction
30,4,承办,enhanced_extraction
4,31,涉及事项,enhanced_extraction
15,2,是,enhanced_extraction
7,6,是,enhanced_extraction
9,9,既是行驶主体也是承办机构,enhanced_extraction
4,2,类型,enhanced_extraction
9,32,类型,enhanced_extraction
33,34,类型,enhanced_extraction
31,35,类型,enhanced_extraction
15,26,类型,enhanced_extraction
2,15,类型,enhanced_extraction
20,26,类型,enhanced_extraction
22,26,类型,enhanced_extraction
7,26,类型,enhanced_extraction
4,36,涉及事项,enhanced_extraction
30,4,行使行政处罚权力,enhanced_extraction
4,8,依据,enhanced_extraction
1,2,行驶主体,enhanced_extraction
1,2,承办机构,enhanced_extraction
4,37,针对,enhanced_extraction
4,2,属于,enhanced_extraction
1,2,实施,enhanced_extraction
38,2,依据,enhanced_extraction
4,39,包含,enhanced_extraction
15,2,是,enhanced_extraction
7,40,是,enhanced_extraction
4,2,类型,enhanced_extraction
39,35,类型,enhanced_extraction
2,15,类型,enhanced_extraction
41,42,类型,enhanced_extraction
40,43,类型,enhanced_extraction
41,4,行驶主体,enhanced_extraction
41,4,承办机构,enhanced_extraction
4,44,涉及内容,enhanced_extraction
15,2,类型,enhanced_extraction
20,45,为,enhanced_extraction
22,45,为,enhanced_extraction
7,3,依据,enhanced_extraction
4,46,针对,enhanced_extraction
47,2,行使,enhanced_extraction
47,20,是,enhanced_extraction
47,22,是,enhanced_extraction
38,7,作为,enhanced_extraction
4,5,包含,enhanced_extraction
2,4,类型,enhanced_extraction
48,2,行驶主体,enhanced_extraction
48,2,承办机构,enhanced_extraction
49,50,补充依据,enhanced_extraction
4,2,类型,enhanced_extraction
4,48,行使主体,enhanced_extraction
4,48,承办机构,enhanced_extraction
4,49,实施依据,enhanced_extraction
4,5,针对,enhanced_extraction
49,50,补充,enhanced_extraction
4,51,涉及内容,enhanced_extraction
2,4,权力类型,enhanced_extraction
1,4,行驶主体,enhanced_extraction
1,4,承办机构,enhanced_extraction
4,2,类型,enhanced_extraction
1,4,执行,enhanced_extraction
4,52,依据,enhanced_extraction
48,4,行驶主体,enhanced_extraction
48,4,承办机构,enhanced_extraction
53,4,涉及,enhanced_extraction
4,2,权力类型,enhanced_extraction
48,20,是,enhanced_extraction
48,22,是,enhanced_extraction
4,8,依据,enhanced_extraction
4,54,涉及问题,enhanced_extraction
2,4,权力类型,enhanced_extraction
55,4,行驶主体,enhanced_extraction
55,4,承办机构,enhanced_extraction
4,2,类型,enhanced_extraction
4,56,依据,enhanced_extraction
4,14,包含,enhanced_extraction
4,2,类型,enhanced_extraction
14,4,是,enhanced_extraction
41,4,行驶主体,enhanced_extraction
41,4,承办机构,enhanced_extraction
23,4,实施依据,enhanced_extraction
48,2,行驶主体,enhanced_extraction
57,2,实施依据,enhanced_extraction
48,2,行使主体和承办机构,enhanced_extraction
4,58,涉及事项,enhanced_extraction
2,4,权力类型,enhanced_extraction
21,2,行驶主体,enhanced_extraction
21,2,承办机构,enhanced_extraction
6,2,实施依据,enhanced_extraction
4,2,类型,enhanced_extraction
21,32,类型,enhanced_extraction
6,34,类型,enhanced_extraction
58,35,类型,enhanced_extraction
21,2,执行,enhanced_extraction
6,2,依据,enhanced_extraction
12,4,是,enhanced_extraction
4,59,包含,enhanced_extraction
15,2,是,enhanced_extraction
4,2,类型,enhanced_extraction
59,35,类型,enhanced_extraction
2,15,类型,enhanced_extraction
45,60,类型,enhanced_extraction
23,43,类型,enhanced_extraction
45,2,行使,enhanced_extraction
23,2,依据,enhanced_extraction
12,4,是,enhanced_extraction
4,19,涉及问题,enhanced_extraction
20,30,是,enhanced_extraction
22,61,是,enhanced_extraction
30,4,行使权力,enhanced_extraction
4,2,权力类型,enhanced_extraction
62,31,涉及事项,enhanced_extraction
