id,name,node_type
1,金融被监管表扬,Unknown
2,未按规定进行信息披露,Unknown
3,权力类型,Unknown
4,行政处罚,Unknown
5,行驶主体,Unknown
6,市地方金融监管局,Unknown
7,承办机构,Unknown
8,实施依据,Unknown
9,《银行业金融机构反洗钱和反恐怖主义融资管理办法》,Unknown
10,服务事项,Unknown
11,中国人民银行,Unknown
12,《期货交易管理条例》,Unknown
13,金融监管处罚,Unknown
14,同业业务违规,Unknown
15,银保监会,Unknown
16,《小额贷款公司监督管理条例》,Unknown
17,虚假陈述,Unknown
18,《中华人民共和国商业银行法》,Unknown
19,操纵市场价格,Unknown
20,《信托公司管理办法》,Unknown
21,支付业务违规,Unknown
22,证监会某监管局,Unknown
23,销售误导行为,Unknown
24,欺诈发行,Unknown
25,外汇管理局,Unknown
26,《融资租赁企业监督管理暂行办法》,Unknown
27,未按规定履行客户身份识别义务,Unknown
28,挪用客户资金,Unknown
29,《证券投资基金法》,Unknown
30,违规担保,Unknown
31,证监会,Unknown
32,信贷资金违规流入股市,Unknown
33,《关于规范民间借贷行为的通知》,Unknown
34,偿付能力不足,Unknown
35,省地方金融监管局,Unknown
36,《中华人民共和国反洗钱法》,Unknown
37,补充依据,Unknown
38,同等法律条款,Unknown
39,违规收费,Unknown
40,县金融办,Unknown
41,反洗钱工作不力,Unknown
42,《中华人民共和国证券法》,Unknown
43,违规放贷,Unknown
44,银保监会某监管局,Unknown
45,中国人民银行某分行,Unknown
46,金融监管,Unknown
47,未成立的办公室,Unknown
48,违规关联交易,Unknown
49,资金池业务违规,Unknown
50,金融看管惩罚,Unknown
51,资金池业务不对,Unknown
52,理财业务违规,Unknown
53,中华人民共和国银行业监督管理法,Unknown
54,风险管理缺失,Unknown
55,金融监管责任,Unknown
56,资金池业务,Unknown
57,内幕交易行为,Unknown
58,内控制度不健全,Unknown
59,外汇业务违规,Unknown
60,《中华人民共和国银行业监督管理法》,Unknown
61,教育部,Unknown
62,保险资金运用违规,Unknown
63,行政许可,Unknown
64,消费者权益保护不到位,Unknown
65,依据,Unknown
66,金融监管惩罚,Unknown
67,中华人民共和国保险法,Unknown
68,审查银保监会决定,Unknown
69,某保险代理,Unknown
70,相关文件,Unknown
71,《已废止的某某规定》,Unknown
72,高利放贷违规行为,Unknown
73,中华人民共和国反洗钱法,Unknown
74,参照执行,Unknown
75,相关法律条文,Unknown
76,某不存在的机构,Unknown
77,《中华人民共和国保险法》,Unknown
78,规范民间借贷行为的通知,Unknown
79,监管证监会工作失误,Unknown
80,某证券营业部,Unknown
81,数据治理不规范,Unknown
82,中国人民银行违规行为,Unknown
83,某村镇银行,Unknown
84,《银行业金融机构反钱和反恐怖主义融资管理办法》,Unknown
85,外汇业务,Unknown
86,金融看管批评,Unknown
87,征信业务违规,Unknown
88,金融监控处罚,Unknown
89,准备金提取不足,Unknown
90,金融盯着处罚,Unknown
91,处罚中国人民银行违规行为,Unknown
92,金融监视惩罚,Unknown
93,收费,Unknown
94,金融看管处罚,Unknown
95,金融监视处罚,Unknown
96,中华人民共和国证券法,Unknown
97,已废止,Unknown
98,理财业务,Unknown
99,银保监会某监管局执行,Unknown
100,证券投资基金法,Unknown
101,已废止的某某规定,Unknown
102,文化和旅游部,Unknown
103,银保监个人某监管局,Unknown
104,无,Unknown
105,证监个人工作室,Unknown
106,信息公开,Unknown
107,错误放贷,Unknown
108,相同法律规定,Unknown
109,征信业务不对,Unknown
110,公共服务,Unknown
111,权力,Unknown
112,金融监管地点,Unknown
113,金融监管批评,Unknown
114,外汇业务不对,Unknown
115,农业农村部,Unknown
116,体育总局,Unknown
117,处罚,Unknown
118,已撤销的部门,Unknown
119,同业业务不对,Unknown
120,担保,Unknown
121,上述法律条文,Unknown
122,错误关联交易,Unknown
123,无内容,Unknown
124,县金融办行驶,Unknown
125,县金融办承办,Unknown
126,空值,Unknown
127,资金池业务错误,Unknown
128,中华人民共和国商业银行法,Unknown
129,"已废止的某某规定,无直接关系",Unknown
130,金融盯着处罚：违规担保,Unknown
131,外汇业务错误,Unknown
132,具体信息,Unknown
133,金融监控批评,Unknown
134,监视证监会工作失误,Unknown
135,消费者权益保护,Unknown
136,信贷资金不好流入股市,Unknown
137,金融被监视表扬,Unknown
138,金融监视批评,Unknown
139,金融监控惩罚,Unknown
140,保险资金运用错误,Unknown
141,金融看管责骂,Unknown
142,行驶依据,Unknown
143,关联交易,Unknown
144,金融监视责骂,Unknown
145,尾实体,Unknown
146,中国人民银库违规行为,Unknown
147,保险资金运用不对,Unknown
