start_id,end_id,relation_type,source
1,2,涉及问题,extraction
3,4,是,extraction
5,6,是,extraction
7,6,是,extraction
8,9,是,extraction
10,10,是,extraction
3,4,是,extraction
5,11,是,extraction
8,12,是,extraction
13,14,服务事项,extraction
4,13,权力类型,extraction
15,13,行驶主体,extraction
15,13,承办机构,extraction
16,13,实施依据,extraction
13,17,包含,extraction
3,4,是,extraction
5,11,是,extraction
7,11,是,extraction
8,18,是,extraction
13,19,包含,extraction
3,4,是,extraction
5,15,是,extraction
7,15,是,extraction
8,20,是,extraction
13,21,涉及事项,extraction
22,22,行驶主体,extraction
22,22,承办机构,extraction
22,12,依据,extraction
13,23,包含行为,extraction
3,4,是,extraction
5,22,是,extraction
7,22,是,extraction
13,24,包含,extraction
3,4,是,extraction
5,25,是,extraction
7,25,是,extraction
8,26,是,extraction
10,13,是,extraction
13,27,包含,extraction
3,4,是,extraction
5,11,是,extraction
7,11,是,extraction
8,16,是,extraction
13,28,涉及行为,extraction
4,15,行使主体,extraction
4,29,实施依据,extraction
15,4,行使权力类型,extraction
15,7,是,extraction
13,30,涉及,extraction
3,4,是,extraction
5,31,是,extraction
7,31,是,extraction
8,12,是,extraction
13,32,涉及事项,extraction
4,13,权力类型,extraction
15,13,行驶主体,extraction
15,13,承办机构,extraction
33,13,实施依据,extraction
13,34,基于,extraction
3,4,是,extraction
5,35,为,extraction
7,35,为,extraction
8,29,是,extraction
10,13,是,extraction
13,14,包含,extraction
3,4,是,extraction
5,31,是,extraction
7,31,是,extraction
8,36,是,extraction
37,38,是,extraction
13,39,涉及,extraction
3,4,是,extraction
5,40,是,extraction
7,40,是,extraction
8,20,是,extraction
13,41,涉及事项,extraction
4,13,权力类型,extraction
31,4,行驶主体,extraction
31,4,承办机构,extraction
42,4,实施依据,extraction
10,13,是,extraction
13,43,包含,extraction
3,4,是,extraction
5,40,是,extraction
8,9,是,extraction
13,17,包含,extraction
3,4,是,extraction
5,25,是,extraction
7,25,是,extraction
8,9,是,extraction
13,17,包含,extraction
3,4,是,extraction
5,44,是,extraction
7,44,是,extraction
8,18,是,extraction
10,10,是,extraction
3,4,是,extraction
5,22,是,extraction
8,18,是,extraction
10,13,是,extraction
13,14,包括,extraction
3,4,是,extraction
5,45,是,extraction
8,9,是,extraction
46,27,涉及事项,extraction
25,4,行驶主体,extraction
25,25,承办机构,extraction
8,42,来源于,extraction
13,2,涉及,extraction
3,4,是,extraction
5,22,是,extraction
7,47,是,extraction
8,33,是,extraction
13,48,涉及内容,extraction
4,13,权力类型,extraction
6,13,行驶主体,extraction
6,13,承办机构,extraction
13,33,依据,extraction
13,49,涉及事项,extraction
4,13,权力类型,extraction
35,4,行驶主体,extraction
35,4,承办机构,extraction
26,4,实施依据,extraction
50,51,服务事项,extraction
4,50,权力类型,extraction
31,4,行驶主体,extraction
31,4,承办机构,extraction
12,4,实施依据,extraction
10,13,是,extraction
13,52,包括,extraction
3,4,是,extraction
5,6,是,extraction
7,47,是,extraction
8,26,是,extraction
13,14,涉及事项,extraction
4,13,类型,extraction
40,13,行驶主体,extraction
40,13,承办机构,extraction
53,4,实施依据,extraction
13,54,包含,extraction
3,4,是,extraction
5,25,是,extraction
7,25,是,extraction
8,42,是,extraction
13,30,包含,extraction
3,4,是,extraction
5,25,是,extraction
7,25,是,extraction
8,12,是,extraction
13,14,涉及事项,extraction
22,22,行驶主体,extraction
22,22,承办机构,extraction
22,36,实施依据,extraction
55,56,涉及业务,extraction
25,4,行使权力类型,extraction
25,5,是,extraction
25,7,是,extraction
53,8,是,extraction
13,57,包含行为,extraction
3,4,是,extraction
5,25,是,extraction
7,25,是,extraction
8,16,是,extraction
13,57,包含行为,extraction
3,4,是,extraction
5,31,是,extraction
7,31,是,extraction
8,9,是,extraction
10,13,是,extraction
13,49,涉及,extraction
3,4,是,extraction
5,35,是,extraction
7,35,是,extraction
8,42,是,extraction
13,32,涉及事项,extraction
4,13,权力类型,extraction
31,13,行驶主体,extraction
31,13,承办机构,extraction
13,26,依据,extraction
10,13,是,extraction
13,52,包含,extraction
3,4,是,extraction
5,40,是,extraction
8,33,是,extraction
13,58,包含,extraction
3,4,是,extraction
5,25,是,extraction
7,25,是,extraction
13,57,涉及行为,extraction
4,44,由,extraction
44,44,行驶主体,extraction
44,44,承办机构,extraction
44,26,实施依据,extraction
10,13,是,extraction
13,59,涉及领域,extraction
3,4,是,extraction
5,4,执行,extraction
7,4,执行,extraction
8,60,来自,extraction
61,4,行驶主体,extraction
25,4,承办机构,extraction
10,13,是,extraction
13,62,包括,extraction
3,4,是,extraction
5,35,是,extraction
7,35,是,extraction
8,18,是,extraction
13,41,涉及事项,extraction
4,13,权力类型,extraction
22,13,行驶主体,extraction
22,13,承办机构,extraction
13,33,依据,extraction
10,13,是,extraction
10,58,涉及,extraction
3,63,是,extraction
5,40,是,extraction
7,40,是,extraction
8,36,是,extraction
13,48,涉及内容,extraction
4,13,权力类型,extraction
11,13,行驶主体,extraction
11,13,承办机构,extraction
13,26,实施依据,extraction
13,2,涉及事项,extraction
4,13,权力类型,extraction
35,4,行驶主体,extraction
35,4,承办机构,extraction
4,36,实施依据,extraction
13,39,涉及内容,extraction
3,4,类型,extraction
5,25,为,extraction
7,25,为,extraction
8,42,来自,extraction
13,2,涉及事项,extraction
4,13,权力类型,extraction
25,4,行驶主体,extraction
25,4,承办机构,extraction
53,4,实施依据,extraction
13,64,涉及方面,extraction
3,4,类型,extraction
5,11,是,extraction
7,11,是,extraction
8,16,依据,extraction
10,13,是,extraction
13,64,涉及,extraction
3,4,是,extraction
5,6,是,extraction
7,6,是,extraction
8,9,是,extraction
13,28,涉及内容,extraction
4,13,权力类型,extraction
22,13,行驶主体,extraction
22,13,承办机构,extraction
13,33,实施依据,extraction
13,34,基于,extraction
4,35,由,extraction
35,5,是,extraction
35,7,也是,extraction
26,8,作为,extraction
13,24,涉及事项,extraction
4,13,权力类型,extraction
6,13,行驶主体,extraction
6,13,承办机构,extraction
6,9,依据,extraction
9,65,类型,extraction
66,32,涉及内容,extraction
4,66,权力类型,extraction
11,66,行驶主体,extraction
11,66,承办机构,extraction
66,67,实施依据,extraction
10,13,是,extraction
13,23,包括,extraction
3,4,是,extraction
5,6,是,extraction
7,6,是,extraction
8,60,是,extraction
13,30,涉及,extraction
3,4,是,extraction
6,3,执行,extraction
6,42,依据,extraction
10,68,包括,extraction
3,4,是,extraction
5,69,是,extraction
7,40,是,extraction
8,33,是,extraction
70,71,是,extraction
13,48,涉及内容,extraction
4,13,权力类型,extraction
45,13,行驶主体,extraction
45,13,承办机构,extraction
26,13,实施依据,extraction
13,58,涉及问题,extraction
4,13,权力类型,extraction
11,4,行驶主体,extraction
11,4,承办机构,extraction
4,16,实施依据,extraction
13,72,包含,extraction
3,4,是,extraction
5,31,是,extraction
7,31,是,extraction
8,18,是,extraction
13,34,基于,extraction
4,15,由,extraction
15,5,是,extraction
15,7,也是,extraction
8,36,来自,extraction
13,19,服务事项,extraction
4,13,权力类型,extraction
40,13,承办机构,extraction
13,21,涉及领域,extraction
4,13,权力类型,extraction
40,13,行驶主体,extraction
40,13,承办机构,extraction
13,73,依据,extraction
10,13,是,extraction
13,48,包含,extraction
3,4,是,extraction
5,6,是,extraction
7,6,是,extraction
8,42,是,extraction
74,75,依据,extraction
13,62,涉及事项,extraction
3,4,是,extraction
5,45,是,extraction
7,45,是,extraction
45,29,依据,extraction
70,71,是,extraction
13,54,涉及,extraction
3,4,是,extraction
5,11,是,extraction
7,11,是,extraction
13,21,涉及事项,extraction
22,22,行驶主体,extraction
22,22,承办机构,extraction
22,26,实施依据,extraction
13,62,涉及事项,extraction
4,13,权力类型,extraction
44,4,行驶主体,extraction
44,4,承办机构,extraction
4,33,实施依据,extraction
13,54,涉及问题,extraction
3,4,类型,extraction
5,13,执行,extraction
7,76,涉及,extraction
8,33,依据,extraction
13,64,涉及,extraction
4,13,类型为,extraction
40,5,是,extraction
40,7,也是,extraction
29,8,是,extraction
13,21,涉及领域,extraction
45,13,行驶主体,extraction
45,13,承办机构,extraction
13,77,实施依据,extraction
13,34,基于,extraction
